Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
36.5	85.4122	107.5	0.16159 8.48373e-05	0.142064 0.00252141	0.0728966 0.00890347	0.0692322 4.99901e-05	0.0750703 0.000136412	-0.0480538 0.000607197	
37.5	81.3808	103	0.159284 5.80487e-05	0.129544 0.000724154	0.111339 0.00378258	0.0687237 7.66135e-06	0.0723329 0.00154788	-0.0278212 0.00849225	
38.5	77.8225	99	0.159387 4.53354e-05	0.126539 0.00114141	0.120318 0.00542062	0.0679588 0.00010859	0.0718675 0.000454671	-0.0301342 0.00328822	
39.5	74.385	95	0.156223 1.85685e-05	0.12691 0.000128838	0.108805 0.0017526	0.0675529 4.10646e-05	0.0705202 8.48743e-05	-0.0210079 1.46639e-05	
40.5	71.0572	91	0.155886 0.00010749	0.123803 0.000782421	0.111844 0.00421716	0.0593145 0.000170746	0.0709666 0.000548018	-0.0851398 0.00331069	
41.5	67.9782	87	0.154518 9.81957e-05	0.125954 0.000671012	0.0941418 0.00300455	0.0610769 8.94717e-05	0.0668001 0.000372103	-0.0394305 0.00249103	
42.5	64.3778	83	0.150923 4.7923e-05	0.124022 0.000519701	0.0940498 0.00283871	0.0592096 0.000379983	0.0616109 0.00171547	-0.0164849 0.00512569	
43.5	61.3959	79.5	0.148951 2.66425e-05	0.117612 0.00696717	0.105427 0.0163339	0.0553053 0.0001517	0.0635505 0.000105712	-0.0509916 0.0019431	
44.5	58.4296	76	0.146822 3.2451e-05	0.113693 0.000202104	0.108795 0.00141685	0.0581099 3.70623e-05	0.062927 0.00050996	-0.0299426 0.00360828	
45.5	55.5157	72.5	0.149244 0.000168683	0.113905 0.00169503	0.106325 0.00530563	0.057068 0.000414512	0.061558 0.00112768	-0.0296177 0.00343065	
46.5	52.7993	69.5	0.142932 5.842e-05	0.11053 0.000518882	0.099857 0.00249771	0.0555476 4.76026e-05	0.0642228 0.000150005	-0.0509053 0.000568721	
47.5	49.9868	66.5	0.144734 0.000170741	0.115624 0.00429398	0.0879128 0.0114234	0.0522219 1.84503e-05	0.0543376 0.00021771	-0.0133282 0.00198713	
48.5	47.4533	63.5	0.143142 3.60223e-05	0.117422 0.000272758	0.0736182 0.000411104	0.0521017 4.27443e-05	0.0539231 0.000201356	-0.0115027 0.00189675	
49.5	45.3036	60.5	0.135299 7.47027e-05	0.100143 0.000384385	0.0978473 0.00130131	0.0436551 0.000239061	0.0481764 0.00576071	-0.0235351 0.0167755	
50.5	42.7279	57.5	0.130549 6.72708e-05	0.100632 0.0116649	0.0853025 0.0189107	0.039658 2.00842e-05	0.0462221 5.93646e-05	-0.0335029 0.000691016	
51.5	40.5886	54.5	0.133064 3.3423e-05	0.0891374 0.000130103	0.122797 0.0004123	0.0431592 7.391e-05	0.0531012 0.000296478	-0.0483769 0.00129588	
52.5	38.1032	51.5	0.127414 4.72633e-05	0.103429 0.00228384	0.0661381 0.00618308	0.0401217 5.56206e-06	0.0498207 3.85896e-05	-0.044943 0.000171493	
53.5	35.7739	49	0.125211 5.68447e-05	0.0892952 0.00238274	0.0952694 0.00631587	0.0387038 1.84596e-06	0.0477185 1.82959e-06	-0.0422104 1.55684e-05	
54.5	34.2041	46.5	0.125172 9.27195e-05	0.0891376 0.000747953	0.0945588 0.00302342	0.0328008 4.94848e-05	0.0469286 0.000152319	-0.0650634 0.000466309	
55.5	31.9677	44	0.121109 0.000104048	0.0932172 0.00508706	0.0723751 0.010485	0.0366594 6.80271e-06	0.0407905 3.03606e-05	-0.0203431 0.000160426	
56.5	30.193	42	0.11554 9.93801e-05	0.0819188 0.000539392	0.0839176 0.00143128	0.031928 0.000119262	0.04377 0.00104236	-0.0538687 0.00279156	
57.5	28.2317	39.5	0.117013 8.60784e-05	0.0905763 0.00304131	0.0633721 0.00669945	0.030775 1.93748e-05	0.0409374 9.13407e-05	-0.0437043 0.000328849	
58.5	26.6862	37	0.11225 6.04703e-05	0.0909701 0.000223245	0.0524454 0.000141242	0.0267997 1.24592e-05	0.0335136 2.21497e-05	-0.0288474 1.3861e-05	
59.5	24.9607	35	0.104033 1.31174e-05	0.0762682 9.47102e-05	0.0668161 0.000662733	0.0273266 8.7101e-06	0.0327626 4.56039e-06	-0.0219755 9.36818e-05	
60.5	23.4533	33	0.104127 1.98396e-05	0.0929904 0.000686464	0.0259793 0.00225537	0.0261957 2.19696e-05	0.0329161 9.8401e-05	-0.0278521 0.000416261	
61.5	21.9187	31.5	0.100735 9.04011e-05	0.092979 0.00322636	0.0180602 0.00662085	0.0264334 6.55074e-05	0.0335654 0.000218726	-0.0276568 0.000727565	
62.5	20.4602	30	0.0904115 0.000381226	0.0716387 0.0039481	0.0438091 0.00499537	0.0197609 3.33047e-05	0.0305648 0.000975441	-0.0407982 0.00230697	
63.5	19.012	28	0.0915384 0.000203293	0.0945661 0.00568465	-0.00681802 0.00748557	0.0201508 4.42692e-07	0.0271922 3.74237e-06	-0.0269377 1.09423e-05	
64.5	17.7312	26	0.0847543 0.000212784	0.0856432 0.00656739	-0.00201051 0.00747984	0.0179052 1.24714e-06	0.0276141 3.53302e-06	-0.0360236 1.30354e-05	
65.5	16.4923	24.5	0.0843564 0.000250996	0.088477 0.00140504	-0.00902391 0.00287368	0.0175384 0.000119162	0.0269405 0.0043448	-0.0369935 0.00698266	
66.5	15.3251	23	0.0778762 3.77221e-05	0.0840535 0.00247674	-0.0129198 0.00455476	0.0133678 9.59067e-06	0.0257741 5.36549e-05	-0.045584 0.00015316	
67.5	14.1783	21.5	0.0780507 1.53922e-05	0.0823613 0.000114783	-0.00932263 0.000214503	0.0143537 9.86164e-05	0.0220259 0.000261382	-0.0282679 0.000618766	
68.5	13.1793	20	0.0756788 1.15016e-05	0.10109 0.000124389	-0.0520794 0.000542354	0.0135108 0.000187749	0.0236057 0.000331387	-0.0368825 0.00166431	
69.5	12.0896	18.5	0.0717411 0.000109015	0.0943129 0.00135872	-0.0483313 0.00314107	0.0123755 3.7344e-05	0.0214148 0.000161753	-0.033118 0.000449923	
70.5	11.2014	17.5	0.066353 6.08223e-05	0.105233 0.00231798	-0.0788683 0.00384958	0.0103738 2.41719e-06	0.0205496 0.000648775	-0.0348599 0.00152894	
71.5	10.3582	16.5	0.0555046 0.000121025	0.0936988 0.00171108	-0.0745012 0.00268883	0.0111955 1.29926e-05	0.0223169 1.4952e-05	-0.0347128 1.18325e-05	
72.5	9.45825	15.5	0.0563399 6.97903e-05	0.104939 0.000769197	-0.0944271 0.00162666	0.0100485 8.12897e-05	0.0188767 0.000202537	-0.0291367 0.000433188	
73.5	8.67306	14.5	0.0510019 7.63216e-05	0.0863066 0.00342873	-0.0699014 0.00448432	0.00837102 1.66923e-05	0.0154542 6.42141e-05	-0.0236162 0.000152088	
74.5	7.90895	13.5	0.0499419 1.3735e-05	0.091556 6.74609e-05	-0.0827654 0.000214626	0.00748245 6.03873e-05	0.0153019 0.000132657	-0.0240256 0.000213734	
75.5	7.21476	12.5	0.049581 7.00886e-06	0.100908 7.57358e-05	-0.10101 0.000129184	0.00737913 3.7524e-05	0.0188205 6.0181e-05	-0.035995 8.33426e-05	
76.5	6.57323	11.5	0.0474429 3.26088e-05	0.0968546 0.000183651	-0.0968554 0.000304621	0.0062063 1.48476e-06	0.0166572 2.09952e-05	-0.0321047 5.62581e-05	
77.5	5.95007	10.5	0.0409465 0.000152279	0.0999447 0.00051823	-0.11341 0.00133764	0.00469633 6.51146e-06	0.0129313 3.13961e-05	-0.0270018 7.7625e-05	
78.5	5.38058	9.5	0.0370957 3.26615e-05	0.0906328 0.000437408	-0.0997368 0.000883761	0.00461294 1.96732e-05	0.0124016 0.000159417	-0.0251125 0.000369126	
79.5	4.89626	9	0.0337895 0.000151562	0.0920159 4.76027e-06	-0.10777 0.00039896	0.00382483 5.31049e-05	0.0133301 0.000155581	-0.0278609 0.000316657	
80.5	4.42096	8.5	0.0325445 3.59741e-05	0.0877656 3.70835e-05	-0.104158 1.12263e-05	0.0039952 3.58737e-06	0.0118408 7.53535e-06	-0.0226925 1.57148e-05	
81.5	3.94546	7.5	0.032009 4.64286e-05	0.0871908 0.00100684	-0.104353 0.00160114	0.00252096 1.82191e-05	0.00869616 6.52797e-05	-0.0175557 0.00013027	
82.5	3.58676	7	0.0336694 4.88322e-06	0.0955912 8.34327e-07	-0.119191 7.29726e-07	0.00351325 9.03835e-07	0.0103945 4.83968e-06	-0.020962 1.08955e-05	
83.5	3.18999	6.5	0.0230273 6.66614e-05	0.081012 0.000209092	-0.102994 0.000277524	0.00249636 1.11957e-05	0.00758464 3.72675e-05	-0.0142783 7.67956e-05	
84.5	2.84187	6	0.0254528 0.000152281	0.085014 0.000203629	-0.111764 0.000716541	0.00246068 6.63224e-06	0.00817383 1.28796e-05	-0.0174519 2.73007e-05	
85.5	2.5191	5.5	0.0206501 1.51192e-06	0.0750952 4.46441e-06	-0.101231 7.19223e-06	0.00168263 3.80509e-07	0.00481009 7.49814e-07	-0.00840669 1.47339e-06	
86.5	2.21848	5	0.0200947 8.0727e-05	0.078459 0.000106143	-0.105061 8.06747e-05	0.00111031 1.18243e-05	0.00410647 3.27239e-05	-0.00812492 6.27126e-05	
87.5	1.94866	4.5	0.0196434 0.000109023	0.0685064 0.000293738	-0.0913931 0.000382049	0.00103927 5.83992e-06	0.00384187 1.58329e-05	-0.00804257 3.21543e-05	
88.5	1.69084	4	0.0184041 9.66072e-05	0.0684832 0.000882233	-0.0944141 0.00130236	0.000903556 4.61599e-07	0.00302508 7.18376e-06	-0.00572839 1.4218e-05	
89.5	1.46869	4	0.0198323 1.22382e-05	0.0703978 3.62522e-05	-0.097236 5.66774e-05	0.000698473 2.42951e-06	0.00199014 6.52329e-06	-0.00391983 1.34125e-05	
90.5	1.25875	3.5	0.0163133 7.96427e-05	0.0620614 0.000548937	-0.084124 0.000891326	0.000289607 3.29082e-06	0.00134508 1.80255e-05	-0.0027822 3.63548e-05	
91.5	1.06056	3	0.0144713 3.84562e-09	0.0562546 5.44103e-08	-0.0785212 8.50947e-08	9.16407e-05 1.08048e-11	0.000379388 4.32789e-11	-0.000830728 9.38139e-11	
92.5	0.877042	2.5	0.0111217 1.07672e-11	0.0447688 5.41364e-11	-0.0643402 8.50283e-11	-0.00021538 2.16846e-12	-0.000546514 8.51744e-12	0.000876584 1.68064e-11	
93.5	0.715522	2	0.00687 2.52048e-12	0.039361 4.55858e-10	-0.0550941 6.64231e-10	-0.000170082 4.4426e-12	-0.000809535 2.33418e-11	0.00146052 4.31654e-11	
94.5	0.55671	2	0.00603843 3.02187e-11	0.0267619 1.6032e-10	-0.0389649 2.46238e-10	-0.000309319 2.30741e-13	-0.000977341 8.95606e-13	0.0017385 1.7302e-12	
95.5	0.40909	2	0.00334285 1.90976e-09	0.0156651 1.57461e-09	-0.0214358 2.27586e-09	-0.000212897 1.50105e-10	-0.000802232 7.10499e-10	0.00138298 1.31382e-09	
96.5	0.279757	2	0.00117046 2.61112e-09	0.00735521 9.96046e-09	-0.0109765 1.49289e-08	-0.000144089 4.23835e-12	-0.000569674 1.98025e-11	0.00104593 3.7664e-11	
97.5	0.160607	2	0.000267251 6.35841e-10	0.00165467 4.25543e-09	-0.00271838 6.78543e-09	-1.43425e-05 1.17954e-10	-4.10291e-05 4.18078e-10	5.69558e-05 6.40549e-10	
98.5	0.0538206	2	6.53803e-05 7.10233e-08	0.000179421 2.10473e-07	-0.00042169 4.84755e-07	3.61139e-06 1.37241e-09	-1.90457e-06 6.62064e-09	2.20943e-05 2.10317e-08	
99.5	nan	0	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
