Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	578.514	407.5	0.00444766 0.000224537	 0.0166165 0.000454609	 0.013682 0.00041826	 0.00840436 0.000222936	 0.00417574 0.000116459	 0.00198481 5.52988e-05	 
1.5	555.259	394	0.00468116 0.000224324	 0.0197664 0.000485968	 0.0142267 0.000396552	 0.00969226 0.000267621	 0.00433233 0.000115105	 0.002003 5.7877e-05	 
2.5	541.906	384	0.00447891 0.000216065	 0.0221222 0.000578014	 0.0163423 0.00041473	 0.00914702 0.00023502	 0.00467969 0.000119413	 0.00215269 7.12449e-05	 
3.5	502.583	373.5	0.00532325 0.000226381	 0.0257344 0.000652093	 0.0165991 0.000474028	 0.0101959 0.000261713	 0.00483022 0.000123306	 0.00220943 6.926e-05	 
4.5	471.529	362.5	0.00525422 0.00023125	 0.0282281 0.000636836	 0.0178908 0.000514562	 0.0107931 0.00025255	 0.00520609 0.000143354	 0.00258832 7.51305e-05	 
5.5	466.193	351.5	0.00524743 0.000238994	 0.0312279 0.000644526	 0.0172167 0.000486163	 0.0107503 0.000267936	 0.00536421 0.000139559	 0.002456 8.0698e-05	 
6.5	449.177	341	0.00560465 0.000272957	 0.0362971 0.000799861	 0.0186102 0.000504343	 0.0111564 0.000340016	 0.00524532 0.000156382	 0.00243524 7.31795e-05	 
7.5	428.314	331	0.00609347 0.000274934	 0.0374776 0.000812502	 0.0189484 0.000560026	 0.0112784 0.00034431	 0.00563267 0.00015357	 0.00273391 8.61829e-05	 
8.5	420.999	321	0.00589537 0.000274047	 0.0407525 0.000840205	 0.0191408 0.00048583	 0.0113165 0.000295699	 0.0056439 0.000165795	 0.00266079 7.99148e-05	 
9.5	391.983	311	0.0067219 0.000329157	 0.0459065 0.000867402	 0.0192816 0.000516864	 0.0115643 0.00030109	 0.00611437 0.000165792	 0.00287586 9.77379e-05	 
10.5	368.917	301.5	0.00738366 0.000328467	 0.0471136 0.000857327	 0.0203594 0.000569911	 0.0124895 0.000320863	 0.00581749 0.000157368	 0.00291417 9.29893e-05	 
11.5	366.258	292	0.00696673 0.000307578	 0.0506481 0.000871843	 0.0200617 0.000526621	 0.0123203 0.000326743	 0.00614521 0.000163755	 0.00322914 9.72224e-05	 
12.5	358.788	282.5	0.00684471 0.000342841	 0.0507391 0.000830638	 0.020588 0.000517285	 0.0123619 0.000341549	 0.00618463 0.000172812	 0.00311616 9.64949e-05	 
13.5	333.511	274	0.00704134 0.000333526	 0.0533538 0.000955543	 0.0204284 0.000555772	 0.0126699 0.000353121	 0.00622909 0.000183198	 0.00315618 0.00010457	 
