Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	578.514	407.5	0.615205 0.0850114	-0.510706 0.245777	0.66375 0.064658	
1.5	555.259	394	0.692789 0.0581957	0.327754 0.613224	0.4159 0.272058	
2.5	541.906	384	0.699808 0.0538923	0.729092 0.0375067	0.717218 0.0415066	
3.5	502.583	373.5	0.624113 0.0733464	-0.525431 0.290674	0.600065 0.0941154	
4.5	471.529	362.5	0.7914 0.0244469	0.343197 0.544417	0.767109 0.0306463	
5.5	466.193	351.5	0.814542 0.0240503	-0.461324 0.27359	0.655056 0.0600519	
6.5	449.177	341	0.837472 0.0225613	0.694174 0.0548075	0.417478 0.319092	
7.5	428.314	331	0.820681 0.0201738	-0.340922 0.527183	-0.532167 0.177552	
8.5	420.999	321	0.837673 0.0196617	0.693446 0.0517444	0.655832 0.0605665	
9.5	391.983	311	0.866956 0.01415	0.596371 0.136959	0.646511 0.0656129	
10.5	368.917	301.5	0.873864 0.0128509	0.353029 0.475888	0.642418 0.0704775	
11.5	366.258	292	0.884344 0.0115394	0.560075 0.12691	0.531332 0.142789	
12.5	358.788	282.5	0.904021 0.00878655	0.684199 0.0631161	0.487903 0.210672	
13.5	333.511	274	0.882522 0.0137418	0.552842 0.118147	0.46923 0.192027	
14.5	323.226	265.5	0.918985 0.00780408	0.408867 0.279674	-0.622027 0.100766	
15.5	300.96	257	0.873279 0.0132466	0.539663 0.161887	-0.6007 0.111272	
16.5	302.534	249	0.887352 0.0111079	0.294444 0.929887	0.466263 0.191369	
17.5	284.196	241	0.90264 0.00919906	0.541056 0.125848	0.451914 0.252327	
18.5	274.891	233.5	0.907126 0.00914598	0.577838 0.138791	0.333936 0.674901	
19.5	266.192	226	0.912459 0.00747835	-0.566106 0.18508	0.378588 0.358475	
20.5	256.66	218.5	0.905949 0.0100687	0.428551 0.356352	-0.381832 0.491125	
21.5	248.629	211.5	0.894064 0.0101652	-0.680785 0.153806	-0.571621 0.156485	
22.5	234.558	204.5	0.90803 0.00856211	0.507597 0.152518	0.590333 0.0815123	
23.5	225.872	197.5	0.919834 0.00660089	0.589174 0.0830408	-0.574315 0.1791	
24.5	225.981	191	0.919388 0.00818923	0.63241 0.0788708	-0.28547 1.15415	
25.5	208.921	184.5	0.901733 0.00927045	0.573985 0.111641	0.459409 0.215122	
26.5	201.528	178	0.910691 0.00808605	0.501249 0.171605	-0.551683 0.182785	
27.5	192.629	172	0.91501 0.00765298	0.522135 0.189174	0.454925 0.263007	
28.5	185.878	166	0.898956 0.0112106	0.520068 0.140818	0.61749 0.0863171	
29.5	171.122	160.5	0.90928 0.00895086	0.719181 0.0452586	0.539405 0.128039	
30.5	174.755	155	0.898936 0.0090708	0.234109 1.05585	-0.554677 0.197655	
31.5	166.351	149.5	0.892996 0.0120208	0.699723 0.056399	0.577074 0.111856	
32.5	154.432	144	0.908611 0.00776218	0.30021 0.795531	0.445528 0.208456	
33.5	149.678	138.5	0.890876 0.0109985	0.583618 0.135175	-0.36515 0.40654	
34.5	142.768	133.5	0.898716 0.0104595	0.550812 0.134543	0.443419 0.217871	
35.5	132.376	128.5	0.895303 0.0121145	0.606798 0.0839409	0.43132 0.272829	
36.5	130.036	123.5	0.886087 0.0119355	0.504544 0.155095	0.508126 0.150151	
