Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	480.783	361	3.50554e-14 1.95901e-14	-3.86667e-11 1.92864e-11	7.48176e-13 8.08837e-13	4.53479e-14 3.2217e-14	3.44059e-16 5.53604e-16	1.53724e-17 1.3625e-17	
15	318.587	264	2.40719e-13 8.52776e-14	1.53413e-08 6.90038e-10	2.85408e-12 2.48436e-12	4.91926e-13 3.09082e-13	3.68845e-15 3.31006e-15	4.52701e-16 3.317e-16	
25	215.197	190	1.71181e-12 6.13463e-13	8.651e-08 3.47677e-09	5.08814e-12 3.6924e-12	-2.1065e-13 3.68787e-13	2.46612e-14 1.81856e-14	-4.23321e-17 3.69916e-16	
35	141.283	133	4.49764e-11 2.96183e-11	1.88784e-07 8.39907e-09	9.06924e-12 4.7709e-12	-2.69037e-12 1.20772e-12	-8.41081e-15 3.27916e-14	2.42767e-15 2.42602e-15	
45	80.9361	89	1.24632e-10 5.94269e-11	1.40313e-07 5.28464e-09	2.52761e-13 3.95956e-12	2.09231e-12 4.78813e-12	8.67373e-16 3.58852e-14	6.36532e-15 6.03045e-15	
55	47.8844	56	7.20749e-10 2.21207e-10	1.04396e-07 6.19029e-09	-8.86676e-12 3.15464e-12	-1.00586e-11 2.3885e-12	-6.18374e-14 3.24016e-14	6.62879e-15 3.45793e-15	
65	24.8782	32	4.05889e-09 1.68766e-09	4.64177e-08 6.79581e-09	-3.47133e-12 2.3174e-12	-2.258e-11 3.20643e-12	-5.85431e-14 2.39883e-14	2.74078e-15 1.27796e-15	
75	10.8218	16	1.51334e-09 5.98881e-10	-3.70441e-08 5.32733e-09	-1.4045e-12 5.39949e-13	-1.17658e-11 1.97814e-12	-8.27735e-16 1.44902e-14	1.33861e-15 6.29267e-16	
85	nan	7	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
