Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	529.174	386.5	0.206512 4.11811e-07	0.206121 2.60041e-05	0.0170763 0.00325503	0.153652 1.39076e-05	0.152746 0.000109478	0.0475487 0.00955495	
7.5	431.45	331.5	0.211696 3.57139e-06	0.210452 1.35538e-05	0.0244073 0.000311611	0.154337 6.82698e-06	0.155901 2.05137e-05	-0.0626262 0.000592015	
12.5	349.941	283.5	0.208237 2.23018e-06	0.206838 7.85082e-05	0.0173251 0.00218251	0.149532 7.02521e-07	0.150261 1.34765e-06	-0.0227324 0.00011167	
17.5	285.565	241.5	0.20588 3.33413e-06	0.199039 0.000761416	0.0594536 0.0070663	0.145009 5.61382e-06	0.14606 1.85971e-05	-0.0263891 0.000574509	
22.5	237.528	205	0.20137 4.59322e-06	0.190344 0.000417376	0.0738014 0.0038494	0.136435 8.25007e-06	0.137588 2.52924e-05	-0.024024 0.000300538	
27.5	192.807	173	0.197428 1.03685e-05	0.179994 0.000458918	0.095717 0.00329077	0.129269 7.58583e-06	0.129455 6.74674e-06	-0.00330371 0.000510318	
32.5	157.508	144.5	0.193176 2.70212e-06	0.168611 0.00189268	0.113117 0.00725484	0.117443 2.19329e-05	0.119289 0.000194015	-0.0261047 0.00305711	
37.5	124.917	119.5	0.189455 1.3821e-05	0.161182 0.000678812	0.111336 0.00317322	0.112917 2.98103e-05	0.11455 1.17115e-05	-0.0212256 0.000847501	
42.5	90.8849	97.5	0.172402 7.23219e-06	0.133947 0.000252253	0.136798 0.00102591	0.092785 6.42078e-06	0.093732 8.29166e-05	-0.00926901 0.00082555	
47.5	71.8896	78.5	0.164815 2.65036e-06	0.11723 5.064e-05	0.152448 0.00030748	0.0811164 1.75069e-05	0.0837061 7.00234e-05	-0.0216262 0.00052666	
52.5	54.9138	62.5	0.160704 1.1279e-05	0.110403 9.33909e-05	0.145123 0.000379116	0.0730442 1.01341e-06	0.0768395 7.6099e-06	-0.0260578 0.000121875	
57.5	41.2538	48.5	0.155063 2.28055e-05	0.0927155 0.000128976	0.164244 0.000394353	0.0602613 3.76817e-05	0.0658648 9.65842e-05	-0.0328602 0.000374894	
62.5	29.5373	36.5	0.148711 3.865e-06	0.0847391 9.98316e-05	0.155778 0.000350788	0.0491247 1.06266e-05	0.0634073 5.64768e-05	-0.0683917 0.000234079	
67.5	20.3879	26.5	0.141841 3.06507e-06	0.0914816 9.51513e-06	0.113146 6.08524e-05	0.037939 6.49513e-06	0.0555032 1.40036e-05	-0.0774526 2.55851e-05	
72.5	13.5752	19	0.126644 4.60105e-05	0.0971574 0.000673452	0.0614948 0.00110243	0.0238878 4.06955e-05	0.045479 8.76975e-05	-0.0818266 0.000186407	
77.5	8.55858	13	0.110158 6.46608e-05	0.12027 0.000625613	-0.0197484 0.00076333	0.0163655 2.49882e-05	0.0382844 6.55285e-05	-0.074696 9.65405e-05	
82.5	nan	8	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
