Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	529.174	386.5	1.44957 0.0260479
7.5	431.45	331.5	2.07207 0.0328079
12.5	349.941	283.5	2.51395 0.0358749
17.5	285.565	241.5	2.82049 0.0431557
22.5	237.528	205	3.08487 0.0463739
27.5	192.807	173	3.16816 0.0478211
32.5	157.508	144.5	3.32526 0.0512129
37.5	124.917	119.5	3.39581 0.0526524
42.5	90.8849	97.5	3.39674 0.0333387
47.5	71.8896	78.5	3.42345 0.0334518
52.5	54.9138	62.5	3.42679 0.0339138
57.5	41.2538	48.5	3.54509 0.0355766
62.5	29.5373	36.5	3.69002 0.0379257
67.5	20.3879	26.5	4.08361 0.0418703
72.5	13.5752	19	4.74128 0.0647752
77.5	8.55858	13	5.45728 0.0677041
82.5	nan	8	nan nan
87.5	nan	5	nan nan
92.5	nan	3	nan nan
97.5	nan	1.5	nan nan
