Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
0.5	578.514	407.5	-7.37492e-10 3.51684e-10	1.09203e-08 6.26963e-09	-2.38388e-09 4.92216e-09	9.68361e-10 4.13403e-10	3.33038e-11 2.7495e-11	1.72576e-12 1.23427e-12	
1.5	555.259	394	-9.14177e-10 2.36824e-10	3.51651e-08 1.28956e-08	4.72733e-10 3.80178e-09	2.64031e-10 7.37127e-10	3.56842e-11 2.75668e-11	-9.93608e-13 1.80096e-12	
2.5	541.906	384	-6.33898e-10 1.50161e-10	5.74416e-08 1.98881e-08	2.01548e-08 5.24933e-09	1.85235e-09 5.30447e-10	1.31657e-10 3.71284e-11	-4.60428e-12 5.11676e-12	
3.5	502.583	373.5	-1.10642e-09 2.85087e-10	6.65436e-08 3.34191e-08	-5.78628e-09 8.45567e-09	1.4012e-09 9.4496e-10	7.56924e-11 4.09188e-11	-7.04013e-12 3.34187e-12	
4.5	471.529	362.5	-9.9013e-10 2.63495e-10	2.49064e-07 4.18811e-08	1.42133e-09 1.03741e-08	4.69905e-09 9.56273e-10	7.0128e-11 6.29978e-11	-2.07206e-13 3.94306e-12	
5.5	466.193	351.5	-1.29401e-09 3.62038e-10	4.18624e-07 6.43092e-08	-3.97944e-09 1.22252e-08	2.45923e-09 9.95673e-10	9.21574e-11 6.38788e-11	-1.50491e-11 7.34658e-12	
6.5	449.177	341	-1.44504e-09 3.69878e-10	8.53823e-07 1.26802e-07	2.78536e-08 9.85824e-09	4.7057e-10 1.70697e-09	5.38606e-11 6.66221e-11	2.00533e-12 3.29185e-12	
7.5	428.314	331	-1.86326e-09 4.81419e-10	8.94926e-07 1.34759e-07	-1.74145e-09 1.27711e-08	-1.29771e-09 2.40807e-09	1.37935e-10 8.32183e-11	-8.51081e-12 6.68176e-12	
8.5	420.999	321	-1.88641e-09 5.42548e-10	1.35805e-06 1.78054e-07	3.10381e-08 1.02718e-08	3.03402e-09 1.2749e-09	-2.86591e-11 1.28601e-10	-3.77393e-12 4.86274e-12	
9.5	391.983	311	-3.86632e-09 1.37133e-09	2.50892e-06 2.73616e-07	1.74838e-08 1.88273e-08	3.12448e-09 1.4093e-09	1.47792e-10 1.42724e-10	-2.74607e-11 1.36996e-11	
