Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	658.492	361.5	1.01287e-13 6.56668e-14	-4.36887e-11 1.31072e-10	-3.88849e-12 4.33273e-12	9.2983e-14 9.64905e-14	1.23384e-15 1.47828e-15	8.38098e-18 1.44164e-17	
15	446.746	264.5	7.09154e-13 4.16731e-13	1.12488e-08 1.60528e-09	2.64778e-11 1.14024e-11	3.68941e-13 2.46864e-13	3.32836e-15 2.37773e-15	-4.85021e-17 3.79068e-17	
25	301.179	189	2.97347e-12 1.70931e-12	8.87334e-08 7.99621e-09	3.14211e-11 4.11554e-11	2.58997e-13 3.88253e-13	-2.86937e-15 4.13715e-15	4.80081e-17 7.60284e-17	
35	196.026	130.5	4.29915e-12 3.44512e-12	1.5043e-07 1.53364e-08	-3.53645e-11 2.25189e-11	-2.75697e-13 4.0679e-13	5.87535e-15 6.39035e-15	5.34353e-16 5.42778e-16	
45	122.521	86	1.64956e-11 1.02706e-11	1.53117e-07 1.89131e-08	3.95562e-11 2.04502e-11	9.5075e-14 8.03061e-13	-2.67554e-15 4.76385e-15	3.8857e-17 1.56107e-16	
55	72.2989	53	6.23725e-11 3.35543e-11	1.35411e-07 2.13744e-08	-3.91606e-12 1.49343e-11	-1.19099e-12 8.66511e-13	2.16796e-15 4.94169e-15	4.28313e-16 4.27545e-16	
65	37.7746	30	1.6265e-11 8.56048e-12	3.74203e-08 1.13999e-08	-3.83111e-12 4.9654e-12	-9.20749e-13 3.40197e-13	-2.99206e-15 8.176e-16	2.53619e-16 1.43578e-16	
75	17.2745	15.5	1.59613e-12 1.02766e-12	-1.46239e-08 2.69004e-09	-5.0166e-13 8.33369e-13	-9.97654e-14 1.03076e-13	1.95524e-16 1.45195e-16	1.06854e-17 4.24209e-18	
85	6.22389	7	3.10877e-12 1.36992e-12	-1.53146e-09 4.36587e-10	7.26814e-14 2.61259e-14	3.87558e-14 1.53503e-14	3.53483e-17 3.07236e-17	7.58298e-19 4.72484e-19	
95	1.28311	3	1.69208e-14 6.38905e-15	6.19034e-11 1.07292e-11	9.77792e-17 3.44144e-17	7.41829e-19 4.15595e-19	1.7403e-22 9.73518e-23	6.83576e-22 3.35136e-22	
