Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	658.492	361.5	-0.0610078 3.83176	-0.46812 0.159369	0.570062 0.0694537	
15	446.746	264.5	0.778992 0.0173446	-0.316775 0.459742	0.570918 0.0655393	
25	301.179	189	0.87189 0.00700135	-0.43285 0.221096	0.490786 0.112646	
35	196.026	130.5	0.836155 0.0102698	0.405879 0.168794	0.20415 1.94739	
45	122.521	86	0.816488 0.0108028	0.645237 0.0396493	-0.428701 0.168539	
55	72.2989	53	0.79651 0.0124506	0.473237 0.118165	-0.689114 0.060785	
65	37.7746	30	0.72807 0.0203957	-0.616444 0.0845595	-0.86943 0.0330224	
75	17.2745	15.5	0.268681 0.595387	-0.849184 0.0456269	-1.03016 0.0286614	
85	6.22389	7	-1.11071 0.023907	-1.2684 0.0291762	-1.62817 0.0537891	
95	1.28311	3	-1.66941 0.0379289	-1.99083 0.0638614	-2.57698 0.137932	
