Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	658.492	361.5	0.23302 4.50984e-05	0.235564 0.000816802	-0.0524315 0.0189777	0.169068 2.76807e-05	0.172332 8.32942e-05	-0.0985304 0.00594195	
15	446.746	264.5	0.217036 3.37549e-05	0.205322 0.000845377	0.107696 0.0085224	0.143736 7.07108e-05	0.146699 4.0063e-05	-0.0510801 0.00306115	
25	301.179	189	0.205613 2.35634e-05	0.191431 8.43455e-05	0.0811067 0.000226636	0.126528 4.26445e-05	0.12546 4.8624e-05	0.0132747 0.000623742	
35	196.026	130.5	0.192292 6.18107e-06	0.163461 5.40277e-05	0.11427 9.83362e-06	0.106266 2.64693e-05	0.115362 4.89727e-05	-0.0749339 6.26213e-05	
45	122.521	86	0.176118 3.3004e-05	0.141961 0.00109514	0.107452 0.00368725	0.0818412 7.24363e-06	0.093001 0.00019219	-0.0674987 0.0013587	
55	72.2989	53	0.157842 2.80885e-05	0.119609 0.000430015	0.0974206 0.00153758	0.0609576 7.16046e-05	0.0664562 0.000251845	-0.0256568 0.00143777	
65	37.7746	30	0.121571 4.21338e-05	0.108316 0.00106167	0.0283296 0.0022315	0.036184 4.42975e-06	0.0512836 9.61784e-05	-0.0565445 0.000416488	
75	17.2745	15.5	0.0799454 5.81734e-05	0.12289 2.77678e-05	-0.0829289 0.00035271	0.0168497 5.6633e-06	0.0318797 6.60265e-06	-0.0474253 8.49913e-06	
85	6.22389	7	0.040189 5.84782e-06	0.104696 1.816e-05	-0.114573 3.25278e-05	0.00577629 2.50704e-07	0.0157764 3.53998e-07	-0.0283034 7.70544e-07	
95	1.28311	3	0.018973 0.000144007	0.0757029 0.00122181	-0.100787 0.00161078	0.00108674 3.04908e-06	0.0039188 2.77646e-05	-0.00700961 5.08651e-05	
