Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
38.5	167.07	112	0.189688 0.000244708	0.146704 0.0369622	0.148748 0.0908561	0.100286 0.000148835	0.0997727 0.000501591	0.00397589 0.00852352	
39.5	159.881	107.5	0.185667 6.91203e-05	0.141793 0.000674762	0.156751 0.000886687	0.093726 0.000258616	0.116905 0.000368345	-0.152284 0.000666235	
40.5	152.378	103	0.187444 0.000510705	0.15716 0.00238565	0.110662 0.0209609	0.101173 3.1017e-05	0.0905061 0.000148235	0.0774064 0.000184617	
41.5	146.079	99	0.187783 8.81395e-05	0.155633 0.000419407	0.110564 0.00138348	0.0946696 0.000134596	0.100695 0.000337139	-0.0420621 0.00645862	
42.5	139.501	94.5	0.178393 0.000283974	0.129854 0.0135501	0.160704 0.045126	0.0814749 7.25812e-05	0.0990256 0.00377841	-0.128082 0.0277451	
43.5	131.464	90	0.172053 0.000205641	0.140937 0.040035	0.103265 0.0905458	0.0802521 0.000754193	0.0825989 0.0397928	-0.0185692 0.146791	
44.5	123.495	86.5	0.186602 0.000518635	0.151008 0.0503676	0.105387 0.0957097	0.0884931 0.000377223	0.10204 0.00156976	-0.0870556 0.010198	
45.5	118.61	83	0.179266 0.000423964	0.149267 0.00963058	0.0916242 0.0309732	0.0830971 0.00137664	0.0969188 0.00561737	-0.0833548 0.0232455	
46.5	112.999	79	0.168093 0.000791917	0.134598 0.0192065	0.107987 0.0569062	0.0744196 0.000125336	0.100311 0.00120744	-0.137392 0.00918995	
47.5	106.867	75.5	0.171959 1.825e-05	0.131939 4.51391e-05	0.115307 0.00324932	0.0784268 0.00012107	0.092661 0.000412451	-0.0888235 0.00181881	
48.5	101.684	72	0.176115 7.11465e-05	0.134419 9.4765e-05	0.117472 0.00235391	0.0809066 0.000395207	0.08529 0.00870103	-0.0289773 0.0477378	
49.5	97.1601	68.5	0.155613 0.000440353	0.120126 0.00192602	0.115489 0.0125439	0.0685581 3.47808e-05	0.0695408 0.000110167	-0.00422388 9.21183e-05	
50.5	92.1461	65.5	0.160245 0.000126031	0.123152 0.000394599	0.102432 0.00628982	0.0637168 0.00011533	0.0721774 0.000286016	-0.0364314 0.000676428	
51.5	86.7778	62.5	0.168748 0.000138658	0.132592 0.00122346	0.102061 0.00698652	0.0691291 0.000293828	0.0825963 0.00130318	-0.0746385 0.00730141	
52.5	81.5385	59.5	0.165372 0.000224002	0.121258 0.00508898	0.113887 0.0184399	0.06622 0.000119015	0.0664227 0.000475864	-0.00105297 0.00258154	
53.5	77.5392	56.5	0.165683 0.000143896	0.14848 0.00639467	0.0424791 0.0211075	0.064285 5.00972e-05	0.0641045 0.000154362	0.000872935 0.000498416	
54.5	73.4872	53.5	0.154239 0.00113308	0.114985 0.00602935	0.101178 0.0171025	0.0616044 0.000573997	0.0808908 0.0563261	-0.101489 0.133667	
55.5	69.4417	50.5	0.158567 0.00029091	0.10322 0.0042514	0.134271 0.0154219	0.0582908 0.000775273	0.0610763 0.00150016	-0.0119166 0.0100847	
56.5	66.5793	48	0.149986 1.60002e-05	0.0988345 0.000457038	0.125024 0.000817847	0.058774 0.000164626	0.06699 0.000282879	-0.0360216 0.000516884	
57.5	61.7041	45.5	0.15129 0.000844471	0.100707 0.0175192	0.135196 0.0394278	0.061933 0.00035409	0.0482936 0.001462	0.0622702 0.00718058	
58.5	57.6738	43	0.153485 0.000160476	0.126626 0.00655158	0.0628324 0.0197743	0.0540267 0.000769042	0.0497317 0.00414364	0.0205235 0.0196101	
59.5	53.8852	40.5	0.150069 0.000473616	0.105954 0.0343694	0.110407 0.0591056	0.0521929 3.32368e-07	0.0712434 0.000214182	-0.0771121 0.00103209	
60.5	51.0074	38	0.139412 0.000708669	0.094163 0.0140635	0.104038 0.0291311	0.0484193 0.000228801	0.043701 0.00205497	0.0189527 0.00877161	
61.5	47.2146	36	0.135745 1.56661e-05	0.108252 0.0053016	0.0588602 0.0162996	0.0448205 0.000299314	0.0486588 0.00103423	-0.0175906 0.00391904	
62.5	43.7167	34	0.126281 2.79701e-05	0.100413 0.00202384	0.0590988 0.00840725	0.0402402 3.45796e-05	0.0497886 0.00112284	-0.0381846 0.00559663	
63.5	41.077	32	0.138192 2.75775e-05	0.106847 0.0152445	0.0659548 0.031013	0.0437755 9.85202e-05	0.0597461 0.000324552	-0.0630826 0.00258806	
64.5	39.0203	30	0.120003 0.000339783	0.0883226 0.00440579	0.0701284 0.0124152	0.0377161 0.000166743	0.0650945 0.0028155	-0.10569 0.00898586	
65.5	36.5489	28	0.113046 0.000355697	0.0976273 0.00805791	0.0316613 0.0180709	0.0375182 3.9018e-05	0.0470841 0.000191628	-0.0333605 0.000521417	
66.5	33.8478	26	0.121739 0.000151226	0.12148 0.00101477	0.000531759 0.00103293	0.0329076 5.6343e-05	0.0504214 0.000714395	-0.0669194 0.00307062	
67.5	30.8944	24.5	0.119538 0.000175091	0.116919 0.000607292	0.00564654 0.000981473	0.0305535 0.000609145	0.0458441 0.000642738	-0.0580877 0.00483963	
68.5	28.7032	23	0.0933947 0.000530419	0.107608 0.00749669	-0.0313465 0.0176779	0.0268879 3.70607e-05	0.042537 0.000366973	-0.049308 0.00125941	
69.5	26.8044	21.5	0.11053 0.000115859	0.11472 0.000650404	-0.00823889 0.000380981	0.0253363 0.000522223	0.0433565 0.000543641	-0.0624026 0.000430105	
70.5	25.095	20	0.109701 0.00018882	0.100681 0.0243054	0.0196282 0.0367904	0.0245359 0.000152148	0.0431165 0.00511069	-0.0723169 0.0130947	
71.5	23.1688	18.5	0.0787319 0.000812775	0.107632 0.000569498	-0.0536752 0.00468879	0.0195211 1.95167e-05	0.040241 6.38264e-05	-0.0666261 0.000198631	
72.5	21.2964	17.5	0.0857915 0.000769155	0.147393 0.00178174	-0.121419 0.00715588	0.0173218 1.93517e-05	0.0332264 0.000223737	-0.0475238 0.000564882	
73.5	19.1121	16.5	0.0883414 0.000701808	0.112126 0.0142291	-0.045814 0.0215785	0.0178254 2.87512e-05	0.0344042 5.81362e-05	-0.0507625 0.000124626	
74.5	17.4246	15	0.0943387 0.0014981	0.147526 0.0136396	-0.101607 0.0211334	0.0171685 3.43119e-05	0.0323813 0.000410314	-0.0558394 0.00193531	
75.5	16.0853	13.5	0.0810546 8.03882e-05	0.117955 0.00124085	-0.0710895 0.00463874	0.0195395 0.000122049	0.0291049 0.000581526	-0.0352101 0.00208622	
76.5	14.7804	12.5	0.074366 0.000376983	0.110224 0.00344718	-0.0662964 0.00820392	0.0140579 5.2358e-05	0.0309204 1.68833e-05	-0.0482942 3.02763e-05	
77.5	13.1748	11.5	0.0744681 9.00201e-05	0.10694 0.00103594	-0.0647538 0.00221836	0.0137897 2.05725e-05	0.029708 0.000100546	-0.0445375 0.00021135	
78.5	12.2443	10.5	0.0520813 0.000767275	0.122381 0.00120674	-0.126872 0.000208337	0.0128747 5.87442e-05	0.022089 0.000140117	-0.0251551 0.00024456	
79.5	10.9678	10	0.0647195 3.70986e-05	0.124978 0.000313825	-0.118079 0.000522976	0.0115395 1.21901e-05	0.02401 5.67273e-05	-0.0421765 0.000142292	
80.5	9.75737	9.5	0.0479459 0.000752544	0.123504 0.00783844	-0.130176 0.0107449	0.00686548 5.7316e-05	0.0156761 0.000338931	-0.0269423 0.000846236	
81.5	8.87155	8.5	0.0430292 0.000178685	0.0861136 0.00245453	-0.0812336 0.00528193	0.00728235 0.000214127	0.0188444 0.000282293	-0.033487 0.000120171	
82.5	7.71327	7.5	0.0429649 7.40895e-05	0.0995701 0.000160693	-0.101857 0.000355973	0.00601495 3.36536e-06	0.0193736 3.03231e-06	-0.0367869 6.32724e-06	
83.5	7.13274	7	0.0419685 0.000544952	0.0994032 0.00500948	-0.0992176 0.00786855	0.00711204 0.000375606	0.0187751 0.000882401	-0.0335562 0.00150248	
84.5	6.26137	6.5	0.0384039 1.35319e-05	0.0946907 0.000241405	-0.102994 0.000388553	0.00523262 3.36832e-05	0.0173924 0.000297882	-0.0354807 0.00065707	
85.5	5.49043	6	0.0434177 5.98947e-05	0.126798 0.00243085	-0.150994 0.00491933	0.00989029 0.00036909	0.0209688 0.000984718	-0.0356371 0.00197768	
86.5	4.91999	5.5	0.0418077 0.000431911	0.10798 0.0130689	-0.11345 0.0172134	0.00487696 0.000262545	0.011616 0.000653496	-0.0205703 0.00116961	
87.5	4.25535	5	0.0381766 8.19508e-05	0.108183 0.00022036	-0.129358 0.00038299	0.00215518 4.0992e-06	0.00765687 9.72113e-06	-0.0124007 1.72121e-05	
88.5	3.71761	4.5	0.0265098 6.11311e-10	0.0816828 3.43548e-09	-0.105531 5.47773e-09	0.00276823 1.37928e-11	0.00953943 7.85299e-11	-0.0191402 1.83017e-10	
89.5	3.24299	4	0.0240882 3.99977e-09	0.114077 6.99508e-08	-0.141948 9.70718e-08	0.00224287 5.53033e-11	0.00801947 2.27809e-10	-0.0151664 4.54485e-10	
90.5	2.75569	3.5	0.0291159 2.74099e-10	0.117048 2.14893e-09	-0.155949 3.24063e-09	0.00221386 2.14659e-11	0.00710539 7.06746e-11	-0.0122651 1.23408e-10	
91.5	2.34299	3	0.0272938 1.62706e-05	0.0898372 2.08944e-05	-0.120827 3.32493e-05	0.0020161 7.24316e-07	0.00801481 1.94047e-06	-0.0139481 3.43825e-06	
92.5	1.93822	3	0.0221925 0.000692401	0.0878167 0.00155308	-0.113139 0.00188446	0.00129527 2.26371e-07	0.00530437 8.95055e-07	-0.0107733 1.85325e-06	
93.5	1.59292	2.5	0.0200114 0.000270693	0.0813236 0.000498717	-0.11949 0.000741022	0.00108432 6.65204e-06	0.00377587 2.10945e-05	-0.00738315 4.15334e-05	
94.5	1.25192	2	0.012159 0.000826457	0.0530868 0.00859576	-0.0707225 0.0113055	0.000350266 5.6551e-06	0.00116843 6.67356e-05	-0.00185219 0.000116988	
95.5	0.963625	2	0.00695687 0.000528168	0.0440723 0.00808892	-0.057775 0.0103839	-1.36838e-05 9.79592e-07	3.67549e-05 6.87178e-06	-0.000102553 8.90327e-06	
96.5	0.682832	2	0.0105283 0.000172984	0.0347917 0.000410088	-0.0480882 0.00060103	-0.000413912 5.42185e-06	-0.00103425 1.40276e-05	0.00197011 2.99767e-05	
97.5	0.444686	2	0.00323633 2.43314e-07	0.0174333 2.51381e-06	-0.0227279 3.38584e-06	-0.000377774 3.03666e-09	-0.00129377 1.37951e-08	0.0034046 3.99716e-08	
98.5	0.2148	2	0.000424999 2.836e-07	0.00301262 3.78146e-06	-0.00467196 6.10875e-06	-0.000102291 4.97663e-09	-0.000867599 4.20145e-08	0.00476964 2.30497e-07	
99.5	0.0577999	0	-0.000120305 3.76054e-05	3.48346e-05 0.000485873	-0.00549209 0.00768379	0.000119539 3.09027e-05	-0.000152657 0.000167725	0.0431098 0.0315299	
