Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	724.507	387	0.00691663 0.000246043	 0.0307259 0.000686322	 0.021146 0.000510256	 0.011271 0.000240283	 0.00588519 0.000126037	 0.0028052 6.09353e-05	 
7.5	594.917	332.5	0.00746421 0.000233337	 0.0436976 0.000837622	 0.0238044 0.000510904	 0.0128276 0.000260472	 0.00609006 0.000126766	 0.0027547 5.71625e-05	 
12.5	494.407	284.5	0.00899524 0.000322167	 0.0555086 0.000996803	 0.0244423 0.000540618	 0.0142987 0.000314545	 0.00643389 0.000138852	 0.00317252 7.05794e-05	 
17.5	404.746	242	0.00993379 0.000315444	 0.0647592 0.00101127	 0.0276878 0.000566942	 0.0143061 0.000267739	 0.00667524 0.000126822	 0.00336 6.86581e-05	 
22.5	332.257	204.5	0.0112849 0.00040369	 0.0741542 0.0010614	 0.0288 0.000630182	 0.0146188 0.000300913	 0.00717164 0.000160232	 0.00349387 7.8401e-05	 
27.5	271.306	171.5	0.012026 0.000410205	 0.0797959 0.00109379	 0.0285933 0.000638265	 0.0151987 0.000325004	 0.00708652 0.000149522	 0.00370852 7.66219e-05	 
32.5	217.339	142.5	0.0132331 0.000434601	 0.085169 0.00120108	 0.0296147 0.000612467	 0.0150304 0.000303665	 0.00746723 0.000157596	 0.00363007 8.60293e-05	 
37.5	174.788	117	0.0138085 0.000415434	 0.089478 0.00141295	 0.0305703 0.000640924	 0.0156616 0.000341586	 0.00745419 0.000160954	 0.00368868 9.02394e-05	 
42.5	138.482	95	0.0143864 0.000489786	 0.0914356 0.00143205	 0.0295124 0.000582517	 0.0153889 0.000328049	 0.00724445 0.000151041	 0.00353461 8.74854e-05	 
47.5	107.448	76	0.0164672 0.00054719	 0.0898055 0.00142672	 0.0299302 0.000562856	 0.0155393 0.00033723	 0.00731291 0.000152	 0.00344903 8.32686e-05	 
52.5	82.1892	59.5	0.0175409 0.000612283	 0.092777 0.00147856	 0.0279924 0.00057927	 0.0151636 0.000352579	 0.0067691 0.000151819	 0.00338919 8.56854e-05	 
57.5	61.7917	45.5	0.0181856 0.000719453	 0.0915726 0.00157994	 0.0270089 0.000568003	 0.0152318 0.000369647	 0.00604358 0.000132186	 0.00317892 8.39361e-05	 
62.5	44.3418	34	0.0172206 0.000628612	 0.0875007 0.00153714	 0.023596 0.00051334	 0.0133621 0.00035172	 0.005492 0.000125933	 0.00288357 8.86732e-05	 
67.5	31.3257	25	0.0167335 0.000586868	 0.0807202 0.00149372	 0.0191237 0.000430231	 0.0132523 0.000361019	 0.0045448 0.000120794	 0.00250759 8.07076e-05	 
72.5	21.3776	17.5	0.0136853 0.000450956	 0.071961 0.00143383	 0.0155685 0.000381546	 0.0107367 0.000327695	 0.00353879 0.000100041	 0.00189613 6.10883e-05	 
77.5	13.3742	12	0.0113202 0.000414855	 0.0602771 0.00138722	 0.0116648 0.000317509	 0.00832505 0.000251747	 0.0023443 7.59903e-05	 0.00140739 4.42344e-05	 
82.5	7.97044	8	0.0106598 0.000443398	 0.0425411 0.00128061	 0.0074886 0.000243699	 0.00449025 0.000215809	 0.0011336 5.84573e-05	 0.000821505 3.23026e-05	 
87.5	4.343	5	0.00702814 0.000326616	 0.0303902 0.00114008	 0.00414651 0.000214726	 0.00191641 0.000119849	 0.00052375 3.80408e-05	 0.000451237 2.08146e-05	 
92.5	1.97101	3	0.00308419 0.000201218	 0.0172552 0.000773531	 0.00139434 8.51767e-05	 0.000417691 4.40797e-05	 0.000137743 8.91086e-06	 0.000164811 1.23915e-05	 
97.5	0.522167	2	0.00046933 3.23065e-05	 0.00398358 0.0004274	 0.000124291 9.38571e-06	 7.03263e-05 8.1635e-06	 2.2164e-05 2.38145e-06	 2.11064e-05 2.88672e-06	 
