Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	724.507	387	0.355416 0.372279	-0.619666 0.129252	0.566835 0.0858799	
7.5	594.917	332.5	0.704997 0.0429814	0.487076 0.144883	0.627725 0.0684862	
12.5	494.407	284.5	0.764455 0.0235506	0.22092 1.25301	0.336247 0.442067	
17.5	404.746	242	0.812007 0.0189025	0.413122 0.267027	0.658853 0.0537203	
22.5	332.257	204.5	0.870463 0.0109277	0.279948 0.790518	0.588529 0.0752343	
27.5	271.306	171.5	0.877743 0.00897775	-0.524534 0.129339	0.333569 0.453496	
32.5	217.339	142.5	0.863346 0.0104435	0.46081 0.165804	0.54552 0.0951622	
37.5	174.788	117	0.814856 0.0169839	0.350624 0.349158	-0.50576 0.20313	
42.5	138.482	95	0.827362 0.0142041	0.629078 0.0679541	0.357972 0.345595	
47.5	107.448	76	0.805476 0.0164446	0.659297 0.0458928	-0.530169 0.204192	
52.5	82.1892	59.5	0.809991 0.0159269	0.44874 0.188746	-0.677124 0.125463	
57.5	61.7917	45.5	0.780864 0.0197348	0.509624 0.125755	-0.700925 0.0560092	
62.5	44.3418	34	0.757377 0.0240131	-0.408477 0.298529	-0.842238 0.0546538	
67.5	31.3257	25	0.701338 0.0338596	-0.588249 0.0904086	-0.894518 0.0417129	
72.5	21.3776	17.5	0.64974 0.0489542	-0.700905 0.0927403	-0.980422 0.0368183	
77.5	13.3742	12	-0.625481 0.0802507	-0.884062 0.0452572	-0.996943 0.0354247	
82.5	7.97044	8	-1.00534 0.0334062	-1.07979 0.0366313	-1.42473 0.0539005	
87.5	4.343	5	-1.17559 0.034884	-1.45636 0.0778986	-1.62792 0.0464055	
92.5	1.97101	3	-1.37496 0.0382336	-1.65122 0.0581028	-2.20055 0.120917	
97.5	0.522167	2	-2.16805 0.0976712	-1.80268 0.0682935	-2.2545 0.0993342	
