Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	724.507	387	0.242219 0.000120896	0.248284 0.000334705	-0.201994 0.0106944	0.173626 7.50184e-05	0.173271 0.000232175	0.0125808 0.00986755	
7.5	594.917	332.5	0.229275 7.33739e-05	0.226004 0.00105775	0.0583753 0.0251141	0.165826 5.42741e-05	0.170297 0.000101668	-0.122276 0.0087608	
12.5	494.407	284.5	0.222822 8.74253e-05	0.208416 0.00386079	0.164784 0.0382082	0.151468 2.68386e-05	0.153215 5.77367e-05	-0.0393639 0.00462819	
17.5	404.746	242	0.213626 4.72315e-05	0.19672 0.00125069	0.139331 0.0126204	0.139242 0.000120981	0.140305 1.78691e-05	-0.0161204 0.00348523	
22.5	332.257	204.5	0.208733 5.07566e-05	0.197737 0.000124889	0.0697145 0.000926649	0.133129 8.13636e-05	0.135597 4.06929e-05	-0.033067 0.00245684	
27.5	271.306	171.5	0.203161 8.98839e-06	0.182771 0.00116668	0.108271 0.00851879	0.120956 2.02116e-05	0.116184 6.18373e-05	0.0558813 0.00112599	
32.5	217.339	142.5	0.195406 7.97024e-06	0.169537 7.92521e-05	0.113199 0.00025401	0.11342 3.90793e-05	0.115307 0.00011747	-0.0177952 0.000785914	
37.5	174.788	117	0.189596 1.2684e-05	0.153553 0.000128438	0.132091 0.000121014	0.100578 5.23079e-05	0.112085 9.92977e-05	-0.086128 0.000193389	
42.5	138.482	95	0.182359 5.55991e-05	0.147758 0.00271189	0.114137 0.00902915	0.0889444 3.90495e-05	0.0940077 0.000740184	-0.0359914 0.00525068	
47.5	107.448	76	0.170641 7.79554e-05	0.133143 0.00190532	0.11336 0.00615708	0.076568 0.000266055	0.0888376 0.000891136	-0.066815 0.00343892	
52.5	82.1892	59.5	0.163077 1.89795e-05	0.129073 6.21385e-05	0.0893065 0.00103462	0.0650562 1.9986e-05	0.0720049 5.58646e-05	-0.0347608 0.00015465	
57.5	61.7917	45.5	0.152667 4.77345e-05	0.107854 0.000762567	0.110917 0.00278079	0.0571284 0.000151469	0.060076 0.000380536	-0.0129404 0.00235691	
62.5	44.3418	34	0.131849 0.000111849	0.0989634 0.0026038	0.0724483 0.00545202	0.0427339 2.66678e-05	0.0548307 0.000300093	-0.0490502 0.00128367	
67.5	31.3257	25	0.111983 5.71434e-05	0.111 0.00156864	0.00204354 0.00358352	0.0303274 1.35333e-05	0.0458393 9.64341e-05	-0.0543719 0.000362878	
72.5	21.3776	17.5	0.0910264 0.000150581	0.125219 0.000348504	-0.0670477 0.00142669	0.0194358 5.83903e-06	0.0366243 5.51748e-05	-0.0568942 0.000153393	
77.5	13.3742	12	0.0692907 0.000131251	0.117994 6.08385e-05	-0.0926956 0.000429672	0.0142278 1.29371e-05	0.0269338 2.26811e-05	-0.0382791 3.89699e-05	
82.5	7.97044	8	0.0430721 2.65058e-06	0.0996918 4.47941e-05	-0.101423 7.05964e-05	0.00659125 6.81606e-06	0.0180946 5.52827e-05	-0.0333343 0.00012577	
87.5	4.343	5	0.0359453 1.59403e-05	0.109669 5.08403e-05	-0.129332 8.48149e-05	0.00443782 7.83771e-07	0.0124616 2.32878e-07	-0.0218734 4.26932e-07	
92.5	1.97101	3	0.0231274 0.000231249	0.0890334 0.00200405	-0.119085 0.00265396	0.00147105 5.58027e-06	0.00536472 5.11835e-05	-0.00965626 9.45162e-05	
97.5	0.522167	2	0.00617885 4.1928e-05	0.0297836 0.000163991	-0.0398779 0.000231143	-0.000143224 1.21315e-06	-0.000389438 4.05755e-06	0.000605579 7.16744e-06	
