Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	799.529	408.5	0.00618664 0.000332539	 0.0254079 0.00128712	 0.0208236 0.00129749	 0.0109994 0.000576121	 0.00568792 0.000258123	 0.00293757 0.000152512	 
1.5	753.954	396	0.00644967 0.000526734	 0.0275598 0.00126228	 0.0203746 0.00087781	 0.0113654 0.000466715	 0.00540525 0.000268781	 0.00260538 0.000126509	 
2.5	715.15	385.5	0.00755108 0.000540571	 0.0310085 0.00163166	 0.0191842 0.000929437	 0.0114028 0.000549669	 0.00585508 0.000260721	 0.00278031 0.000114715	 
3.5	686.935	374.5	0.00671965 0.000443577	 0.0366415 0.00183147	 0.0218585 0.00121703	 0.0103045 0.000568602	 0.00610157 0.000293923	 0.00310291 0.000153384	 
4.5	662.559	363.5	0.00759122 0.000706936	 0.0328367 0.00137513	 0.0230747 0.00123004	 0.0120207 0.000533184	 0.00636093 0.00030611	 0.00264228 0.000124497	 
5.5	640.155	353	0.00692593 0.000384101	 0.0363444 0.00162641	 0.0228161 0.00120519	 0.0132433 0.000566467	 0.00597484 0.000266588	 0.00259816 0.000120729	 
6.5	618.811	342.5	0.00734905 0.000467779	 0.0408931 0.00195467	 0.0251154 0.00117953	 0.0119399 0.000575397	 0.00594512 0.000309803	 0.0027907 0.000116096	 
7.5	594.491	332	0.00731289 0.000565489	 0.0454041 0.00191292	 0.023825 0.00124515	 0.012749 0.00063472	 0.00617002 0.000266714	 0.0027978 0.000145153	 
8.5	570.345	322	0.00798095 0.000593012	 0.0483988 0.00190752	 0.0234593 0.00103469	 0.0127073 0.000519991	 0.00656362 0.000298251	 0.00280156 0.000130029	 
9.5	548.699	312	0.00771844 0.00057334	 0.0467341 0.00173709	 0.0239257 0.00107489	 0.0133668 0.00062134	 0.00575028 0.00027205	 0.00279646 0.000129178	 
10.5	532.236	302.5	0.00811878 0.000682293	 0.0494346 0.00215147	 0.024278 0.0012915	 0.0130279 0.00059359	 0.00640989 0.000309834	 0.00331426 0.000165877	 
11.5	512.533	293	0.0100287 0.00100826	 0.0550874 0.00197641	 0.0270724 0.00135353	 0.0132339 0.000773138	 0.00684313 0.000322496	 0.00329219 0.000162427	 
12.5	491.503	283.5	0.00823598 0.000554204	 0.0564157 0.00237327	 0.0247779 0.00118262	 0.0145265 0.00072024	 0.00669752 0.000331815	 0.00286566 0.000154769	 
13.5	473.147	274.5	0.00895883 0.000607629	 0.0558019 0.00215798	 0.0231526 0.000983985	 0.0152337 0.000630287	 0.0062214 0.000280349	 0.00309663 0.000149269	 
14.5	456.156	266	0.00962843 0.000595185	 0.0613766 0.00238997	 0.0226185 0.00109627	 0.0154839 0.000807154	 0.00592716 0.000300161	 0.00326732 0.000151306	 
15.5	435.51	257.5	0.00932119 0.000613489	 0.0632131 0.00188052	 0.0292213 0.0013437	 0.0131932 0.000531378	 0.00647822 0.000284114	 0.00336754 0.000172196	 
