Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	724.507	387	1.45303 0.0474264
7.5	594.917	332.5	1.8357 0.0518594
12.5	494.407	284.5	2.27101 0.0654308
17.5	404.746	242	2.33891 0.0640723
22.5	332.257	204.5	2.5748 0.0716982
27.5	271.306	171.5	2.79072 0.076874
32.5	217.339	142.5	2.8759 0.0761182
37.5	174.788	117	2.92696 0.083809
42.5	138.482	95	3.09821 0.0850313
47.5	107.448	76	3.0005 0.0809819
52.5	82.1892	59.5	3.31436 0.0963407
57.5	61.7917	45.5	3.39046 0.105969
62.5	44.3418	34	3.70829 0.116506
67.5	31.3257	25	4.22095 0.133841
72.5	21.3776	17.5	4.62223 0.152256
77.5	13.3742	12	5.16743 0.181056
82.5	7.97044	8	5.68078 0.222584
87.5	4.343	5	7.32909 0.411748
92.5	1.97101	3	12.3752 0.705755
97.5	0.522167	2	32.0505 3.58311
