Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	658.492	361.5	-3.27194e-09 7.1652e-10	-2.8561e-11 1.28587e-07	-1.23937e-08 1.56353e-08	2.25555e-09 1.14062e-09	1.31791e-10 6.43358e-11	5.51956e-12 3.02899e-12	
15	446.746	264.5	-1.19534e-08 2.36728e-09	4.96682e-06 5.26827e-07	-4.7574e-09 3.35812e-08	4.44588e-09 2.10153e-09	2.07728e-10 8.64779e-11	1.00532e-12 5.71825e-12	
25	301.179	189	-2.9259e-08 6.02692e-09	2.04018e-05 1.20311e-06	-2.3799e-08 5.46545e-08	2.87296e-09 2.82054e-09	1.33724e-12 1.3445e-10	3.01737e-12 1.02572e-11	
35	196.026	130.5	-4.0139e-08 8.6343e-09	2.84628e-05 2.00708e-06	2.22684e-08 3.88021e-08	9.64302e-11 3.15483e-09	-5.89838e-11 2.02365e-10	-5.33198e-11 2.43374e-11	
45	122.521	86	-9.07986e-08 1.84925e-08	2.99454e-05 2.35934e-06	1.35375e-07 3.52843e-08	-1.93276e-09 3.87629e-09	9.27926e-11 1.43413e-10	-4.91295e-11 1.48065e-11	
55	72.2989	53	-2.05048e-07 4.05669e-08	2.908e-05 2.65712e-06	2.87676e-08 3.0854e-08	-1.20271e-08 4.07044e-09	-1.85172e-10 1.3931e-10	-5.3222e-11 1.98909e-11	
65	37.7746	30	-1.49984e-07 2.18408e-08	1.40885e-05 1.94378e-06	-3.06054e-08 1.58977e-08	-1.7916e-08 2.95642e-09	-2.29935e-10 4.61427e-11	-6.35864e-11 1.27439e-11	
75	17.2745	15.5	-3.90423e-08 5.73154e-09	1.00262e-07 9.08485e-07	-1.83546e-08 4.09853e-09	-9.47192e-09 1.25129e-09	-9.42083e-11 1.54613e-11	-1.07983e-11 1.68314e-12	
85	6.22389	7	-2.51453e-08 4.74886e-09	-2.91136e-06 2.47931e-07	-3.61213e-09 4.81721e-10	-1.04989e-09 2.23658e-10	-4.98165e-12 2.57353e-12	-7.52563e-13 1.91187e-13	
95	1.28311	3	-4.51409e-10 1.21039e-10	-2.08676e-07 2.74881e-08	-1.66146e-11 3.81249e-12	-3.89496e-13 1.64137e-13	-1.75792e-15 6.3863e-16	-4.8846e-15 1.49314e-15	
