Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	799.529	408.5	-0.352681 0.941885	-0.850971 0.189568	-0.537706 0.286609	
1.5	753.954	396	0.551633 0.19695	0.665759 0.109346	0.719561 0.0635188	
2.5	715.15	385.5	0.437642 0.475672	0.652394 0.140128	0.658031 0.0981438	
3.5	686.935	374.5	0.629445 0.116954	-0.453656 0.433129	-0.40381 0.656804	
4.5	662.559	363.5	0.704688 0.0770833	-0.679474 0.174997	0.626731 0.115732	
5.5	640.155	353	0.583473 0.138829	-0.688274 0.189229	0.662469 0.109215	
6.5	618.811	342.5	0.599214 0.1437	0.631741 0.123832	0.585305 0.225974	
7.5	594.491	332	0.757492 0.0495484	-0.403107 0.617098	0.509901 0.285199	
8.5	570.345	322	0.767147 0.076005	0.651086 0.106068	0.736142 0.0704863	
9.5	548.699	312	0.816374 0.0392011	0.658472 0.0919597	0.605877 0.164604	
10.5	532.236	302.5	0.636921 0.108932	-0.69981 0.235178	0.541205 0.215313	
11.5	512.533	293	0.835372 0.0310833	0.338849 0.837524	-0.764759 0.217473	
12.5	491.503	283.5	0.741577 0.054579	0.569525 0.193646	0.43207 0.476206	
13.5	473.147	274.5	0.776352 0.0544982	0.693675 0.0797463	0.721647 0.0665446	
14.5	456.156	266	0.822012 0.036887	0.633385 0.133158	0.423148 0.552099	
15.5	435.51	257.5	0.885496 0.0182845	0.541031 0.23365	0.737187 0.0539963	
16.5	419.706	249	0.764607 0.0669139	0.601487 0.17785	0.788892 0.0506493	
17.5	404.311	241	0.788727 0.0474856	0.553384 0.214967	0.663007 0.091381	
18.5	390.494	233	0.813052 0.0389878	0.529742 0.258496	-0.550921 0.258039	
19.5	373.313	225.5	0.818017 0.0361548	-0.648729 0.302767	0.643153 0.115121	
20.5	361.102	218	0.886944 0.0188688	0.390562 0.757236	0.193011 1.3163	
21.5	346.835	210.5	0.888828 0.0189894	0.563501 0.155946	0.50515 0.285695	
22.5	330.49	203.5	0.879182 0.0169928	0.666116 0.102971	0.673411 0.0811275	
23.5	318.551	196.5	0.873787 0.0219191	0.475117 0.384261	0.614234 0.132779	
24.5	308.91	190	0.860747 0.0247673	-0.598469 0.200647	0.69434 0.0876644	
25.5	292.644	183.5	0.909453 0.0140695	-0.543774 0.31541	0.382328 0.63939	
26.5	281.379	177	0.877435 0.0197969	-0.706644 0.107228	-0.624745 0.208779	
27.5	270.123	171	0.846233 0.0272995	0.530949 0.235985	-0.53101 0.297276	
28.5	259.356	165	0.870814 0.020325	-0.37284 0.727037	-0.395325 0.555328	
29.5	249.019	159	0.889709 0.0190974	0.363898 0.850291	0.76403 0.0572494	
30.5	238.728	153	0.851596 0.0281057	-0.374569 0.890987	0.137795 1.96223	
31.5	227.816	147	0.863308 0.0230344	0.715878 0.0795754	0.616929 0.131777	
32.5	216.915	141.5	0.864879 0.0219821	-0.578923 0.256924	0.474394 0.353513	
33.5	207.075	136.5	0.851827 0.0242223	0.5555 0.150142	0.610195 0.138223	
34.5	200.19	131.5	0.88776 0.0167252	0.313357 0.749666	0.559465 0.169205	
35.5	191.943	126.5	0.860897 0.0268616	-0.362996 0.938728	-0.485913 0.414337	
36.5	183.902	121.5	0.841706 0.0270447	0.276848 0.82739	0.67026 0.110479	
37.5	174.529	116.5	0.834502 0.0279568	0.613026 0.112413	-0.728324 0.145013	
38.5	167.07	112	0.804214 0.0366765	-0.582007 0.331163	0.676752 0.103919	
39.5	159.881	107.5	0.77501 0.0582764	0.542781 0.206923	-0.758614 0.232325	
40.5	152.378	103	0.850684 0.0244531	-0.629539 0.293513	0.484019 0.274919	
41.5	146.079	99	0.819444 0.0292808	0.713589 0.0804992	-0.327759 0.822704	
42.5	139.501	94.5	0.8266 0.0326957	0.780179 0.0404734	-0.384285 0.57311	
43.5	131.464	90	0.832785 0.0283228	0.533669 0.215702	0.615565 0.138938	
44.5	123.495	86.5	0.83283 0.0289122	0.738262 0.0570386	0.373025 0.823535	
45.5	118.61	83	0.836434 0.0294895	0.683613 0.0838034	0.629848 0.102289	
46.5	112.999	79	0.766263 0.050103	0.761284 0.056459	-0.879559 0.545728	
47.5	106.867	75.5	0.825311 0.0315303	0.664375 0.094496	0.532643 0.180231	
48.5	101.684	72	0.814013 0.0343708	0.728412 0.0649119	0.339764 0.872833	
49.5	97.1601	68.5	0.800444 0.0356275	0.497197 0.24533	-0.621347 0.305962	
50.5	92.1461	65.5	0.824824 0.0313049	-0.820946 0.153719	-0.216761 1.10444	
51.5	86.7778	62.5	0.809534 0.0314002	0.71288 0.059331	0.533373 0.209237	
52.5	81.5385	59.5	0.761138 0.0466403	0.66719 0.0905354	-0.731148 0.122229	
53.5	77.5392	56.5	0.875414 0.0227608	0.589862 0.124847	-0.427424 0.492088	
54.5	73.4872	53.5	0.754287 0.0558824	0.552207 0.196625	-0.945933 0.280346	
55.5	69.4417	50.5	0.793939 0.0407367	0.679363 0.0990708	-0.699649 0.137379	
56.5	66.5793	48	0.745801 0.0524923	0.674105 0.0877401	-0.824872 0.0867635	
57.5	61.7041	45.5	0.772765 0.0410567	-0.536246 0.21469	-0.587048 0.182983	
58.5	57.6738	43	0.830863 0.0322627	-0.572256 0.218779	-0.519251 0.450348	
59.5	53.8852	40.5	0.76481 0.0547141	0.619218 0.106293	-0.691409 0.14869	
60.5	51.0074	38	0.752348 0.0570905	-0.750969 0.200682	-0.817911 0.118109	
61.5	47.2146	36	0.734745 0.0621351	0.458918 0.409826	-0.697178 0.18027	
62.5	43.7167	34	0.757735 0.0523676	-0.352007 0.985233	-0.863245 0.113962	
63.5	41.077	32	0.79442 0.0440033	0.533182 0.234403	-0.894849 0.139226	
64.5	39.0203	30	0.772458 0.0425728	0.656263 0.100037	-0.850334 0.229113	
65.5	36.5489	28	0.588289 0.149988	-0.509427 0.274863	-0.707923 0.172164	
66.5	33.8478	26	0.772146 0.0490069	-0.283164 0.735605	-0.988382 0.0688254	
67.5	30.8944	24.5	0.778674 0.0471375	-0.655337 0.186298	-0.888604 0.102986	
68.5	28.7032	23	0.710943 0.07548	-0.379019 0.682903	-0.98713 0.126308	
69.5	26.8044	21.5	0.65001 0.094618	-0.674831 0.15801	-0.801811 0.103849	
70.5	25.095	20	0.748805 0.0511279	-0.655236 0.310663	-0.836992 0.0829797	
71.5	23.1688	18.5	0.700549 0.0766068	0.409906 0.584144	-0.909353 0.106415	
72.5	21.2964	17.5	0.578278 0.160687	-0.767142 0.12086	-1.0063 0.0873108	
73.5	19.1121	16.5	0.583963 0.159266	-0.608126 0.23759	-1.13358 0.0832859	
74.5	17.4246	15	0.60341 0.163611	0.642012 0.118702	-0.988856 0.0934693	
75.5	16.0853	13.5	0.627873 0.125457	-0.630248 0.190376	-0.925838 0.0849071	
76.5	14.7804	12.5	-0.680617 0.152169	-0.88794 0.130252	-0.957763 0.0732716	
77.5	13.1748	11.5	0.427056 0.434797	-0.86103 0.0928363	-0.905077 0.101138	
78.5	12.2443	10.5	-0.741491 0.125219	-0.969438 0.0867745	-1.06008 0.10099	
79.5	10.9678	10	-0.763269 0.109219	-0.791583 0.118268	-1.08199 0.0761845	
80.5	9.75737	9.5	-0.925457 0.0837738	-0.995891 0.0895949	-1.33422 0.0914893	
81.5	8.87155	8.5	-0.934365 0.0729571	-0.896544 0.0888189	-1.32249 0.0786112	
82.5	7.71327	7.5	-0.931753 0.0865891	-1.12494 0.0731013	-1.30354 0.0829476	
83.5	7.13274	7	-1.1068 0.0710986	-1.10934 0.085985	-1.35362 0.119217	
84.5	6.26137	6.5	-1.09818 0.0684322	-1.14357 0.0740535	-1.46145 0.0791227	
85.5	5.49043	6	-1.04923 0.0668674	-1.27549 0.0920009	-1.3438 0.0771455	
86.5	4.91999	5.5	-1.1105 0.0784492	-1.35285 0.082181	-1.41515 0.0846479	
87.5	4.25535	5	-1.06336 0.0795914	-1.08728 0.0861489	-1.60248 0.111641	
88.5	3.71761	4.5	-1.1828 0.143652	-1.11351 0.0933576	-1.49953 0.144031	
89.5	3.24299	4	-1.31724 0.079255	-1.434 0.120696	-1.7676 0.129603	
90.5	2.75569	3.5	-1.17786 0.0807355	-1.43969 0.0931071	-1.6145 0.114841	
