Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	799.529	408.5	1.22015 0.09872
1.5	753.954	396	1.35265 0.0845539
2.5	715.15	385.5	1.61636 0.120941
3.5	686.935	374.5	1.67631 0.125044
4.5	662.559	363.5	1.42306 0.0961745
5.5	640.155	353	1.59293 0.108541
6.5	618.811	342.5	1.62821 0.10011
7.5	594.491	332	1.90573 0.128089
8.5	570.345	322	2.0631 0.12151
9.5	548.699	312	1.9533 0.116776
10.5	532.236	302.5	2.03619 0.137595
11.5	512.533	293	2.03482 0.128323
12.5	491.503	283.5	2.27686 0.151708
13.5	473.147	274.5	2.41018 0.131143
14.5	456.156	266	2.71356 0.17847
15.5	435.51	257.5	2.16326 0.127115
16.5	419.706	249	2.3511 0.149089
17.5	404.311	241	2.54217 0.151126
18.5	390.494	233	2.31205 0.13403
19.5	373.313	225.5	2.33242 0.160228
20.5	361.102	218	2.56218 0.16107
21.5	346.835	210.5	2.77663 0.160808
22.5	330.49	203.5	2.52726 0.143002
23.5	318.551	196.5	2.39814 0.156663
24.5	308.91	190	2.61397 0.169706
25.5	292.644	183.5	2.78581 0.16075
26.5	281.379	177	2.70104 0.171957
27.5	270.123	171	2.8903 0.181316
28.5	259.356	165	2.70935 0.174493
29.5	249.019	159	2.89751 0.1764
30.5	238.728	153	2.81898 0.176938
31.5	227.816	147	2.88081 0.155779
32.5	216.915	141.5	2.98955 0.216619
33.5	207.075	136.5	3.02314 0.165428
34.5	200.19	131.5	2.70478 0.157058
35.5	191.943	126.5	2.97766 0.209447
36.5	183.902	121.5	2.7357 0.17068
37.5	174.529	116.5	2.94034 0.169728
38.5	167.07	112	2.98321 0.195779
39.5	159.881	107.5	2.97969 0.199282
40.5	152.378	103	2.89875 0.195747
41.5	146.079	99	2.96752 0.179789
42.5	139.501	94.5	3.21322 0.179724
43.5	131.464	90	3.11316 0.18583
44.5	123.495	86.5	3.28247 0.203605
45.5	118.61	83	3.0173 0.170654
46.5	112.999	79	2.98697 0.192441
47.5	106.867	75.5	3.15568 0.183163
48.5	101.684	72	3.31363 0.188954
49.5	97.1601	68.5	2.58732 0.164246
50.5	92.1461	65.5	3.12683 0.251275
51.5	86.7778	62.5	3.33347 0.193718
52.5	81.5385	59.5	3.2696 0.208453
53.5	77.5392	56.5	3.49097 0.200749
54.5	73.4872	53.5	3.32893 0.23007
55.5	69.4417	50.5	3.5059 0.237001
56.5	66.5793	48	3.18894 0.221024
57.5	61.7041	45.5	3.21888 0.228518
58.5	57.6738	43	3.71032 0.273851
59.5	53.8852	40.5	3.42102 0.239213
60.5	51.0074	38	3.58816 0.280026
61.5	47.2146	36	3.98902 0.290091
62.5	43.7167	34	3.42285 0.24048
63.5	41.077	32	3.89861 0.259971
64.5	39.0203	30	3.66983 0.234074
65.5	36.5489	28	3.88102 0.295052
66.5	33.8478	26	4.30101 0.278549
67.5	30.8944	24.5	4.52063 0.321749
68.5	28.7032	23	3.75584 0.26351
69.5	26.8044	21.5	4.73494 0.345349
70.5	25.095	20	4.15245 0.29208
71.5	23.1688	18.5	4.1823 0.273768
72.5	21.2964	17.5	4.75796 0.352999
73.5	19.1121	16.5	4.73382 0.359255
74.5	17.4246	15	5.95412 0.422639
75.5	16.0853	13.5	5.00241 0.363702
76.5	14.7804	12.5	5.23858 0.433914
77.5	13.1748	11.5	5.22222 0.403548
78.5	12.2443	10.5	4.67542 0.397556
79.5	10.9678	10	5.81925 0.410562
80.5	9.75737	9.5	6.05676 0.518348
81.5	8.87155	8.5	4.72679 0.346377
82.5	7.71327	7.5	6.0698 0.549803
83.5	7.13274	7	5.67744 0.545619
84.5	6.26137	6.5	6.93594 0.708463
85.5	5.49043	6	6.15455 0.67433
86.5	4.91999	5.5	7.6026 0.888453
87.5	4.25535	5	8.63856 0.74081
88.5	3.71761	4.5	7.11595 0.810106
89.5	3.24299	4	9.87691 0.995761
90.5	2.75569	3.5	12.0674 1.33901
91.5	2.34299	3	9.80838 0.999117
92.5	1.93822	3	13.5263 1.37747
93.5	1.59292	2.5	18.2626 2.25802
94.5	1.25192	2	22.5242 2.38263
95.5	0.963625	2	43.7329 6.66729
96.5	0.682832	2	29.1353 5.84873
97.5	0.444686	2	17.7639 5.79579
98.5	0.2148	2	5.72954 1.74075
99.5	0.0577999	0	5.66315 0.982777
