Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	973.883	388.5	0.617777 0.0550523	0.931412 0.0112684	0.941234 0.00808369	
7.5	792.412	335.5	0.62964 0.0127212	0.970314 0.00102102	0.949219 0.00211928	
12.5	655.061	287.5	0.602387 0.0147215	0.978233 0.00115717	0.938423 0.00297994	
17.5	540.805	245	0.610308 0.0126383	0.980599 0.000634822	0.934735 0.00257436	
22.5	443.891	207	0.584973 0.0133081	0.981611 0.000623866	0.918644 0.00363809	
27.5	360.46	173.5	0.539424 0.015868	0.982279 0.000668877	0.901322 0.00460259	
32.5	291.218	144	0.50745 0.0151111	0.980481 0.000772779	0.899127 0.00520024	
37.5	231.068	118	0.494057 0.0153	0.978538 0.00108542	0.890858 0.00575133	
42.5	181.101	96	0.448195 0.0172259	0.971873 0.00145045	0.872783 0.00693106	
47.5	139.157	77	0.456595 0.0154329	0.968295 0.00157063	0.86024 0.00645278	
52.5	104.565	60.5	0.419122 0.018019	0.960499 0.00198244	0.836933 0.00805809	
57.5	76.8303	46.5	0.392182 0.0191589	0.948113 0.0026941	0.791589 0.010172	
62.5	55.3177	34.5	0.391016 0.0191716	0.929775 0.00361236	0.772535 0.0102074	
67.5	39.2472	25	0.386352 0.0219363	0.887243 0.00674205	0.675683 0.0159774	
72.5	25.7952	18	0.239762 0.0263516	0.832005 0.00875099	0.592023 0.0176643	
77.5	16.8906	12.5	0.0491897 0.0289504	0.722144 0.0122314	0.468119 0.0209997	
82.5	10.1263	8	0.0839133 0.0241234	0.644784 0.014337	0.425572 0.0211518	
87.5	5.56007	5	0.10995 0.0297751	0.602254 0.0184004	0.399405 0.0259337	
92.5	2.59906	3	0.241085 0.0376166	0.550751 0.0281376	0.2057 0.0371617	
97.5	0.709647	2	0.290326 0.0756415	0.453629 0.0538929	0.277012 0.0771134	
