Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	973.883	388.5	1.39429 0.0248615
7.5	792.412	335.5	1.72787 0.0297674
12.5	655.061	287.5	2.1053 0.0354409
17.5	540.805	245	2.29728 0.0374605
22.5	443.891	207	2.48053 0.0404877
27.5	360.46	173.5	2.74916 0.0459273
32.5	291.218	144	2.80819 0.0477327
37.5	231.068	118	2.81909 0.0479959
42.5	181.101	96	2.79717 0.0486579
47.5	139.157	77	2.90666 0.0484594
52.5	104.565	60.5	3.07894 0.0545263
57.5	76.8303	46.5	3.33226 0.0627085
62.5	55.3177	34.5	3.45503 0.065021
67.5	39.2472	25	3.91417 0.0808276
72.5	25.7952	18	4.42836 0.096155
77.5	16.8906	12.5	4.59296 0.113362
82.5	10.1263	8	4.95216 0.132699
87.5	5.56007	5	5.91825 0.213808
92.5	2.59906	3	9.54075 0.44857
97.5	0.709647	2	38.2994 3.86648
