Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	872.278	363	-4.04319e-08 3.50129e-08	-5.93739e-08 2.08041e-07	-4.51771e-08 1.98485e-08	-2.52122e-09 6.9815e-09	-1.22594e-09 1.34446e-09	-9.40439e-10 9.25463e-10	
15	593.469	267.5	-2.54394e-08 5.2633e-09	8.22204e-06 4.21211e-07	1.32631e-08 2.70879e-08	6.75218e-09 3.03427e-09	5.69985e-10 1.76346e-10	-1.89474e-11 1.59145e-11	
25	400.813	191.5	-8.26831e-08 1.67523e-08	2.87067e-05 1.19685e-06	-1.15371e-08 4.34206e-08	1.25978e-08 4.24917e-09	5.20266e-10 2.50484e-10	-4.43118e-11 2.93507e-11	
35	258.519	132	-2.46523e-07 5.13889e-08	4.83318e-05 1.97877e-06	2.9385e-08 5.37291e-08	1.60894e-08 4.78249e-09	9.37649e-10 2.59478e-10	-7.74593e-11 3.20703e-11	
45	159.807	87	-6.29846e-07 1.22629e-07	4.97919e-05 2.54231e-06	1.01533e-07 5.43114e-08	5.11594e-10 6.68911e-09	-3.27387e-10 4.43408e-10	-1.46895e-10 4.02815e-11	
55	91.4574	54	-1.02053e-06 1.74112e-07	5.01251e-05 2.99508e-06	1.05318e-07 3.99704e-08	-1.10474e-08 5.04485e-09	-3.24001e-10 2.42933e-10	-1.17126e-10 2.8151e-11	
65	47.8478	30.5	-1.06407e-06 1.60442e-07	2.85507e-05 2.51363e-06	3.66286e-08 1.62456e-08	-3.23956e-08 5.52953e-09	-4.8033e-10 1.36714e-10	-1.56464e-10 2.61856e-11	
75	21.7534	15.5	-1.20727e-06 2.29554e-07	3.18259e-06 1.38033e-06	-4.44978e-08 1.0446e-08	-2.46196e-08 3.4683e-09	-2.48194e-10 4.32812e-11	-7.19884e-11 1.25679e-11	
85	7.8812	7	-5.29273e-07 8.75869e-08	-6.29301e-06 4.87321e-07	-6.76954e-09 8.84413e-10	-3.71581e-09 3.89888e-10	-1.85969e-11 4.2176e-12	-3.16785e-12 5.0994e-13	
95	1.66201	3	-4.08294e-11 1.54368e-11	-3.33666e-07 5.1018e-08	-1.18809e-11 3.17277e-12	-1.72166e-13 6.93427e-14	-1.47276e-15 2.62707e-16	-1.02801e-14 2.67568e-15	
