Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	973.883	388.5	0.253611 1.86817e-06	0.257091 4.57912e-06	-0.126941 4.18225e-05	0.192929 3.30479e-05	0.193581 0.000268349	-0.0251633 0.0115644	
7.5	792.412	335.5	0.242303 1.54021e-06	0.241276 0.000789971	0.018686 0.0143562	0.184444 9.17917e-06	0.184115 3.64685e-05	0.00889429 0.00289647	
12.5	655.061	287.5	0.237152 1.26107e-05	0.227063 5.93306e-05	0.112859 0.000270727	0.17396 1.98284e-05	0.176645 5.93945e-05	-0.0569423 0.000861666	
17.5	540.805	245	0.231725 2.93917e-05	0.218113 0.000219852	0.109473 0.00251957	0.164977 3.01748e-07	0.16595 9.66341e-07	-0.0167123 1.13759e-05	
22.5	443.891	207	0.229582 4.40295e-06	0.21093 0.00103651	0.116409 0.00651008	0.153697 1.32757e-05	0.15692 5.30017e-05	-0.0428448 0.000982699	
27.5	360.46	173.5	0.224149 2.63847e-07	0.201927 0.000280931	0.111005 0.0022578	0.13948 1.15975e-05	0.14635 1.751e-05	-0.0793929 0.00015413	
32.5	291.218	144	0.218663 6.48293e-05	0.192328 0.00102209	0.109519 0.00432969	0.131582 7.29069e-05	0.132512 0.000220826	-0.00903975 0.00195228	
37.5	231.068	118	0.211645 5.42147e-06	0.183075 0.00226097	0.107168 0.00683277	0.11988 1.36057e-05	0.127644 4.31731e-05	-0.0597 0.000226319	
42.5	181.101	96	0.201889 6.69611e-06	0.169287 0.000199253	0.107955 0.00122762	0.107719 5.06421e-05	0.115116 3.03271e-05	-0.0466415 0.00081772	
47.5	139.157	77	0.193617 2.99045e-05	0.15486 0.000199246	0.115394 0.000889491	0.0973085 2.08905e-05	0.106228 6.93306e-05	-0.0500173 0.000265056	
52.5	104.565	60.5	0.181823 2.79505e-05	0.146461 0.0018397	0.0935339 0.00410569	0.0828203 3.24669e-05	0.0922833 0.000119282	-0.0460484 0.000578225	
57.5	76.8303	46.5	0.168692 3.28367e-05	0.131683 0.00273787	0.0872803 0.00505108	0.0677884 3.25987e-05	0.0801935 0.000127514	-0.0551556 0.000560261	
62.5	55.3177	34.5	0.153739 6.12309e-06	0.120688 0.000520052	0.0734239 0.00147991	0.056851 1.90754e-05	0.0696493 0.000264968	-0.0507203 0.00107107	
67.5	39.2472	25	0.132102 1.48754e-05	0.123435 0.00100999	0.0176838 0.0021533	0.040481 5.63849e-06	0.0543864 3.61673e-05	-0.0510505 0.000139782	
72.5	25.7952	18	0.111006 0.000139024	0.13013 0.00129436	-0.0374558 0.00206591	0.0283308 7.21325e-05	0.0475394 0.000302268	-0.065962 0.000582186	
77.5	16.8906	12.5	0.0794982 3.50218e-05	0.129612 0.000215319	-0.0934907 0.000650571	0.017301 2.44302e-05	0.0373786 2.02218e-05	-0.0609643 2.64671e-05	
82.5	10.1263	8	0.0578089 6.46294e-05	0.118191 9.05614e-05	-0.111368 4.04314e-05	0.0121021 1.59483e-05	0.0276643 4.88003e-05	-0.0453975 0.000102387	
87.5	5.56007	5	0.0455681 0.000158195	0.115259 0.000286547	-0.128605 0.000161106	0.00812226 6.73439e-06	0.0217847 1.922e-05	-0.0368461 3.81052e-05	
92.5	2.59906	3	0.0327121 8.31977e-05	0.0966566 0.000124028	-0.12246 0.000146637	0.00208492 1.65316e-05	0.00895383 5.06173e-05	-0.0188704 0.000100569	
97.5	0.709647	2	0.0117495 4.35425e-08	0.0512542 4.83478e-07	-0.0745772 7.68217e-07	-0.0003808 1.86021e-09	-0.00103128 6.0492e-09	0.00208393 1.34109e-08	
