Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	973.883	388.5	0.0126295 0.00120948	 0.0318451 0.000546721	 0.0228397 0.000350664	 0.0139474 0.00020801	 0.00723871 0.000169122	 0.00419521 0.000384838	 
7.5	792.412	335.5	0.0128 0.00018633	 0.0454571 0.000493416	 0.0263082 0.000347853	 0.015858 0.000187189	 0.00777337 9.56628e-05	 0.00406403 5.29481e-05	 
12.5	655.061	287.5	0.0148739 0.000385302	 0.0602321 0.000599631	 0.0286097 0.000378068	 0.0169497 0.000218554	 0.00851556 0.000193035	 0.00455151 0.000240081	 
17.5	540.805	245	0.0164828 0.000248986	 0.0705725 0.000658971	 0.03072 0.00039166	 0.0175191 0.000218555	 0.00884752 0.000107248	 0.00467155 6.03706e-05	 
22.5	443.891	207	0.0190647 0.000315678	 0.0809923 0.000715173	 0.0326512 0.000425636	 0.0186634 0.000226032	 0.00946819 0.000122131	 0.00500781 6.916e-05	 
27.5	360.46	173.5	0.0206557 0.000326927	 0.0892568 0.0007795	 0.0324669 0.000420973	 0.0194788 0.000242668	 0.00946369 0.000119028	 0.00518533 7.01631e-05	 
32.5	291.218	144	0.0227039 0.00036565	 0.0962064 0.000850741	 0.0342592 0.000443882	 0.0199666 0.000257101	 0.0098571 0.000124153	 0.0051398 7.17471e-05	 
37.5	231.068	118	0.0246787 0.000398556	 0.0983231 0.000849372	 0.0348776 0.000449653	 0.0200205 0.000246063	 0.0095431 0.000117105	 0.00516879 6.98806e-05	 
42.5	181.101	96	0.0262742 0.000424599	 0.0997632 0.000916486	 0.0356657 0.000454363	 0.0195812 0.000247146	 0.00971385 0.000128633	 0.00504196 7.06185e-05	 
47.5	139.157	77	0.0290551 0.00051075	 0.102092 0.000928006	 0.0351235 0.000426139	 0.0193322 0.000251899	 0.00954664 0.000124386	 0.00480201 6.87286e-05	 
52.5	104.565	60.5	0.0293157 0.000513717	 0.102531 0.000987907	 0.0333007 0.000410419	 0.0189187 0.000259688	 0.00888611 0.000120052	 0.00463579 6.45837e-05	 
57.5	76.8303	46.5	0.0310465 0.00055219	 0.102167 0.00102671	 0.03066 0.000404246	 0.0185058 0.000268519	 0.00798409 0.00010935	 0.00440717 7.49583e-05	 
62.5	55.3177	34.5	0.0312226 0.000602908	 0.0978387 0.00104109	 0.0283177 0.000357579	 0.0173118 0.000263699	 0.00730549 0.00010897	 0.003858 6.63523e-05	 
67.5	39.2472	25	0.0301111 0.000601748	 0.0924298 0.00101665	 0.0236141 0.000356417	 0.0162101 0.000266209	 0.00622076 9.76249e-05	 0.00356357 6.74407e-05	 
72.5	25.7952	18	0.0293913 0.000669082	 0.0840418 0.00100748	 0.0189781 0.000313141	 0.0142722 0.000258925	 0.00495238 8.38121e-05	 0.002946 6.44998e-05	 
77.5	16.8906	12.5	0.0259118 0.000671021	 0.0679045 0.00109027	 0.0147845 0.000284609	 0.0110279 0.000233825	 0.0036183 7.15127e-05	 0.00211021 4.87232e-05	 
82.5	10.1263	8	0.0209863 0.000609281	 0.0502083 0.00106005	 0.0101387 0.000228995	 0.00730637 0.000203999	 0.00230685 5.82005e-05	 0.00137928 3.61238e-05	 
87.5	5.56007	5	0.0146092 0.000614386	 0.0366593 0.00113171	 0.00619428 0.000200857	 0.00407612 0.000157224	 0.00101952 3.70963e-05	 0.000831925 2.45477e-05	 
92.5	2.59906	3	0.00500276 0.000342056	 0.0209169 0.000894201	 0.00219238 0.000106644	 0.000907646 6.14331e-05	 0.000252208 1.23292e-05	 0.000313818 1.57963e-05	 
97.5	0.709647	2	0.00101893 5.77076e-05	 0.00564006 0.000566236	 0.000147262 1.53594e-05	 9.86038e-05 1.08319e-05	 5.24198e-05 5.67654e-06	 3.68077e-05 4.84695e-06	 
