Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	1076.62	409	1.22212 0.0483566
1.5	1008.02	397.5	1.38332 0.0642742
2.5	970.4	387.5	1.3796 0.0493806
3.5	928.425	377	1.45558 0.0593459
4.5	891.216	366.5	1.46633 0.0545111
5.5	857.537	356	1.50398 0.0572063
6.5	825.198	345.5	1.71841 0.070654
7.5	792.967	335	1.73723 0.0749812
8.5	759.873	325	1.75303 0.0608503
9.5	732.51	315	1.89177 0.0691024
10.5	704.597	305.5	1.92886 0.0703943
11.5	677.671	296	1.99756 0.0715756
12.5	655.649	286.5	2.09006 0.077837
13.5	629.062	277.5	2.24329 0.0875357
14.5	605.323	269	2.22974 0.0859985
15.5	584.105	260.5	2.1611 0.0767025
16.5	561.418	252	2.13823 0.0704708
17.5	539.465	244	2.34453 0.0896685
18.5	519.856	236	2.506 0.0962032
19.5	499.744	228.5	2.3317 0.0853753
20.5	480.676	221	2.4027 0.0939326
21.5	462.387	213.5	2.38426 0.0885685
22.5	442.747	206.5	2.67172 0.0885279
23.5	427.013	199.5	2.34118 0.0865763
24.5	407.933	192.5	2.57049 0.0922543
25.5	392.694	186	2.59139 0.10646
26.5	375.834	179.5	2.81773 0.101046
27.5	359.405	173	2.68257 0.104822
28.5	346.942	167	2.86535 0.108009
29.5	329.826	161	2.78695 0.0937596
30.5	318.217	155	2.63663 0.10144
31.5	304.728	149	2.94891 0.107647
32.5	292.01	143.5	2.79355 0.112749
33.5	276.981	138.5	2.89714 0.103359
34.5	266.037	133	2.79098 0.107925
35.5	253.598	127.5	2.76854 0.109289
36.5	241.841	122.5	2.85506 0.112953
37.5	231.078	118	2.64948 0.0984213
38.5	220.952	113.5	2.81815 0.107906
39.5	210.193	108.5	2.93714 0.10548
40.5	200.734	104	2.98708 0.114631
41.5	190.571	100	2.57893 0.0977889
42.5	180.415	96	2.72525 0.103034
43.5	173.041	92	2.72286 0.103821
44.5	163.119	88	3.08937 0.128449
45.5	154.381	84	2.73117 0.110493
46.5	146.461	80	3.04313 0.109705
47.5	138.757	76.5	2.82723 0.10843
48.5	132.032	73	2.84203 0.100328
49.5	124.97	69.5	3.00813 0.110619
50.5	117.441	66.5	3.07663 0.12093
51.5	111.714	63	2.99549 0.11717
52.5	104.88	59.5	3.10298 0.121145
53.5	99.2914	56.5	3.21411 0.123939
54.5	93.3645	54	3.06122 0.11439
55.5	88.0027	51.5	3.30004 0.136818
56.5	82.545	48.5	3.3638 0.139274
57.5	77.0972	46	3.23375 0.12884
58.5	73.1593	43.5	3.21762 0.132667
59.5	67.4209	41	3.39889 0.129006
60.5	64.2022	39	3.32001 0.130844
61.5	59.7218	36.5	3.52847 0.138963
62.5	55.6917	34	3.51674 0.138071
63.5	51.6008	32	3.51077 0.143825
64.5	49.2562	30	3.45934 0.145413
65.5	45.5937	28.5	3.71802 0.154251
66.5	42.8748	27	3.83801 0.156186
67.5	39.0919	25	3.62072 0.164666
68.5	36.8155	23.5	4.102 0.163329
69.5	33.966	22	4.15745 0.174773
70.5	31.0704	20.5	4.32546 0.185647
71.5	28.8611	19	4.29192 0.205704
72.5	26.5317	17.5	4.21919 0.175132
73.5	24.4893	16.5	4.13438 0.176399
74.5	22.4755	15.5	4.69215 0.188653
75.5	20.3735	14.5	4.78632 0.227057
76.5	18.8016	13	4.02728 0.177948
77.5	17.0659	12	4.93282 0.233246
78.5	15.4868	11.5	4.43598 0.202481
79.5	14.0961	10.5	4.74444 0.238515
80.5	12.5582	9.5	4.45768 0.216248
81.5	11.3933	8.5	5.03892 0.235873
82.5	10.1553	8	4.82626 0.236569
83.5	9.05287	7.5	5.71131 0.304014
84.5	8.05685	6.5	5.38962 0.282595
85.5	7.15386	6	5.35211 0.270401
86.5	6.3347	5.5	5.11656 0.335348
87.5	5.51672	5	6.44857 0.413328
88.5	4.84403	4.5	6.17227 0.407868
89.5	4.12099	4	6.09732 0.386981
90.5	3.58475	4	7.71181 0.536901
91.5	3.02614	3.5	8.70876 0.572046
92.5	2.55304	3	9.1509 0.647301
93.5	2.0837	2.5	11.7042 0.971681
94.5	1.68128	2	15.3485 1.45587
95.5	1.31886	2	20.2543 1.70407
96.5	0.959325	2	37.5457 3.04051
97.5	0.646066	2	24.3677 3.85958
98.5	0.336555	2	13.5479 2.11827
99.5	0.107209	0	3.43584 0.587355
