Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	872.278	363	0.24554 6.20968e-06	0.248519 2.3552e-05	-0.062626 0.000726316	0.187066 4.99843e-06	0.187701 1.139e-05	-0.0195345 1.07993e-05	
15	593.469	267.5	0.233673 1.90757e-05	0.224347 0.000148985	0.0842311 0.00177866	0.168787 1.68547e-07	0.171406 5.0088e-07	-0.0485564 6.22183e-06	
25	400.813	191.5	0.227034 8.41815e-07	0.208874 0.000197564	0.0995961 0.00155354	0.146911 5.20884e-06	0.152658 5.60946e-06	-0.0706855 0.000141378	
35	258.519	132	0.214604 3.32315e-05	0.187661 0.000511082	0.106265 0.00215536	0.124457 3.41579e-05	0.130883 0.000100935	-0.0534264 0.000732432	
45	159.807	87	0.197455 2.15781e-05	0.161918 0.000139389	0.11129 0.000631345	0.102751 1.38991e-05	0.111192 4.58432e-05	-0.0496687 0.000182292	
55	91.4574	54	0.174044 1.90089e-05	0.138031 0.0021766	0.0895935 0.00399481	0.0740169 2.69126e-05	0.0877874 0.000104875	-0.0638135 0.00047528	
65	47.8478	30.5	0.142877 1.13084e-05	0.122673 7.40809e-05	0.0429433 0.00016689	0.0475885 3.43996e-05	0.063514 0.000126394	-0.0584062 0.000405014	
75	21.7534	15.5	0.0995088 0.000111627	0.128887 0.000974305	-0.0569887 0.00154673	0.0249386 5.62483e-05	0.0446534 0.000213564	-0.0639739 0.000408104	
85	7.8812	7	0.0545914 0.000143325	0.112043 0.000275788	-0.104309 0.0008182	0.0100749 9.99308e-07	0.0238265 3.28878e-06	-0.0390674 6.89129e-06	
95	1.66201	3	0.0258493 6.7198e-09	0.0955591 8.38207e-08	-0.130594 1.29292e-07	0.00131411 1.73445e-11	0.0045091 6.34891e-11	-0.00810205 1.17821e-10	
