Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	872.278	363	0.0122179 0.000194031	 0.039753 0.000379491	 0.0247034 0.000246794	 0.0149548 0.000144625	 0.00748278 8.33385e-05	 0.00397228 8.25037e-05	 
15	593.469	267.5	0.0156543 0.000176992	 0.0658292 0.000467595	 0.0297691 0.000279653	 0.0172289 0.000156853	 0.00860692 7.71939e-05	 0.00449486 4.35644e-05	 
25	400.813	191.5	0.0196927 0.000236083	 0.0854879 0.000559689	 0.0326308 0.000315762	 0.0190787 0.000174732	 0.00941338 8.75746e-05	 0.0050888 5.05885e-05	 
35	258.519	132	0.0240653 0.000316831	 0.0969558 0.000651996	 0.0347573 0.000343776	 0.02001 0.000189634	 0.00970936 9.17515e-05	 0.00516359 5.43348e-05	 
45	159.807	87	0.0282481 0.000414021	 0.100692 0.000750948	 0.0357228 0.0003593	 0.0194234 0.000201397	 0.00959098 0.000101539	 0.00494091 5.73063e-05	 
55	91.4574	54	0.0320035 0.000509299	 0.102434 0.000856096	 0.0320733 0.000344682	 0.0188855 0.000222982	 0.00853201 9.95423e-05	 0.00457995 5.83738e-05	 
65	47.8478	30.5	0.0319585 0.000550713	 0.0952455 0.000932705	 0.0262291 0.000305312	 0.0169723 0.000242575	 0.00681683 9.1353e-05	 0.00375076 6.08487e-05	 
75	21.7534	15.5	0.0287737 0.000634529	 0.0772728 0.00097763	 0.0174773 0.000281694	 0.01306 0.000235357	 0.00441468 7.52874e-05	 0.00258347 5.54471e-05	 
85	7.8812	7	0.0193236 0.000657897	 0.0456481 0.00110901	 0.00815153 0.000201456	 0.00599939 0.000183288	 0.00165365 4.8e-05	 0.00111929 3.02084e-05	 
95	1.66201	3	0.00116132 0.00012789	 0.0156355 0.000898128	 0.00106741 7.6463e-05	 0.000321948 3.01375e-05	 0.000127141 7.3359e-06	 0.000170484 1.39294e-05	 
