Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
35.5	253.598	127.5	0.0237829 0.000952558	 0.0973542 0.00185382	 0.0351644 0.00106519	 0.0197084 0.000511416	 0.00951416 0.000247946	 0.00487021 0.000136193	 
36.5	241.841	122.5	0.0252613 0.000886865	 0.0978303 0.00187702	 0.0342656 0.00102665	 0.0193764 0.000558507	 0.0100185 0.000273147	 0.00510167 0.000156341	 
37.5	231.078	118	0.0227344 0.000815977	 0.0943865 0.00189631	 0.0356246 0.00103237	 0.0199856 0.000523456	 0.00951795 0.000261103	 0.00519144 0.000142334	 
38.5	220.952	113.5	0.0264199 0.000857613	 0.0988592 0.00191095	 0.0350795 0.00099809	 0.0209366 0.0005612	 0.00923387 0.000275224	 0.00527756 0.00015701	 
39.5	210.193	108.5	0.0248853 0.000800243	 0.102251 0.00189772	 0.034813 0.00092164	 0.0200089 0.000579817	 0.00950465 0.000250528	 0.00536231 0.000171955	 
40.5	200.734	104	0.0257024 0.000867895	 0.0986986 0.00191201	 0.0330419 0.000967731	 0.020061 0.00055414	 0.00933081 0.000257024	 0.00509884 0.000160387	 
41.5	190.571	100	0.0251399 0.000798411	 0.0955482 0.00197761	 0.0370495 0.00101587	 0.0187842 0.000459525	 0.0096228 0.000278592	 0.00487351 0.000140385	 
42.5	180.415	96	0.0257922 0.000923642	 0.100953 0.00210112	 0.0370437 0.000976303	 0.0201493 0.000570045	 0.00993974 0.000292356	 0.00501308 0.000152283	 
43.5	173.041	92	0.0277391 0.00103864	 0.0994008 0.00198529	 0.0365061 0.00101213	 0.0194796 0.000531414	 0.00992913 0.000300107	 0.00519308 0.000172261	 
44.5	163.119	88	0.026886 0.000940634	 0.104805 0.00219963	 0.0339244 0.00105149	 0.0195706 0.000647414	 0.00962346 0.000295719	 0.00518045 0.000168757	 
45.5	154.381	84	0.0276308 0.00102354	 0.101539 0.00220724	 0.037178 0.0010647	 0.019574 0.000551678	 0.00972156 0.000270072	 0.00497406 0.000167963	 
46.5	146.461	80	0.0291841 0.00099216	 0.103178 0.00198903	 0.0339052 0.000919997	 0.0193285 0.000545753	 0.00895966 0.000240125	 0.00478798 0.000151332	 
47.5	138.757	76.5	0.0272898 0.00102762	 0.101456 0.00216755	 0.0358852 0.000983293	 0.0191967 0.000548996	 0.00958354 0.000266366	 0.0046158 0.000151103	 
48.5	132.032	73	0.0301995 0.00118733	 0.102018 0.00205254	 0.035896 0.000892379	 0.018871 0.000569091	 0.00991031 0.00028706	 0.00475708 0.000143695	 
49.5	124.97	69.5	0.0323486 0.0014115	 0.101156 0.00194623	 0.0336273 0.000925618	 0.0195399 0.000587714	 0.00976594 0.000319837	 0.0048881 0.000147736	 
50.5	117.441	66.5	0.0275081 0.00109504	 0.104173 0.00211647	 0.0338594 0.000928861	 0.019387 0.000557677	 0.00918827 0.000260455	 0.0048862 0.000152104	 
51.5	111.714	63	0.030312 0.00112953	 0.102904 0.00222544	 0.0343532 0.000921649	 0.0192148 0.000576963	 0.00927669 0.000271449	 0.00479183 0.000144887	 
52.5	104.88	59.5	0.0293476 0.00125718	 0.102166 0.00230529	 0.0329251 0.000866936	 0.0192456 0.000595026	 0.00855974 0.000266702	 0.00445043 0.000147402	 
53.5	99.2914	56.5	0.0308077 0.00116132	 0.103956 0.00214911	 0.0323437 0.000881162	 0.0189986 0.000597233	 0.0088475 0.000262622	 0.00469536 0.000139557	 
54.5	93.3645	54	0.0314185 0.00113162	 0.10054 0.00196748	 0.032843 0.000875682	 0.0183417 0.000539996	 0.00861215 0.000241202	 0.00454713 0.000136013	 
55.5	88.0027	51.5	0.0328049 0.0014413	 0.102267 0.00226779	 0.0309895 0.000895784	 0.0187398 0.000608531	 0.00852622 0.000237219	 0.00470789 0.000160861	 
56.5	82.545	48.5	0.0343455 0.00130019	 0.107139 0.00225008	 0.0318506 0.000924544	 0.0197144 0.000582707	 0.00811037 0.000224125	 0.0047106 0.000166415	 
57.5	77.0972	46	0.0302296 0.00130488	 0.0999267 0.00226289	 0.0309012 0.000849305	 0.0190283 0.000596511	 0.00785014 0.000256799	 0.00441581 0.000169667	 
58.5	73.1593	43.5	0.0340321 0.0013914	 0.0992907 0.00219065	 0.0308584 0.000870827	 0.0174908 0.00052585	 0.00793263 0.000230024	 0.00428823 0.000158956	 
59.5	67.4209	41	0.0306814 0.00117639	 0.100543 0.00210101	 0.0295813 0.000803475	 0.0174161 0.000537277	 0.00797522 0.000256112	 0.00390637 0.000138868	 
60.5	64.2022	39	0.0315299 0.00122973	 0.100743 0.00210739	 0.0303441 0.00082441	 0.0181435 0.000507874	 0.00795289 0.000239201	 0.00405762 0.000131725	 
61.5	59.7218	36.5	0.0364903 0.00186306	 0.100444 0.00214277	 0.0284667 0.000763493	 0.0175198 0.000558939	 0.00747492 0.000245467	 0.00402197 0.000144689	 
62.5	55.6917	34	0.0344818 0.00161533	 0.0984138 0.00231497	 0.0279843 0.000696892	 0.018 0.000616095	 0.00723306 0.00022669	 0.00403328 0.000155502	 
63.5	51.6008	32	0.0314079 0.00132972	 0.0967692 0.00229111	 0.0275635 0.000747119	 0.0165875 0.000594427	 0.00715734 0.000213723	 0.00362356 0.000143438	 
64.5	49.2562	30	0.0334777 0.00124834	 0.0909486 0.0022971	 0.0262908 0.000707943	 0.0165435 0.000612019	 0.0067115 0.000203367	 0.00383408 0.000165294	 
65.5	45.5937	28.5	0.0340261 0.0013252	 0.0957553 0.00204777	 0.0257544 0.000752142	 0.0173415 0.00052639	 0.0066202 0.000202142	 0.00383997 0.000149224	 
66.5	42.8748	27	0.0325306 0.00128368	 0.0930791 0.00209833	 0.0242519 0.000709674	 0.016622 0.000606292	 0.00652864 0.000211624	 0.00371148 0.000137643	 
67.5	39.0919	25	0.0318077 0.00168207	 0.0921609 0.00221645	 0.0254538 0.000819001	 0.0158115 0.000583127	 0.00663187 0.000241931	 0.0036064 0.000141415	 
68.5	36.8155	23.5	0.033164 0.00143927	 0.0895498 0.00195174	 0.0218308 0.000668311	 0.0161188 0.000515538	 0.00581873 0.000163496	 0.00368895 0.00013795	 
69.5	33.966	22	0.0311187 0.00145595	 0.0874697 0.00214898	 0.0210393 0.000621102	 0.015027 0.000513707	 0.00572434 0.00020297	 0.00328029 0.000147314	 
70.5	31.0704	20.5	0.031472 0.00141185	 0.0875194 0.00207579	 0.0202335 0.000637775	 0.0149925 0.000564754	 0.00548453 0.00018608	 0.00329444 0.000150468	 
71.5	28.8611	19	0.0321885 0.00142013	 0.088541 0.00215065	 0.0206297 0.000740627	 0.0146598 0.000567342	 0.00533036 0.000181698	 0.00319103 0.000146022	 
72.5	26.5317	17.5	0.0326239 0.00156481	 0.0812941 0.00193316	 0.0192677 0.000609839	 0.0135952 0.000483052	 0.00493882 0.000161601	 0.00286314 0.00011454	 
73.5	24.4893	16.5	0.0286605 0.00137843	 0.0795073 0.00200453	 0.0192308 0.000587133	 0.0136531 0.000490191	 0.00466786 0.000161958	 0.00283303 0.000115405	 
74.5	22.4755	15.5	0.0307185 0.00137889	 0.0775143 0.00185217	 0.01652 0.000500083	 0.0137271 0.000461398	 0.00448696 0.000137138	 0.00266876 0.000104822	 
