Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	1076.62	409	0.260639 1.11236e-05	0.264225 2.58324e-05	-0.225309 0.000795404	0.20403 0.000288339	0.203231 0.00278965	0.0404364 0.124629	
1.5	1008.02	397.5	0.263069 4.3215e-05	0.257486 0.000227908	0.281485 0.0327509	0.190249 0.000316814	0.188899 0.0066673	0.0647589 0.268999	
2.5	970.4	387.5	0.253853 0.000116491	0.248931 0.00057483	0.198013 0.0338114	0.194069 4.18871e-05	0.194136 7.43972e-05	-0.00250844 0.00120893	
3.5	928.425	377	0.255978 1.94058e-05	0.259967 7.47134e-05	-0.133118 0.00214882	0.1914 5.88568e-05	0.192175 0.000138893	-0.0281004 0.00131979	
4.5	891.216	366.5	0.244035 7.35862e-05	0.247804 0.000346575	-0.105437 0.0150246	0.189761 0.000104919	0.189999 0.000477691	-0.00779277 0.0221887	
5.5	857.537	356	0.245782 0.000152047	0.242555 2.58758e-06	0.0769443 0.0155563	0.191357 8.12488e-05	0.186596 0.00197689	0.150934 0.0723432	
6.5	825.198	345.5	0.245499 0.000296569	0.244789 0.004524	0.014252 0.0929028	0.187928 0.000215887	0.183312 0.000635708	0.140822 0.00932115	
7.5	792.967	335	0.242293 8.18902e-06	0.238714 0.00384836	0.06551 0.069946	0.186582 4.24906e-05	0.175285 0.000231075	0.319441 0.0186688	
8.5	759.873	325	0.242534 0.000135302	0.246812 0.00409587	-0.0712057 0.0659392	0.183355 0.000159961	0.179457 0.00335211	0.102589 0.0850647	
9.5	732.51	315	0.238207 7.6034e-05	0.229424 0.00119977	0.1446 0.029221	0.175838 4.90093e-05	0.181274 0.000171815	-0.123213 0.01039	
10.5	704.597	305.5	0.235698 7.91734e-05	0.229122 0.000398891	0.0867959 0.00391024	0.174353 2.30797e-05	0.184536 2.61895e-05	-0.231962 0.000720564	
11.5	677.671	296	0.239259 0.00010293	0.231139 0.003582	0.102779 0.0497779	0.177609 0.00024538	0.167598 0.00665389	0.240398 0.139031	
12.5	655.649	286.5	0.235161 0.000282946	0.220638 0.00726943	0.16931 0.0695366	0.174334 0.000182286	0.170448 0.000493792	0.0807158 0.0101874	
13.5	629.062	277.5	0.237564 5.81173e-05	0.227917 0.000325944	0.0992197 0.00154222	0.176777 0.000109865	0.180007 0.000350166	-0.0750722 0.00574977	
