Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	872.278	363	8.29409e-11 8.2616e-11	8.3989e-10 8.78805e-10	7.186e-12 1.24083e-11	6.08718e-12 6.31406e-12	5.89394e-13 5.92494e-13	3.61826e-13 3.61659e-13	
15	593.469	267.5	2.60048e-12 2.164e-12	2.40106e-08 1.72782e-09	-1.23659e-11 1.3774e-11	7.90539e-13 5.51672e-13	2.1765e-14 7.85741e-15	-9.38038e-17 2.17578e-16	
25	400.813	191.5	2.06319e-11 1.20018e-11	1.52584e-07 9.11869e-09	1.68156e-11 3.01877e-11	1.7288e-12 9.5084e-13	5.38618e-15 1.35968e-14	3.18514e-16 5.74118e-16	
35	258.519	132	1.13777e-10 7.2633e-11	3.22789e-07 2.0216e-08	-2.4864e-11 3.80425e-11	4.83041e-13 1.28544e-12	6.88288e-15 1.68122e-14	-2.20507e-16 5.10111e-16	
45	159.807	87	5.09735e-10 2.13759e-10	3.29895e-07 2.62799e-08	-3.24263e-11 4.32141e-11	9.24093e-13 2.22671e-12	5.98354e-14 2.61112e-14	8.36198e-16 8.77331e-16	
55	91.4574	54	5.32012e-10 2.89497e-10	3.17818e-07 3.12517e-08	-5.14156e-12 2.95528e-11	-5.21109e-12 1.18651e-12	-1.40582e-14 1.1102e-14	-2.69852e-16 4.2605e-16	
65	47.8478	30.5	3.15796e-10 2.14711e-10	1.22715e-07 2.02175e-08	-2.08104e-11 7.86278e-12	-3.66114e-12 1.15917e-12	-4.63901e-15 4.87542e-15	6.59021e-16 3.93661e-16	
75	21.7534	15.5	9.56469e-10 5.47612e-10	-2.46393e-08 5.81411e-09	9.05532e-13 3.62269e-12	-6.99422e-13 5.72721e-13	-4.07791e-16 8.55739e-16	3.66664e-16 2.08066e-16	
85	7.8812	7	2.52264e-10 8.07981e-11	-6.98423e-09 1.46941e-09	-3.79119e-14 9.50208e-14	3.60775e-14 1.7251e-14	6.83117e-17 4.3449e-17	2.09477e-18 1.19306e-18	
95	1.66201	3	4.71598e-16 2.07536e-16	7.22784e-11 1.77653e-11	4.12889e-17 1.68285e-17	1.33679e-19 6.46972e-20	2.71122e-23 9.12576e-24	1.1102e-21 3.62624e-22	
