Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
0.5	1076.62	409	1.28508e-13 9.96497e-14	-5.86261e-12 1.52875e-11	-4.06252e-12 4.79578e-12	-6.22779e-13 3.32114e-13	-1.52031e-15 5.92283e-15	-1.96113e-16 1.61302e-16	
1.5	1008.02	397.5	7.9933e-10 7.99395e-10	1.16545e-08 1.15652e-08	1.14147e-10 1.2472e-10	6.30276e-11 6.31469e-11	9.99914e-12 6.86804e-12	3.44352e-12 3.42619e-12	
2.5	970.4	387.5	5.79748e-08 5.79698e-08	1.20902e-08 1.20084e-08	7.47622e-10 7.41087e-10	-9.07167e-14 4.44861e-13	9.72815e-12 9.73869e-12	6.22629e-11 6.22576e-11	
3.5	928.425	377	-2.23914e-13 1.70094e-13	-1.50721e-11 9.20615e-11	2.76384e-11 2.28933e-11	-3.96532e-13 3.34625e-13	-7.98881e-15 8.59381e-15	-1.3224e-16 2.20886e-16	
4.5	891.216	366.5	1.01422e-13 2.58238e-13	2.6635e-10 1.31006e-10	-1.63044e-11 1.33447e-11	-1.56008e-13 5.9554e-13	1.53813e-15 8.67008e-15	4.78573e-16 4.71072e-16	
5.5	857.537	356	1.95981e-13 5.96567e-13	-8.0993e-11 1.89687e-10	-1.39589e-11 1.78999e-11	-4.19488e-15 6.92473e-13	9.8907e-15 1.25332e-14	5.71892e-16 4.28175e-16	
6.5	825.198	345.5	-4.25101e-13 2.46279e-13	8.44912e-10 4.48482e-10	5.86779e-12 1.77482e-11	-6.76918e-14 7.57919e-13	-9.60165e-15 1.18255e-14	-1.17552e-16 2.36757e-16	
7.5	792.967	335	2.24129e-12 2.15991e-12	1.53691e-09 5.98379e-10	2.51766e-11 5.40248e-11	1.2642e-12 1.04233e-12	5.90125e-15 1.0643e-14	6.6042e-16 7.21804e-16	
8.5	759.873	325	-3.64455e-13 2.14681e-13	3.05383e-09 7.21781e-10	-5.12133e-11 2.24947e-11	1.62471e-12 1.22594e-12	1.9459e-14 1.6308e-14	5.88008e-18 2.8224e-16	
9.5	732.51	315	-4.32814e-13 5.48253e-13	4.26784e-09 9.84779e-10	2.78015e-11 2.73348e-11	3.3307e-13 9.28183e-13	-1.50741e-14 1.15593e-14	1.16766e-16 2.96187e-16	
10.5	704.597	305.5	2.28835e-09 2.28781e-09	5.88362e-09 1.71424e-09	2.21813e-10 1.97848e-10	1.46495e-11 1.4117e-11	6.93175e-12 6.94027e-12	4.17643e-13 4.17497e-13	
11.5	677.671	296	-2.30989e-13 6.5865e-13	9.60347e-09 2.37653e-09	-3.91267e-11 3.24377e-11	2.45609e-13 1.03486e-12	3.73217e-14 1.95896e-14	8.58859e-16 7.25366e-16	
12.5	655.649	286.5	1.09851e-12 1.37195e-12	1.31634e-08 2.87889e-09	-1.43584e-11 4.47116e-11	6.11574e-13 1.66424e-12	-8.13006e-15 2.21175e-14	-2.50765e-16 3.91486e-16	
13.5	629.062	277.5	1.67368e-12 2.22318e-12	2.20756e-08 5.07857e-09	2.20779e-12 3.27868e-11	1.37664e-12 1.46544e-12	1.09343e-14 1.9789e-14	-3.91071e-16 4.95835e-16	
14.5	605.323	269	5.29236e-13 2.00698e-12	3.40965e-08 6.51984e-09	-6.10784e-11 4.38674e-11	1.18201e-12 1.58883e-12	4.33384e-14 2.48474e-14	-2.78716e-16 4.26696e-16	
15.5	584.105	260.5	6.13348e-12 6.33988e-12	3.03171e-08 5.43465e-09	3.15071e-11 4.80405e-11	8.91019e-13 1.46722e-12	2.24706e-14 2.45203e-14	-1.87345e-16 5.21141e-16	
16.5	561.418	252	-5.50226e-13 1.82972e-12	3.55519e-08 6.42289e-09	6.68648e-11 5.38508e-11	1.76823e-13 1.45441e-12	3.48594e-14 2.45997e-14	-6.52257e-17 5.12024e-16	
17.5	539.465	244	-1.37024e-12 1.97482e-12	3.90171e-08 8.54815e-09	-5.4193e-11 4.97049e-11	-3.17423e-13 2.07204e-12	7.78981e-14 2.92601e-14	-6.66179e-16 6.1729e-16	
18.5	519.856	236	-3.73763e-13 1.83972e-12	6.09428e-08 1.05718e-08	1.50044e-11 5.23234e-11	2.94271e-12 2.4772e-12	1.71358e-14 2.78995e-14	-6.38804e-16 8.74954e-16	
19.5	499.744	228.5	1.37641e-11 1.60136e-11	5.23643e-08 1.09262e-08	-2.03632e-11 5.83118e-11	2.31041e-13 1.49606e-12	2.83803e-15 4.05689e-14	1.66773e-15 1.11031e-15	
20.5	480.676	221	-6.64888e-12 2.87817e-12	4.30273e-08 1.08903e-08	2.21701e-12 4.96707e-11	6.02501e-13 1.68684e-12	6.56966e-14 3.62973e-14	2.78167e-15 2.22945e-15	
21.5	462.387	213.5	1.50216e-11 1.48841e-11	1.13776e-07 1.93223e-08	7.24841e-11 1.70841e-10	1.06413e-12 2.23167e-12	1.23418e-13 1.3902e-13	6.26021e-15 7.24745e-15	
22.5	442.747	206.5	2.25133e-11 1.24223e-11	1.36222e-07 2.09758e-08	-3.70915e-11 5.10738e-11	1.09904e-12 2.78425e-12	1.62288e-15 3.54106e-14	4.31806e-16 9.50344e-16	
23.5	427.013	199.5	4.44875e-11 4.64621e-11	1.21427e-07 2.12552e-08	-2.72301e-11 1.12705e-10	2.21185e-12 2.95392e-12	9.62542e-15 5.17001e-14	4.43348e-15 4.93934e-15	
24.5	407.933	192.5	9.49236e-11 9.48244e-11	1.59679e-07 2.73602e-08	-1.80582e-11 8.10464e-11	1.15605e-13 2.62215e-12	-1.37746e-14 3.69446e-14	6.48498e-16 1.10073e-15	
