Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	1076.62	409	0.533033 0.133434	-0.51169 0.246777	-0.555459 0.133556	
1.5	1008.02	397.5	-1.29349 0.848089	-0.900516 0.328523	-1.09846 0.527325	
2.5	970.4	387.5	-1.15192 0.561052	-1.0391 0.501199	-0.406128 0.394784	
3.5	928.425	377	0.589009 0.0915067	-0.424001 0.332119	-0.467262 0.404904	
4.5	891.216	366.5	0.693528 0.0529762	-0.282896 1.06256	0.329602 0.592706	
5.5	857.537	356	0.599727 0.0788219	0.279479 1.33055	0.59261 0.0905543	
6.5	825.198	345.5	0.726268 0.0445835	-0.454957 0.41325	0.571337 0.106656	
7.5	792.967	335	0.74975 0.0399818	-0.658454 0.303232	0.677268 0.0596926	
8.5	759.873	325	0.784698 0.0342355	0.268569 1.23818	0.678517 0.0572343	
9.5	732.51	315	0.810094 0.0216015	-0.375862 0.410683	0.659051 0.0553191	
10.5	704.597	305.5	0.762867 0.0462189	-0.570398 0.145416	-0.849142 0.221243	
11.5	677.671	296	0.82027 0.0200897	0.451617 0.230713	0.49146 0.180613	
12.5	655.649	286.5	0.820078 0.0211956	-0.622956 0.191857	0.644033 0.0683532	
13.5	629.062	277.5	0.842479 0.018112	0.61262 0.0811319	0.678258 0.0591423	
14.5	605.323	269	0.858454 0.0159541	0.340912 0.570219	0.67478 0.055264	
15.5	584.105	260.5	0.844171 0.0187636	0.538751 0.149906	0.64102 0.0661112	
16.5	561.418	252	0.862077 0.0152978	0.68186 0.0599886	0.620197 0.0782548	
17.5	539.465	244	0.814632 0.0214345	-0.472454 0.256671	0.424756 0.292068	
18.5	519.856	236	0.84743 0.018593	-0.705897 0.119098	-0.53681 0.296883	
19.5	499.744	228.5	0.826645 0.0199981	0.579633 0.107252	0.614824 0.0810063	
20.5	480.676	221	0.808735 0.0213913	0.476051 0.209505	0.642193 0.0652129	
21.5	462.387	213.5	0.877322 0.0118099	-0.64814 0.229457	0.585955 0.107373	
22.5	442.747	206.5	0.859186 0.0203293	0.454474 0.214112	0.547807 0.1332	
23.5	427.013	199.5	0.866174 0.0149472	0.449194 0.230652	0.636176 0.0724036	
24.5	407.933	192.5	0.867006 0.0123597	0.544419 0.119177	0.623008 0.0756954	
25.5	392.694	186	0.853892 0.0172205	-0.563187 0.172341	0.718746 0.0447053	
26.5	375.834	179.5	0.845249 0.0259108	0.535309 0.163739	-0.599455 0.177024	
27.5	359.405	173	0.844345 0.0187315	-0.266985 1.0951	0.673761 0.0536723	
28.5	346.942	167	0.886194 0.0118906	-0.468469 0.278036	0.487396 0.190705	
29.5	329.826	161	0.883669 0.0118905	0.649913 0.0751103	0.601256 0.0901828	
30.5	318.217	155	0.875714 0.0135679	-0.522039 0.166574	0.625159 0.0854203	
31.5	304.728	149	0.893985 0.00973398	-0.245258 1.01073	0.46987 0.228614	
32.5	292.01	143.5	0.857411 0.0170427	-0.391644 0.381813	-0.39904 0.354516	
33.5	276.981	138.5	0.862634 0.0138554	0.695613 0.047339	0.648597 0.0665865	
34.5	266.037	133	0.829178 0.0188394	0.562267 0.108732	-0.36695 0.447115	
35.5	253.598	127.5	0.864277 0.0137035	-0.581897 0.227534	0.651771 0.0743883	
36.5	241.841	122.5	0.86628 0.0151889	-0.501684 0.200338	0.358058 0.48354	
37.5	231.078	118	0.858021 0.0154194	0.470221 0.229529	0.686787 0.0528584	
38.5	220.952	113.5	0.865999 0.0130858	0.482477 0.198877	0.632396 0.0748423	
39.5	210.193	108.5	0.867511 0.013129	0.587304 0.0862616	-0.484167 0.224391	
40.5	200.734	104	0.855275 0.0152617	-0.49513 0.421958	0.486953 0.174673	
41.5	190.571	100	0.82852 0.0199391	0.520317 0.158331	0.715168 0.0426446	
42.5	180.415	96	0.83649 0.0215503	0.652977 0.0596662	0.490108 0.159295	
43.5	173.041	92	0.835992 0.021401	0.352122 0.442538	0.465998 0.215193	
44.5	163.119	88	0.841688 0.0167404	-0.536367 0.231123	-0.69356 0.414637	
45.5	154.381	84	0.806206 0.023785	-0.180052 1.35671	0.419093 0.313634	
46.5	146.461	80	0.851096 0.0148664	0.495465 0.178664	-0.364221 0.487555	
47.5	138.757	76.5	0.830083 0.017538	0.608902 0.0906652	0.496099 0.165717	
48.5	132.032	73	0.844973 0.0167691	0.708799 0.0452963	-0.560283 0.210949	
49.5	124.97	69.5	0.866977 0.0131655	0.577692 0.114952	-0.493533 0.263672	
50.5	117.441	66.5	0.847152 0.0161573	0.585095 0.0976871	0.414227 0.280871	
51.5	111.714	63	0.829324 0.0185516	0.660167 0.0650511	-0.342216 0.492283	
52.5	104.88	59.5	0.812849 0.0216493	0.694938 0.0487424	-0.485845 0.22326	
53.5	99.2914	56.5	0.832707 0.0185988	0.5618 0.106842	-0.665605 0.181816	
54.5	93.3645	54	0.847711 0.0145473	0.567103 0.0967468	-0.550033 0.330832	
55.5	88.0027	51.5	0.824312 0.0216234	0.542728 0.129573	-0.62445 0.103628	
56.5	82.545	48.5	0.813414 0.0202377	-0.516292 0.140282	-0.577902 0.134574	
57.5	77.0972	46	0.811933 0.0211888	0.639995 0.0670825	-0.534338 0.16108	
58.5	73.1593	43.5	0.81529 0.021702	0.544763 0.120147	-0.42866 0.446979	
59.5	67.4209	41	0.836883 0.0178188	0.612003 0.0802939	-0.571894 0.220812	
60.5	64.2022	39	0.813871 0.0204171	0.482475 0.154049	-0.24016 1.0093	
61.5	59.7218	36.5	0.827594 0.0190224	0.633954 0.0711941	-0.65579 0.0848837	
62.5	55.6917	34	0.783412 0.0256596	0.741074 0.0352696	-0.749552 0.085583	
63.5	51.6008	32	0.76966 0.0307849	0.621965 0.0734385	-0.832508 0.114761	
64.5	49.2562	30	0.697013 0.051141	0.602232 0.0774222	-0.891809 0.0716766	
65.5	45.5937	28.5	0.808835 0.0210765	-0.504311 0.222205	-0.62235 0.115021	
66.5	42.8748	27	0.797839 0.0241608	-0.157673 1.65018	-0.862096 0.0509169	
67.5	39.0919	25	0.779472 0.0273745	-0.596784 0.139096	-0.831706 0.0595594	
68.5	36.8155	23.5	0.807353 0.0230357	-0.60219 0.166412	-0.697152 0.0761354	
69.5	33.966	22	0.750829 0.0348082	0.358501 0.48367	-0.750559 0.0805037	
