Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	777.18	253	0.240516 9.13674e-05	0.213032 0.000221082	0.956012 0.00510089	0.193302 4.08546e-05	0.189222 0.000106888	0.113065 0.000354205	
1.5	718.472	245.5	0.256056 2.25882e-07	0.254188 0.000215744	0.0588956 0.0158056	0.186447 0.000116306	0.189201 0.000457809	-0.0802042 0.0160369	
2.5	674.353	240	0.226477 0.000649985	0.201949 0.00190228	0.792777 0.0527603	0.164601 6.86908e-05	0.160781 0.000220849	0.0975562 0.00410939	
3.5	660.383	234	0.247269 9.98245e-06	0.25373 0.000180113	-0.168346 0.0115893	0.180931 7.10131e-05	0.180355 0.0035708	0.0134125 0.0639092	
4.5	626.524	228	0.229495 1.13176e-05	0.201287 0.0035402	0.608611 0.0679424	0.186834 1.58067e-05	0.199515 6.85731e-05	-0.277644 0.00483103	
5.5	613.49	222	0.238357 1.10097e-05	0.234784 0.000118471	0.073662 0.00796876	0.174116 4.7116e-05	0.165211 0.0178088	0.177067 0.169421	
6.5	578.881	216	0.22584 5.66306e-05	0.226177 0.000335038	-0.0057021 0.0120744	0.167759 1.77098e-05	0.158688 5.07704e-05	0.170331 0.000638492	
7.5	559.427	209.5	0.24096 9.88464e-05	0.246673 0.00215841	-0.0935762 0.0354641	0.163783 5.05795e-05	0.155442 0.000138735	0.143696 0.000531512	
8.5	547.174	203	0.238721 2.93511e-06	0.235949 1.09759e-05	0.0411249 0.00171291	0.171857 8.00289e-05	0.171366 2.8394e-05	0.00737815 0.00409386	
9.5	519.978	197.5	0.230994 6.64252e-05	0.237173 0.000789098	-0.085997 0.015495	0.158823 1.02296e-05	0.159349 3.45246e-05	-0.00857779 0.000422801	
10.5	504.576	192	0.233562 0.000184163	0.230541 0.00156311	0.0357515 0.0243138	0.16189 8.11686e-05	0.162388 0.00019996	-0.00733842 0.00058964	
11.5	483.895	186	0.224598 1.91188e-05	0.221704 0.00311843	0.0322007 0.0328301	0.163696 2.6027e-05	0.142245 9.68526e-05	0.286483 4.80444e-05	
12.5	463.808	180.5	0.221103 7.55227e-05	0.195574 0.000155174	0.257622 0.00152556	0.158734 6.25377e-05	0.157112 0.000124649	0.0214699 0.000942085	
13.5	449.077	175	0.225067 0.000197452	0.218561 0.000900462	0.0654538 0.0107004	0.154835 8.67972e-05	0.155835 0.000691099	-0.0142679 0.0111966	
14.5	435.64	169.5	0.225339 0.000121546	0.218853 0.000373614	0.0584804 0.000647764	0.152887 2.84671e-05	0.158223 0.000327022	-0.0666372 0.00666948	
15.5	414.993	164	0.220827 0.000181837	0.201343 0.000983101	0.166631 0.0101526	0.138454 3.24838e-05	0.137476 0.000113344	0.0120278 0.00171804	
