Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	625.347	226.5	0.0312837 0.00274042	 0.0696602 0.00347478	 0.0405983 0.00201609	 0.0224505 0.00128778	 0.0213791 0.00158022	 0.0185273 0.00144002	 
15	425.73	168.5	0.0291405 0.00284247	 0.075906 0.0024363	 0.0433664 0.00188104	 0.0235114 0.00140342	 0.0147481 0.00118567	 0.0140044 0.00148732	 
25	285.914	121	0.0227291 0.00244824	 0.0835422 0.00178518	 0.0404057 0.00135404	 0.0215463 0.00163735	 0.00982326 0.000331413	 0.010005 0.00151175	 
35	187.639	84	0.0212228 0.000540535	 0.0899515 0.00140194	 0.0405304 0.00144059	 0.0203458 0.000961372	 0.0113129 0.00110664	 0.0105235 0.0015787	 
45	115.583	55.5	0.0263589 0.00279424	 0.0936897 0.000957891	 0.0345542 0.000876633	 0.0184324 0.000382423	 0.00867279 0.000176615	 0.0058843 0.000776469	 
55	66.7145	34.5	0.0233736 0.00028324	 0.0912537 0.000737913	 0.0288192 0.000673991	 0.0170811 0.000358585	 0.00733574 0.000202114	 0.00416158 0.000103249	 
65	36.2826	20	0.0198652 0.000230235	 0.0815093 0.000522635	 0.0205537 0.000164299	 0.0146207 0.000131374	 0.00539186 4.65332e-05	 0.0032356 3.41033e-05	 
75	20.2641	10.5	0.0156204 0.000252515	 0.0669075 0.000730471	 0.0146252 0.000189539	 0.0113244 0.000169401	 0.00371841 4.98671e-05	 0.00225127 3.73323e-05	 
85	6.78735	5	0.00942241 0.000381616	 0.0349881 0.00129864	 0.00596928 0.000247964	 0.00400091 0.000223779	 0.00117975 5.47199e-05	 0.000852493 3.24816e-05	 
95	nan	2.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
