Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	625.347	226.5	9.8235e-06 8.34569e-06	8.67577e-05 1.71272e-05	6.03368e-06 2.63082e-06	4.75953e-07 4.05757e-07	2.66146e-07 5.34673e-08	1.3326e-07 3.70062e-08	
15	425.73	168.5	9.27836e-06 7.10607e-06	4.78506e-05 1.26169e-05	5.35381e-06 2.14625e-06	5.6008e-07 3.42741e-07	5.90768e-08 2.32024e-08	9.51802e-08 3.94093e-08	
25	285.914	121	4.30852e-06 3.79078e-06	3.87967e-05 1.39559e-05	2.22408e-06 8.52245e-07	1.432e-06 1.41663e-06	6.18788e-10 3.55458e-10	5.69346e-08 2.88363e-08	
35	187.639	84	1.74083e-08 8.38849e-09	2.26929e-05 8.88855e-06	2.69696e-06 1.04597e-06	1.77819e-07 1.55558e-07	5.37903e-08 5.04655e-08	6.68805e-08 2.82027e-08	
45	115.583	55.5	1.23552e-05 1.19311e-05	9.99781e-06 7.09057e-06	7.23864e-07 5.59905e-07	7.86152e-09 5.74505e-09	9.0426e-11 8.49914e-11	2.53528e-09 2.10042e-09	
55	66.7145	34.5	1.42342e-10 4.08339e-11	3.50425e-06 3.40977e-06	2.47481e-07 2.47494e-07	6.98613e-09 6.98959e-09	1.12459e-10 1.1246e-10	2.48925e-12 2.48903e-12	
65	36.2826	20	4.78173e-11 3.03831e-11	1.45463e-08 4.66302e-09	-8.87541e-12 1.46924e-12	-2.65433e-12 2.87227e-13	-5.4573e-16 1.36358e-15	3.30385e-16 1.72755e-16	
75	20.2641	10.5	1.4167e-12 2.65347e-12	-2.2987e-08 2.04594e-09	-1.27391e-12 4.86818e-13	-8.48904e-13 1.54315e-13	-7.25827e-16 1.34576e-16	7.7145e-17 3.91269e-17	
85	6.78735	5	1.89042e-12 7.51264e-13	-9.83509e-11 7.21812e-10	1.76494e-13 1.20253e-13	7.44752e-14 2.72301e-14	2.35785e-17 8.77857e-18	7.714e-19 5.17468e-19	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
