Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	625.347	226.5	-2.5656 0.0375636	-2.55564 0.120026	-2.73954 0.445835	
15	425.73	168.5	-2.02868 0.0647578	-2.37089 0.105864	-2.7816 0.251563	
25	285.914	121	-1.64315 0.12293	-2.09554 0.14068	-3.14316 1.30781	
35	187.639	84	-1.35736 0.133008	-2.15783 0.141235	-2.48951 0.531173	
45	115.583	55.5	-0.978104 0.32795	-1.80612 0.426555	-1.61622 0.336692	
55	66.7145	34.5	-0.655336 0.111362	-1.71894 1.21802	-1.61905 0.893332	
65	36.2826	20	0.705361 0.0114473	-0.641468 0.0300496	-0.831241 0.0163448	
75	20.2641	10.5	-0.478524 0.0784312	-0.833386 0.0285473	-0.993669 0.0177192	
85	6.78735	5	-1.25981 0.033275	-1.35734 0.0583238	-1.62243 0.0543322	
95	nan	2.5	nan nan	nan nan	nan nan	
