Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	777.18	253	-2.77018 0.107275	-1.45288 0.258235	-1.7538 0.276671	
1.5	718.472	245.5	-2.70556 0.129349	-1.6154 0.275342	-1.44904 0.265988	
2.5	674.353	240	-2.49577 0.152849	-1.74712 0.0777679	-2.05406 0.0694638	
3.5	660.383	234	-2.59691 0.154405	-1.52814 0.267332	-2.02508 0.736161	
4.5	626.524	228	-2.39883 0.132911	-2.36074 0.222445	-2.09191 0.181567	
5.5	613.49	222	-2.67049 0.239907	-2.87007 0.820049	-3.2301 0.952615	
6.5	578.881	216	-2.36412 0.0998213	-2.37115 0.164305	-2.18501 0.111058	
7.5	559.427	209.5	-2.51438 0.100625	-2.49423 0.074245	-2.21272 0.225255	
8.5	547.174	203	-2.52077 0.304239	-2.64114 1.31645	-2.81587 1.23724	
9.5	519.978	197.5	-2.45327 0.112952	-2.49475 0.190863	-1.93662 0.177525	
10.5	504.576	192	-1.44611 0.737556	-1.58937 1.14179	-1.92343 1.41015	
11.5	483.895	186	-2.21243 0.620069	-2.35273 0.580195	-2.16429 0.416407	
12.5	463.808	180.5	-2.24795 0.197426	-2.69283 0.406377	-3.16348 0.900413	
13.5	449.077	175	-1.96301 0.288174	-2.16357 0.874326	-1.99942 0.717057	
14.5	435.64	169.5	-2.15389 0.167386	-2.34715 0.110247	-2.77765 0.720895	
15.5	414.993	164	-2.03414 0.587991	-2.25642 0.632654	-1.90134 0.392675	
16.5	397.992	158.5	-1.89678 0.0956756	-2.04307 0.265925	-2.24219 0.216334	
17.5	384.183	153.5	-2.08821 0.229133	-2.37785 0.233921	-2.18664 0.262538	
18.5	366.994	149	-1.80457 0.476063	-2.03446 1.27311	-1.8035 0.509363	
19.5	354.111	144.5	-1.71932 0.828264	-2.43093 1.4456	-3.09663 2.132	
20.5	338.534	139.5	0.760256 0.0259674	0.108084 2.4664	0.445065 0.186423	
21.5	333.657	135	0.737709 0.0302846	0.489231 0.158996	0.655931 0.0488632	
22.5	312.308	130.5	0.74661 0.0331199	-0.625703 0.200425	-0.390969 0.298749	
23.5	300.075	126	0.735515 0.0335978	0.648935 0.0629968	-0.401687 0.428893	
24.5	287.685	122	-1.65862 0.907227	-2.18232 1.72523	-2.05918 1.52487	
25.5	276.436	118	-1.72892 0.961833	-2.30774 1.71706	-1.78062 1.06976	
26.5	264.804	113.5	-1.8674 0.288898	-2.40218 0.235121	-2.2286 0.320449	
27.5	262.47	109.5	-1.92883 0.148976	-2.18999 0.169729	-3.51713 1.49663	
28.5	244.84	106	0.796547 0.0202038	0.519863 0.132187	0.589846 0.0876559	
29.5	236.585	102	-1.51632 0.725683	-2.09112 1.47292	-1.93203 1.48961	
30.5	229.737	98	-1.7186 0.293988	-2.45298 0.312217	-3.11568 1.50169	
31.5	214.398	94.5	0.791728 0.0220693	0.708775 0.0385246	0.652775 0.0514423	
32.5	206.456	91	0.419025 0.406442	-2.3037 2.0293	-2.15035 1.5456	
33.5	205.101	87.5	-1.38698 0.611166	-1.96358 1.43257	-1.74073 1.18152	
34.5	187.503	84.5	-1.51778 0.721511	-2.27051 1.6773	-1.98476 1.54086	
35.5	178.304	81.5	0.769809 0.0238544	0.46757 0.155545	0.504239 0.137891	
36.5	182.147	78.5	-1.34359 0.545438	-2.07294 1.65118	-1.93529 1.49802	
37.5	162.122	75.5	-1.44321 0.68157	-2.24608 1.54657	-2.44587 1.88471	
38.5	162.847	72.5	-1.5467 0.81709	-2.31451 1.71068	-2.10742 1.76351	
39.5	149.05	69.5	0.751058 0.0295553	0.720218 0.0405822	0.546683 0.111911	
40.5	141.727	66.5	0.772825 0.0256849	0.660385 0.0481255	0.290641 0.77707	
41.5	136.522	63.5	-1.39084 0.599687	-2.13818 1.64987	-2.21879 1.71921	
42.5	132.73	61	-1.53469 0.764927	-2.45627 1.95236	-2.12203 1.43128	
43.5	123.023	58.5	0.773639 0.0221989	0.58547 0.0743711	-0.645453 0.12328	
44.5	116.989	56	0.773262 0.0282349	0.589346 0.0754737	-0.678791 0.111054	
45.5	115.075	53.5	0.803189 0.0178505	-0.5807 0.159656	-0.585026 0.148048	
46.5	104.584	51	0.769112 0.0265831	0.462771 0.160449	-0.653863 0.117039	
47.5	101.361	49	-0.954082 0.208408	-0.329838 0.549938	-0.971251 0.517517	
48.5	94.4421	47	0.799928 0.0191162	0.545889 0.0946493	-0.68463 0.119656	
49.5	89.106	44.5	0.743849 0.0278547	0.206197 1.13312	-0.828388 0.0482813	
50.5	84.7872	42	0.748529 0.0263788	0.335492 0.467155	-0.68804 0.074174	
51.5	79.5671	40	0.704864 0.0430113	0.640774 0.0499244	-0.78495 0.0663037	
52.5	77.9255	38.5	-1.40207 0.619661	-2.5 1.81775	-2.42487 1.73203	
53.5	71.4114	37	0.793654 0.0204716	0.640508 0.0601454	-0.582039 0.129221	
54.5	67.7461	35	0.79307 0.0202034	0.635436 0.058585	-0.753188 0.0569853	
55.5	63.912	33	0.789449 0.0202859	0.403642 0.259344	-0.697731 0.0699783	
56.5	61.0489	31.5	0.753238 0.0300055	0.62922 0.0622481	-0.788459 0.064906	
57.5	56.6569	30	0.744695 0.0282064	0.524993 0.137307	-0.685933 0.0695809	
58.5	53.6036	28	0.756808 0.025639	0.404698 0.250242	-0.712017 0.0631707	
59.5	50.7187	26.5	0.776989 0.0218535	-0.463453 0.202052	-0.766101 0.0775028	
60.5	47.929	25.5	0.788621 0.0200909	0.57285 0.0798756	-0.53424 0.178815	
61.5	44.4183	24	0.713776 0.033088	-0.461368 0.321698	-0.831917 0.0467596	
62.5	42.1763	22.5	0.724156 0.0307233	-0.426499 0.301296	-0.818351 0.0529262	
63.5	39.1998	21.5	0.688905 0.0398262	-0.49288 0.270898	-0.873339 0.0493911	
64.5	36.6897	20.5	0.744256 0.0266795	-0.656153 0.0872581	-0.75339 0.0619682	
65.5	34.4989	19	0.739636 0.0270479	-0.652956 0.0820734	-0.801954 0.0439551	
66.5	32.6626	17.5	0.749228 0.029761	0.205272 1.03604	-0.824734 0.0680151	
67.5	29.6637	16.5	0.681036 0.0430286	-0.44657 0.257763	-0.83954 0.0493079	
68.5	27.8683	15.5	0.640104 0.0520724	-0.717138 0.0909956	-0.903485 0.0411653	
69.5	26.0877	14.5	0.531034 0.110457	-0.697916 0.0734375	-0.930084 0.0409319	
70.5	23.9291	13.5	0.633598 0.0542449	-0.816671 0.0542919	-0.843567 0.0431405	
71.5	22.1677	13	0.583156 0.0804467	-0.77021 0.0615826	-0.891041 0.0394201	
72.5	20.4486	12.5	-0.434981 0.238242	-0.722216 0.13982	-0.989756 0.0480581	
73.5	19.0906	11.5	-0.622236 0.0843925	-0.829398 0.0580388	-1.06956 0.0419824	
74.5	17.8762	10.5	0.451364 0.384702	-0.735143 0.155172	-0.919799 0.0853621	
75.5	15.8503	10	0.563077 0.244991	0.496482 0.41543	-0.926811 0.105683	
76.5	15.2773	9.5	-0.896226 0.118278	-0.915725 0.119281	-1.24218 0.152624	
77.5	13.3226	8.5	0.296345 0.800259	-0.524772 0.337821	-0.933877 0.108155	
78.5	12.7439	8	-1.08442 0.0897425	-0.942457 0.098776	-1.36572 0.119966	
79.5	11.2422	7.5	-1.14378 0.0967357	-0.838676 0.132973	-1.38169 0.111606	
80.5	10.0436	7	-1.04708 0.104547	-1.07067 0.177538	-1.37183 0.101998	
81.5	9.27992	6.5	-0.935584 0.0889256	-1.02432 0.0853436	-1.29507 0.0882772	
82.5	8.33794	6	-1.26637 0.104203	-1.11641 0.130629	-1.46372 0.112134	
83.5	7.50164	5.5	-1.27041 0.10018	-1.18165 0.274426	-1.43467 0.105692	
84.5	6.76668	5	-1.27609 0.104822	-1.15855 0.102037	-1.59251 0.248288	
85.5	6.02018	4.5	-1.31752 0.107245	-1.41685 0.181743	-1.42115 0.156231	
86.5	5.41999	4	-1.43453 0.120061	-1.70821 0.299156	-1.49875 0.137387	
87.5	4.70964	4	-1.29911 0.106408	-1.13995 0.124732	-1.57162 0.133384	
88.5	4.23509	4	-1.33505 0.133213	-1.53138 0.126077	-1.70033 0.159069	
89.5	3.59383	3.5	-1.42533 0.130249	-1.54355 0.126078	-1.52121 0.155223	
90.5	nan	3	nan nan	nan nan	nan nan	
91.5	nan	3	nan nan	nan nan	nan nan	
92.5	nan	2.5	nan nan	nan nan	nan nan	
93.5	nan	2	nan nan	nan nan	nan nan	
94.5	nan	2	nan nan	nan nan	nan nan	
95.5	nan	2	nan nan	nan nan	nan nan	
96.5	nan	2	nan nan	nan nan	nan nan	
97.5	nan	2	nan nan	nan nan	nan nan	
98.5	nan	2	nan nan	nan nan	nan nan	
99.5	nan	0	nan nan	nan nan	nan nan	
