Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	625.347	226.5	-0.000126187 6.42934e-05	-0.00102022 0.000176354	-0.000115886 3.72553e-05	-1.43093e-05 8.66813e-06	-2.00163e-05 3.74831e-06	-1.24839e-05 2.49742e-06	
15	425.73	168.5	-0.000114129 6.05398e-05	-0.000562292 0.000132794	-0.000111753 3.38098e-05	-1.82934e-05 8.73179e-06	-5.18273e-06 1.68063e-06	-7.33234e-06 2.31948e-06	
25	285.914	121	-5.22195e-05 3.79228e-05	-0.000355086 0.000127092	-5.13991e-05 1.90781e-05	-2.10356e-05 1.92369e-05	-1.81397e-07 9.15517e-08	-3.89528e-06 1.7757e-06	
35	187.639	84	-2.17088e-06 8.01893e-07	-0.000222239 9.27086e-05	-5.85051e-05 2.1726e-05	-6.58193e-06 4.52809e-06	-2.62516e-06 2.10349e-06	-4.71506e-06 1.87255e-06	
45	115.583	55.5	-9.04584e-05 7.97441e-05	-7.05192e-05 6.44323e-05	-1.517e-05 1.12682e-05	-7.8764e-07 5.46788e-07	-3.69348e-08 3.00012e-08	-3.46109e-07 2.62148e-07	
55	66.7145	34.5	-4.96948e-07 4.15057e-08	-1.27896e-05 3.60163e-05	-6.02249e-06 6.06217e-06	-5.84941e-07 5.63112e-07	-3.60475e-08 3.57734e-08	-2.98557e-09 2.82374e-09	
65	36.2826	20	-2.26924e-07 2.32061e-08	1.09263e-05 8.70844e-07	-3.02176e-08 5.63079e-09	-2.18162e-08 1.7415e-09	-3.06688e-10 4.38049e-11	-1.13154e-10 1.03612e-11	
75	20.2641	10.5	-7.77376e-08 8.0301e-09	-1.05079e-06 6.61653e-07	-2.20697e-08 3.1987e-09	-1.60335e-08 1.21553e-09	-1.12305e-10 1.1833e-11	-3.66233e-11 4.47041e-12	
85	6.78735	5	-2.50704e-08 4.64054e-09	-3.77493e-06 4.40585e-07	-4.30968e-09 9.75903e-10	-1.77539e-09 4.24646e-10	-8.65034e-12 2.10166e-12	-1.42686e-12 2.9272e-13	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
