Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	691.479	241.5	-2.64182 0.0602419	-2.23058 0.275175	-2.02731 0.10413	
7.5	563.324	210	-2.49787 0.0444795	-2.5894 0.11825	-2.84039 0.477821	
12.5	467.641	181	-2.14596 0.0978736	-2.47529 0.185464	-2.92891 0.379927	
17.5	384.104	154.5	-1.93182 0.0957842	-2.26195 0.127438	-2.54889 0.443928	
22.5	315.092	131	-1.17239 0.428261	-1.65603 1.31139	-1.46384 0.998229	
27.5	257.343	110	-1.76295 0.120426	-2.23141 0.127735	-3.37824 1.38266	
32.5	209.026	91.5	-1.41379 0.186668	-2.22608 0.184123	-2.67867 0.818747	
37.5	167.155	75.5	-1.29985 0.235091	-2.04729 0.271331	-2.05298 0.375446	
42.5	129.995	61.5	-1.16889 0.344918	-2.00901 0.445162	-1.84676 0.373197	
47.5	100.757	49	0.58663 0.189183	0.180151 1.53842	-0.791937 0.114208	
52.5	76.2788	38.5	-0.893866 0.13011	-1.88279 1.27551	-1.8374 1.12726	
57.5	57.0444	30	0.765606 0.0110062	0.420291 0.112636	-0.73635 0.0308864	
62.5	42.1024	23	0.733417 0.0131981	-0.469815 0.0903058	-0.785501 0.0251711	
67.5	30.2267	17	0.682251 0.0188456	-0.647946 0.042844	-0.863346 0.0205341	
72.5	21.2658	12	0.347098 0.202047	-0.80307 0.0315539	-0.960123 0.0192023	
77.5	13.7135	8.5	-0.861223 0.0541944	-0.804962 0.0621339	-1.16319 0.0456301	
82.5	8.51766	6	-1.13565 0.0432334	-1.17008 0.0725993	-1.43791 0.0547819	
87.5	4.86351	4	-1.37867 0.0509467	-1.57321 0.107543	-1.61453 0.0638698	
92.5	nan	2.5	nan nan	nan nan	nan nan	
97.5	nan	2	nan nan	nan nan	nan nan	
