Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	777.18	253	1.64057 0.253932
1.5	718.472	245.5	1.68756 0.2161
2.5	674.353	240	2.07637 0.192645
3.5	660.383	234	1.65433 0.201017
4.5	626.524	228	1.85967 0.142831
5.5	613.49	222	1.42016 0.142491
6.5	578.881	216	1.80054 0.116007
7.5	559.427	209.5	1.6488 0.0899748
8.5	547.174	203	1.65885 0.147113
9.5	519.978	197.5	1.727 0.0898135
10.5	504.576	192	1.68424 0.0512235
11.5	483.895	186	1.6001 0.0458263
12.5	463.808	180.5	1.58476 0.147434
13.5	449.077	175	1.83325 0.111553
14.5	435.64	169.5	1.61389 0.157703
15.5	414.993	164	1.83773 0.0663152
16.5	397.992	158.5	1.82807 0.103268
17.5	384.183	153.5	1.79294 0.0858087
18.5	366.994	149	1.91111 0.0989049
19.5	354.111	144.5	1.84772 0.184493
20.5	338.534	139.5	1.97648 0.0626458
21.5	333.657	135	2.17478 0.0683222
22.5	312.308	130.5	2.11367 0.0701997
23.5	300.075	126	2.07346 0.0654197
24.5	287.685	122	1.96521 0.128686
25.5	276.436	118	2.08796 0.154156
26.5	264.804	113.5	1.95319 0.12743
27.5	262.47	109.5	2.10417 0.165736
28.5	244.84	106	2.24869 0.0708985
29.5	236.585	102	2.05532 0.134525
30.5	229.737	98	2.00562 0.192032
31.5	214.398	94.5	2.18124 0.0645831
32.5	206.456	91	2.0251 0.277445
33.5	205.101	87.5	2.16923 0.127348
34.5	187.503	84.5	2.25685 0.213452
35.5	178.304	81.5	2.38727 0.0757587
36.5	182.147	78.5	2.28483 0.166083
37.5	162.122	75.5	2.23624 0.200949
38.5	162.847	72.5	2.31435 0.207925
39.5	149.05	69.5	2.46556 0.0754534
40.5	141.727	66.5	2.64826 0.0810907
41.5	136.522	63.5	2.40876 0.189626
42.5	132.73	61	2.41364 0.27512
43.5	123.023	58.5	2.72441 0.086195
44.5	116.989	56	2.70258 0.0850119
45.5	115.075	53.5	2.91252 0.0986521
46.5	104.584	51	2.85841 0.0919844
47.5	101.361	49	2.96709 0.118856
48.5	94.4421	47	2.93886 0.10099
49.5	89.106	44.5	2.83307 0.0920167
50.5	84.7872	42	2.94358 0.101055
51.5	79.5671	40	3.02537 0.102947
52.5	77.9255	38.5	2.73334 0.365022
53.5	71.4114	37	3.13988 0.0985609
54.5	67.7461	35	3.09481 0.100885
55.5	63.912	33	3.23427 0.107205
56.5	61.0489	31.5	3.28515 0.11187
57.5	56.6569	30	3.44497 0.119954
58.5	53.6036	28	3.40062 0.11438
59.5	50.7187	26.5	3.79605 0.122916
60.5	47.929	25.5	3.60164 0.112309
61.5	44.4183	24	3.69767 0.128136
62.5	42.1763	22.5	3.66973 0.126777
63.5	39.1998	21.5	4.01367 0.140775
64.5	36.6897	20.5	3.96437 0.138227
65.5	34.4989	19	4.0308 0.134007
66.5	32.6626	17.5	4.20781 0.139797
67.5	29.6637	16.5	4.45311 0.148207
68.5	27.8683	15.5	4.27157 0.153373
69.5	26.0877	14.5	4.35339 0.157832
70.5	23.9291	13.5	4.57409 0.169413
71.5	22.1677	13	4.7204 0.169131
72.5	20.4486	12.5	4.48081 0.160129
73.5	19.0906	11.5	4.34505 0.164471
74.5	17.8762	10.5	4.56034 0.337457
75.5	15.8503	10	5.37854 0.398771
76.5	15.2773	9.5	4.36119 0.416765
77.5	13.3226	8.5	5.19079 0.439964
78.5	12.7439	8	4.51287 0.537841
79.5	11.2422	7.5	4.79773 0.59113
80.5	10.0436	7	5.00233 0.543532
81.5	9.27992	6.5	5.4803 0.501241
82.5	8.33794	6	5.24673 0.534536
83.5	7.50164	5.5	6.70586 1.04344
84.5	6.76668	5	6.54414 0.838948
85.5	6.02018	4.5	5.12659 0.915974
86.5	5.41999	4	6.90662 1.75964
87.5	4.70964	4	8.67844 1.15453
88.5	4.23509	4	8.01561 1.48422
89.5	3.59383	3.5	8.91638 1.80526
90.5	nan	3	nan nan
91.5	nan	3	nan nan
92.5	nan	2.5	nan nan
93.5	nan	2	nan nan
94.5	nan	2	nan nan
95.5	nan	2	nan nan
96.5	nan	2	nan nan
97.5	nan	2	nan nan
98.5	nan	2	nan nan
99.5	nan	0	nan nan
