Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	777.18	253	0.0217501 0.00667819	 0.0485335 0.00971882	 0.0295833 0.00168953	 0.0173623 0.0013869	 0.0177903 0.00588701	 0.0135015 0.00505875	 
1.5	718.472	245.5	0.024043 0.00757478	 0.0491644 0.00910427	 0.0291334 0.00194929	 0.0167844 0.00092979	 0.0159448 0.00485124	 0.0119889 0.00433549	 
2.5	674.353	240	0.0347665 0.00688483	 0.0709063 0.0115956	 0.0341492 0.00279407	 0.0212621 0.0023715	 0.0292629 0.00614702	 0.0226801 0.00486137	 
3.5	660.383	234	0.0207128 0.00608746	 0.0516815 0.00892746	 0.0312401 0.00192478	 0.0178174 0.00187336	 0.0180944 0.0060253	 0.0140565 0.00542495	 
4.5	626.524	228	0.0400123 0.00721591	 0.0874375 0.0124534	 0.0470178 0.00659651	 0.023013 0.00252873	 0.0267406 0.00501097	 0.0242051 0.00428724	 
5.5	613.49	222	0.0295078 0.0089748	 0.0656785 0.0120935	 0.0462472 0.0102188	 0.030376 0.00883724	 0.0207426 0.00637866	 0.01393 0.0042881	 
6.5	578.881	216	0.0330102 0.00571557	 0.0827101 0.010822	 0.0459364 0.00612151	 0.0245165 0.00276122	 0.0249726 0.00449854	 0.0234964 0.00495618	 
7.5	559.427	209.5	0.0332538 0.00663708	 0.0805439 0.0125501	 0.0488502 0.00754276	 0.0241387 0.00292753	 0.0200947 0.00509902	 0.022264 0.0052793	 
8.5	547.174	203	0.0399473 0.0188252	 0.0695688 0.0109273	 0.041938 0.00747146	 0.0237636 0.00486459	 0.0189386 0.00518145	 0.0136031 0.0046358	 
9.5	519.978	197.5	0.0284613 0.00655969	 0.0749526 0.0110639	 0.0434005 0.00669525	 0.0218144 0.00201477	 0.0178805 0.00482185	 0.0193751 0.00510114	 
10.5	504.576	192	0.0184935 0.00508443	 0.0590393 0.00336161	 0.0350539 0.00235097	 0.0186181 0.00179153	 0.0100821 0.00139533	 0.00560067 0.00118091	 
11.5	483.895	186	0.0231908 0.00662874	 0.066105 0.00828516	 0.041313 0.00586721	 0.0207986 0.00248121	 0.00960139 0.00086517	 0.0103264 0.0034869	 
12.5	463.808	180.5	0.040062 0.0112073	 0.0784475 0.00999485	 0.0495011 0.00927892	 0.0294887 0.00805937	 0.0180112 0.00551175	 0.0112589 0.0033686	 
13.5	449.077	175	0.0266202 0.0059787	 0.0696436 0.00675718	 0.0379891 0.00452305	 0.0213026 0.00215993	 0.0139734 0.00399951	 0.0119104 0.0039818	 
14.5	435.64	169.5	0.0275089 0.00497781	 0.0789367 0.0095675	 0.0489108 0.00702901	 0.0289375 0.00609343	 0.0158821 0.00367155	 0.022135 0.00621298	 
15.5	414.993	164	0.0248483 0.00637571	 0.0753764 0.00775879	 0.041016 0.00520698	 0.0197567 0.00177553	 0.0109893 0.00155206	 0.0134854 0.00750392	 
16.5	397.992	158.5	0.0318683 0.00643291	 0.0859158 0.00810573	 0.046998 0.00515436	 0.0261183 0.00344574	 0.0202918 0.00432712	 0.0173623 0.00456539	 
17.5	384.183	153.5	0.0277231 0.00543362	 0.0826279 0.00880636	 0.0460851 0.00639886	 0.0222834 0.00260855	 0.014521 0.00312174	 0.0158337 0.00469473	 
18.5	366.994	149	0.0240945 0.00545469	 0.0787052 0.00671493	 0.0411829 0.0044814	 0.020459 0.00174422	 0.0159442 0.00466944	 0.0160981 0.006459	 
19.5	354.111	144.5	0.0399082 0.0194128	 0.0809351 0.00632698	 0.0438027 0.00688011	 0.0252408 0.00680482	 0.0152996 0.00551237	 0.00965638 0.00426709	 
20.5	338.534	139.5	0.0159897 0.000557235	 0.072725 0.00136951	 0.0367953 0.000849498	 0.0185379 0.000419445	 0.0088267 0.000266899	 0.00521042 0.000237088	 
21.5	333.657	135	0.0167859 0.000594377	 0.0743422 0.00145329	 0.0341838 0.00077366	 0.0185363 0.000389927	 0.00850465 0.000193945	 0.00502321 0.00020867	 
22.5	312.308	130.5	0.0160375 0.000654312	 0.0762107 0.00146961	 0.0360562 0.000900502	 0.0189786 0.000446137	 0.00878183 0.000209231	 0.00499645 0.000118363	 
23.5	300.075	126	0.0163687 0.000651599	 0.0746817 0.00151733	 0.0360179 0.000789312	 0.0189853 0.000464746	 0.00869945 0.00020245	 0.00497687 0.000141435	 
24.5	287.685	122	0.025459 0.0087769	 0.0837011 0.00609724	 0.0425915 0.0053053	 0.0205623 0.00227544	 0.00963248 0.000409955	 0.0089726 0.0040238	 
25.5	276.436	118	0.0189089 0.00232374	 0.0853943 0.00655768	 0.0408984 0.0055774	 0.0204628 0.00166094	 0.00979836 0.000901127	 0.011463 0.00652926	 
26.5	264.804	113.5	0.0231961 0.00397438	 0.0920682 0.00778137	 0.0471374 0.00656565	 0.0227405 0.00272277	 0.0109957 0.00166075	 0.0138265 0.00569034	 
27.5	262.47	109.5	0.0404944 0.0136846	 0.101638 0.00923435	 0.048303 0.00564608	 0.0333429 0.0114516	 0.013207 0.00188463	 0.0195529 0.00617371	 
28.5	244.84	106	0.018576 0.000709932	 0.082709 0.00148782	 0.0367809 0.000824585	 0.0181552 0.000396299	 0.00909823 0.000207257	 0.00488111 0.000121193	 
29.5	236.585	102	0.0233843 0.00337019	 0.0864281 0.00537424	 0.042051 0.00481335	 0.0201555 0.00196836	 0.00950432 0.000261422	 0.00851728 0.00376205	 
30.5	229.737	98	0.020492 0.0018458	 0.0950778 0.0072518	 0.0474058 0.0072995	 0.0264867 0.0070809	 0.0181822 0.00772731	 0.0170369 0.00646696	 
31.5	214.398	94.5	0.0194505 0.000777934	 0.085196 0.00156369	 0.0390584 0.000795673	 0.0184757 0.000393817	 0.00948264 0.000232585	 0.00483214 0.000117062	 
32.5	206.456	91	0.0187224 0.000670023	 0.0857385 0.00193605	 0.0423379 0.00558743	 0.0210215 0.00240753	 0.0102925 0.00130103	 0.00821739 0.00273852	 
33.5	205.101	87.5	0.0207802 0.00161722	 0.0870994 0.0045308	 0.0401522 0.00393536	 0.0199394 0.00154761	 0.0107872 0.00225255	 0.0121301 0.00713823	 
34.5	187.503	84.5	0.0218426 0.00223866	 0.0930304 0.00604629	 0.0412213 0.00584265	 0.0205543 0.00221171	 0.00987897 0.00129076	 0.0111855 0.00638201	 
35.5	178.304	81.5	0.0200007 0.00081472	 0.0851537 0.00155964	 0.03567 0.000791722	 0.0180512 0.000397133	 0.00859196 0.000210531	 0.00482646 0.000118314	 
36.5	182.147	78.5	0.022192 0.00268808	 0.0923548 0.00451649	 0.0404209 0.00436455	 0.0197026 0.00185484	 0.00995888 0.00134359	 0.0101529 0.00534797	 
37.5	162.122	75.5	0.0221042 0.00170529	 0.0931469 0.00517952	 0.0416533 0.00537041	 0.021323 0.00328693	 0.0125099 0.00353565	 0.0124017 0.00775769	 
38.5	162.847	72.5	0.0236477 0.0021058	 0.0934903 0.00573393	 0.0403959 0.00542151	 0.0192586 0.00213063	 0.0109279 0.00231608	 0.0127218 0.00814003	 
39.5	149.05	69.5	0.0226464 0.00161859	 0.0893234 0.00175123	 0.0362285 0.000735559	 0.0175757 0.0003984	 0.00988389 0.000551677	 0.00481432 0.000334089	 
40.5	141.727	66.5	0.0217567 0.000898057	 0.0915688 0.00172621	 0.034577 0.000731466	 0.0182605 0.000427975	 0.0085908 0.000220656	 0.00461822 0.000121577	 
41.5	136.522	63.5	0.0417163 0.0214371	 0.0960318 0.00501907	 0.0398678 0.00463792	 0.0208019 0.00261028	 0.010356 0.00134719	 0.0055401 0.000851077	 
42.5	132.73	61	0.0242934 0.00329832	 0.097824 0.00597902	 0.0405297 0.00622937	 0.0197613 0.00223859	 0.00904573 0.000310325	 0.00977098 0.00496856	 
43.5	123.023	58.5	0.0218015 0.000783695	 0.0931841 0.00170264	 0.0342034 0.000733072	 0.0177041 0.00043781	 0.00855089 0.000197348	 0.00458692 0.000112383	 
44.5	116.989	56	0.0221358 0.00118885	 0.0928358 0.00170638	 0.0343509 0.000738793	 0.0183413 0.000463474	 0.00865307 0.000196939	 0.00468723 0.000130268	 
45.5	115.075	53.5	0.0316721 0.00786325	 0.0932318 0.00169102	 0.0320107 0.000802699	 0.0178018 0.000447031	 0.00873459 0.000451996	 0.00826726 0.00361423	 
