Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
2.5	691.479	241.5	-6.29457e-05 1.71154e-05	-0.000780659 0.000184693	-3.66216e-05 1.9763e-05	-2.37299e-06 7.90597e-07	-2.2455e-05 5.67393e-06	-1.03347e-05 2.42709e-06	
7.5	563.324	210	-0.000185442 0.000123498	-0.00124228 0.000293556	-0.000189548 6.93955e-05	-2.54434e-05 1.67415e-05	-1.7726e-05 4.94718e-06	-1.44978e-05 4.27033e-06	
12.5	467.641	181	-8.06465e-05 4.34516e-05	-0.000531474 0.000182705	-0.000126727 5.62862e-05	-2.51782e-05 1.58558e-05	-4.53766e-06 2.41507e-06	-6.28142e-06 3.2991e-06	
17.5	384.104	154.5	-0.000147371 0.000112716	-0.00059064 0.000192733	-9.68735e-05 3.77223e-05	-1.14514e-05 7.41179e-06	-5.82097e-06 2.3405e-06	-8.3744e-06 3.26428e-06	
22.5	315.092	131	-1.1396e-05 1.12839e-05	-6.41686e-05 7.39508e-05	-1.43705e-05 1.43947e-05	-6.13042e-07 6.18768e-07	-4.31831e-09 3.12104e-09	-2.60306e-07 2.59519e-07	
27.5	257.343	110	-9.20719e-05 7.41457e-05	-0.000634818 0.000238732	-8.74151e-05 3.4877e-05	-4.09957e-05 3.80348e-05	-3.53612e-07 1.80379e-07	-7.43881e-06 3.49192e-06	
32.5	209.026	91.5	-1.45874e-06 7.34506e-07	-0.000252374 0.000136402	-7.73584e-05 3.67659e-05	-1.0914e-05 9.09508e-06	-4.56342e-06 4.26041e-06	-5.40849e-06 2.77946e-06	
37.5	167.155	75.5	-2.84658e-06 1.40104e-06	-0.000193299 0.000126177	-4.0382e-05 2.38226e-05	-2.42463e-06 1.60927e-06	-7.67216e-07 5.46539e-07	-4.0496e-06 2.52268e-06	
42.5	129.995	61.5	-0.00015887 0.000156459	-0.00014765 0.000125851	-2.98157e-05 2.2158e-05	-1.51282e-06 1.07642e-06	-6.04048e-08 5.84324e-08	-4.90338e-07 4.82974e-07	
47.5	100.757	49	-2.00738e-05 1.65414e-05	8.8792e-06 1.7506e-05	1.11863e-09 6.525e-08	-3.98426e-08 1.92074e-08	-1.25996e-08 8.88315e-09	-1.97697e-07 1.90066e-07	
52.5	76.2788	38.5	-4.73725e-07 6.07128e-08	-4.71881e-05 7.14557e-05	-1.19113e-05 1.20215e-05	-1.14033e-06 1.11836e-06	-7.12711e-08 7.10116e-08	-5.77023e-09 5.60948e-09	
57.5	57.0444	30	-5.19647e-07 5.66229e-08	2.22867e-05 1.71193e-06	1.46809e-08 1.62801e-08	-2.09512e-08 3.51521e-09	-1.8709e-10 1.08965e-10	-1.60808e-10 2.19417e-11	
62.5	42.1024	23	-2.79112e-07 4.13494e-08	1.49554e-05 1.38416e-06	-1.24115e-08 9.25632e-09	-2.13887e-08 2.77434e-09	-2.78563e-10 6.32517e-11	-1.36269e-10 1.77146e-11	
67.5	30.2267	17	-1.64627e-07 1.70838e-08	7.99838e-06 1.06356e-06	-1.99988e-08 5.22258e-09	-1.99628e-08 1.86409e-09	-2.31619e-10 5.61859e-11	-7.97951e-11 8.43434e-12	
72.5	21.2658	12	-7.8872e-08 8.80173e-09	3.21219e-07 7.62216e-07	-2.15744e-08 3.52785e-09	-1.59188e-08 1.31798e-09	-9.82251e-11 1.21485e-11	-3.69988e-11 4.70775e-12	
77.5	13.7135	8.5	-6.44974e-08 1.76096e-08	-4.91033e-06 8.58888e-07	-6.38316e-09 1.77367e-09	-9.44648e-09 1.67776e-09	-1.21856e-10 4.51026e-11	-1.98235e-11 1.29924e-11	
82.5	8.51766	6	-2.98355e-08 6.85171e-09	-4.59345e-06 6.28274e-07	-5.48982e-09 1.55943e-09	-2.80886e-09 6.97621e-10	-1.16459e-11 3.29408e-12	-1.70334e-12 4.37234e-13	
87.5	4.86351	4	-1.69309e-08 5.56626e-09	-1.96541e-06 3.72843e-07	-1.39273e-09 5.7694e-10	-1.91207e-10 5.09985e-11	-2.20696e-12 1.33027e-12	-5.30411e-13 2.58492e-13	
92.5	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
