Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	86.7657	29.5	2.10765 0.0384667
7.5	66.6617	25.5	2.35486 0.041582
12.5	56.3341	23	2.63716 0.048135
17.5	48.1437	20.5	2.82604 0.0538661
22.5	41.3162	18	3.19913 0.060014
27.5	35.5032	16	3.42223 0.0656073
32.5	29.8265	14	3.75865 0.0703906
37.5	25.2833	12	4.00478 0.07733
42.5	20.9476	10.5	4.32213 0.0854916
47.5	17.4016	9	4.55014 0.0959173
52.5	14.1089	7.5	5.01544 0.108101
57.5	11.4451	6.5	5.09799 0.116704
62.5	9.03791	5.5	5.41117 0.128674
67.5	7.06988	4.5	5.64648 0.155144
72.5	5.30007	4	6.46502 0.187439
77.5	3.91733	3.5	7.60101 0.22802
82.5	2.78093	2.5	9.36032 0.306796
87.5	1.76329	2	13.7317 0.465467
92.5	0.949622	2	28.7424 1.7843
97.5	0.296504	2	20.7867 2.0566
