Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	86.7657	29.5	0.0236766 0.000485247	 0.0668846 0.000802585	 0.0317342 0.000382007	 0.0137295 0.000204127	 0.00702869 9.53681e-05	 0.00398903 6.5694e-05	 
7.5	66.6617	25.5	0.0220978 0.000427606	 0.0685958 0.000776051	 0.0291294 0.000340134	 0.0136246 0.000191755	 0.00658767 9.11263e-05	 0.00359806 5.33848e-05	 
12.5	56.3341	23	0.0214434 0.000424119	 0.0706032 0.000808617	 0.0267725 0.000323475	 0.0135236 0.000215977	 0.00615773 8.20757e-05	 0.0034831 5.91762e-05	 
17.5	48.1437	20.5	0.0208829 0.000417925	 0.0721673 0.000868094	 0.0255366 0.000322966	 0.0135702 0.000223685	 0.00604249 8.37302e-05	 0.00339989 6.13251e-05	 
22.5	41.3162	18	0.020701 0.000386662	 0.0733859 0.000832094	 0.0229394 0.000298926	 0.0139262 0.00022116	 0.00564553 7.50474e-05	 0.00333351 5.8732e-05	 
27.5	35.5032	16	0.0206081 0.000395059	 0.0714831 0.000814257	 0.0208879 0.000290452	 0.0131996 0.000213449	 0.00523385 7.45424e-05	 0.00300179 5.42728e-05	 
32.5	29.8265	14	0.0184705 0.000337813	 0.0709432 0.000791252	 0.0188747 0.000262872	 0.0132618 0.000212131	 0.0046456 6.75934e-05	 0.00289555 5.26676e-05	 
37.5	25.2833	12	0.0175143 0.000328843	 0.0682022 0.000818472	 0.0170302 0.000246191	 0.0122673 0.000203515	 0.00420307 6.16111e-05	 0.00255132 4.49025e-05	 
42.5	20.9476	10.5	0.0159628 0.000305231	 0.0654863 0.000828712	 0.0151514 0.000230401	 0.0113874 0.000198462	 0.00365765 5.57655e-05	 0.00223885 4.18075e-05	 
47.5	17.4016	9	0.0141252 0.000277573	 0.0597292 0.000822694	 0.0131269 0.000220456	 0.0101253 0.00018498	 0.00309653 5.38885e-05	 0.00193015 3.6684e-05	 
52.5	14.1089	7.5	0.0129393 0.000263677	 0.056116 0.000860021	 0.0111887 0.000188407	 0.00894929 0.000176469	 0.00254138 4.91356e-05	 0.00159319 3.05771e-05	 
57.5	11.4451	6.5	0.011919 0.000269227	 0.0485654 0.000834808	 0.00952639 0.000179384	 0.00704259 0.000164026	 0.00192786 4.28315e-05	 0.0012365 2.6465e-05	 
62.5	9.03791	5.5	0.0111545 0.000275387	 0.0442949 0.000835271	 0.00818581 0.000167561	 0.00563231 0.00013986	 0.00143976 3.52907e-05	 0.000961669 2.00258e-05	 
67.5	7.06988	4.5	0.0097647 0.000261235	 0.0357199 0.000781044	 0.00632605 0.000153835	 0.00383325 0.0001109	 0.000951962 2.76866e-05	 0.000702535 1.59469e-05	 
72.5	5.30007	4	0.00824634 0.000225098	 0.0312533 0.000722457	 0.00483422 0.000130675	 0.00260077 8.13522e-05	 0.000581145 2.05714e-05	 0.000552122 1.41065e-05	 
77.5	3.91733	3.5	0.00687107 0.000203511	 0.0249138 0.000618575	 0.00327769 9.14548e-05	 0.00143459 5.51718e-05	 0.000364986 1.28572e-05	 0.000364073 1.06177e-05	 
82.5	2.78093	2.5	0.00415142 0.000141471	 0.0182428 0.000523968	 0.00194896 6.62368e-05	 0.000546331 2.53035e-05	 0.0001825 5.85792e-06	 0.000204501 7.89845e-06	 
87.5	1.76329	2	0.00218076 7.6243e-05	 0.0123073 0.000399768	 0.00089627 3.45875e-05	 0.000170038 6.58299e-06	 8.85917e-05 3.23196e-06	 8.6e-05 4.21801e-06	 
92.5	0.949622	2	0.000588177 3.30708e-05	 0.00570455 0.000280535	 0.000198472 1.43443e-05	 7.73162e-05 4.28021e-06	 3.71378e-05 2.57116e-06	 2.81354e-05 1.81458e-06	 
97.5	0.296504	2	0.000188811 8.68319e-06	 0.00152782 0.000136532	 7.34998e-05 6.54446e-06	 3.66424e-05 4.54205e-06	 1.49527e-05 1.57975e-06	 8.86543e-06 9.68392e-07	 
