Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
34.5	27.8261	13	0.0195672 0.000839874	 0.0708496 0.00179091	 0.0172792 0.000539784	 0.0132106 0.00045678	 0.00436657 0.000145892	 0.00282807 0.000110645	 
35.5	26.7579	13	0.0180738 0.000743865	 0.0691628 0.00175084	 0.0178102 0.000528028	 0.0119256 0.000422271	 0.00449219 0.000155824	 0.00252935 9.80772e-05	 
36.5	26.4897	12.5	0.0189702 0.000822764	 0.069531 0.00185093	 0.017785 0.000592492	 0.0128746 0.000454933	 0.00423807 0.000124697	 0.00257241 9.25823e-05	 
37.5	25.2359	12	0.0179754 0.000716127	 0.0664668 0.00186792	 0.0169114 0.0005387	 0.0117614 0.000472137	 0.0041562 0.000135456	 0.00255681 0.000106049	 
38.5	24.6094	12	0.0161379 0.000675826	 0.0658536 0.00184461	 0.0163538 0.000567596	 0.0118997 0.000442157	 0.00385719 0.000124346	 0.00249622 0.000100804	 
39.5	23.2719	11.5	0.0162997 0.000675814	 0.0697207 0.00184485	 0.0161884 0.000516809	 0.0128119 0.000483537	 0.00422955 0.000136482	 0.00260301 0.000105963	 
40.5	22.2961	11	0.0164623 0.00064072	 0.0678011 0.00181352	 0.0154398 0.000503288	 0.0121269 0.000449862	 0.003727 0.000120743	 0.00248743 9.72469e-05	 
41.5	21.6989	11	0.0150995 0.000653584	 0.0668962 0.00186884	 0.0159528 0.000528508	 0.0117529 0.000434508	 0.00387355 0.000125264	 0.00231285 0.000102039	 
42.5	21.0923	10.5	0.0162547 0.00066078	 0.0665485 0.00188475	 0.0140649 0.000476994	 0.0114484 0.000458249	 0.00373723 0.00012563	 0.00215932 8.45533e-05	 
43.5	20.4551	10	0.0166259 0.000785373	 0.0616709 0.00192336	 0.0149037 0.000492382	 0.0106204 0.000441602	 0.00349717 0.000132849	 0.00207173 8.81896e-05	 
44.5	19.2762	10	0.0153671 0.0006746	 0.0642352 0.00178415	 0.0153095 0.00055478	 0.0109149 0.000433547	 0.00344423 0.00012016	 0.00213461 9.05046e-05	 
45.5	18.7594	9.5	0.0142975 0.000650226	 0.062383 0.00189213	 0.0137446 0.000477219	 0.0104407 0.000422201	 0.00343955 0.00012704	 0.0020457 8.58148e-05	 
46.5	18.0254	9	0.0138066 0.00058288	 0.0624847 0.00183863	 0.013949 0.000485356	 0.0108077 0.000444222	 0.00321442 0.00011866	 0.00204324 8.48325e-05	 
47.5	17.4885	9	0.0141758 0.000624696	 0.058723 0.00174678	 0.0125354 0.000497157	 0.0103278 0.00039018	 0.00299601 0.000118955	 0.00203064 8.43148e-05	 
48.5	16.5778	9	0.0141426 0.000631474	 0.0581716 0.00181207	 0.012627 0.000471315	 0.00931449 0.000367478	 0.00300249 0.000119187	 0.00172898 6.8906e-05	 
49.5	16.094	8.5	0.0142095 0.000620856	 0.056597 0.00191224	 0.0127484 0.000537708	 0.00959573 0.000430506	 0.00279322 0.000114031	 0.00175268 7.76389e-05	 
50.5	15.275	8	0.0132641 0.000605854	 0.057009 0.00194461	 0.0119968 0.000434371	 0.00938582 0.00040155	 0.00267353 0.000113617	 0.00170747 7.03471e-05	 
51.5	14.743	8	0.0133002 0.000535652	 0.0568163 0.0019445	 0.0114137 0.000467634	 0.00920898 0.000398533	 0.00257628 0.000125558	 0.00164445 7.31879e-05	 
52.5	14.132	8	0.0123668 0.000543069	 0.0546925 0.0018966	 0.0114848 0.000402195	 0.00878187 0.000419991	 0.00266141 0.000103038	 0.00161531 7.28793e-05	 
53.5	13.5203	7.5	0.0129273 0.000699646	 0.0566701 0.00189878	 0.010647 0.000341868	 0.00892836 0.000375224	 0.00249449 0.000108068	 0.00155994 6.45578e-05	 
54.5	13.0114	7	0.0128261 0.000545529	 0.0553672 0.00194224	 0.0104398 0.00045211	 0.00845 0.000384216	 0.00230336 9.63255e-05	 0.0014398 5.91588e-05	 
55.5	12.455	7	0.0120809 0.000634879	 0.0516631 0.00184372	 0.00967294 0.000382037	 0.00777495 0.000387947	 0.00212364 8.74047e-05	 0.00134097 6.13174e-05	 
56.5	11.8871	7	0.0125361 0.000576823	 0.0499294 0.00183326	 0.0106333 0.000426722	 0.00744649 0.000369201	 0.00209663 0.000100091	 0.00133337 6.60023e-05	 
57.5	11.4132	6.5	0.0120376 0.0006774	 0.0480676 0.00194142	 0.00868379 0.00039202	 0.00706767 0.000373139	 0.0018026 8.35729e-05	 0.00123638 5.4232e-05	 
58.5	10.9642	6	0.0119249 0.000561143	 0.047867 0.0018408	 0.00973777 0.000402943	 0.00674498 0.000343414	 0.00192377 0.000111407	 0.0012085 5.78397e-05	 
59.5	10.5094	6	0.010971 0.000551284	 0.0449952 0.00187404	 0.00881044 0.000392931	 0.00605082 0.000345301	 0.00165035 9.08062e-05	 0.00103919 5.21816e-05	 
60.5	9.96642	6	0.0125726 0.000629814	 0.0449655 0.00190898	 0.00863653 0.000373579	 0.00600166 0.000322134	 0.00159202 7.2595e-05	 0.00100525 4.30047e-05	 
61.5	9.40128	6	0.0110246 0.000567785	 0.046409 0.00195553	 0.00850049 0.000385021	 0.00627076 0.000349324	 0.00154893 8.18517e-05	 0.0010607 5.06755e-05	 
62.5	8.94218	5.5	0.0107005 0.000590835	 0.0437805 0.00167522	 0.00809475 0.000388893	 0.00526052 0.000258719	 0.00136159 6.68491e-05	 0.000899245 3.95418e-05	 
63.5	8.63724	5	0.0103009 0.00054949	 0.0417279 0.00190452	 0.00789882 0.000363139	 0.00515377 0.000327038	 0.00125038 9.39351e-05	 0.000904898 4.31584e-05	 
64.5	8.18548	5	0.0110091 0.000729582	 0.0446403 0.001916	 0.00774488 0.000359272	 0.0054255 0.000290412	 0.00142556 8.38266e-05	 0.000934273 4.66471e-05	 
65.5	7.89591	5	0.0114258 0.000583609	 0.031479 0.00166642	 0.00683363 0.00035769	 0.00377383 0.000252131	 0.00106539 6.67988e-05	 0.000703934 3.34682e-05	 
