Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
67.5	7.02455	5	-1.16118 0.0454741	-1.22224 0.0486848	-1.37628 0.0621632	
68.5	6.64866	4.5	-1.1928 0.0447596	-1.32043 0.050229	-1.43091 0.0511013	
69.5	6.31161	4	-1.17391 0.0457895	-1.29202 0.057326	-1.42995 0.053787	
70.5	5.98097	4	-1.23562 0.0487066	-1.28088 0.0533713	-1.4671 0.0573326	
71.5	5.61984	4	-1.18914 0.0467948	-1.34331 0.0459062	-1.37349 0.0513477	
72.5	5.31781	4	-1.23246 0.0456476	-1.34055 0.0503289	-1.49938 0.0623235	
73.5	4.99757	4	-1.2103 0.0478767	-1.36707 0.060605	-1.4999 0.0577647	
74.5	4.6748	4	-1.25028 0.0468449	-1.31719 0.0578378	-1.52229 0.0582966	
75.5	4.40447	3.5	-1.27479 0.0434716	-1.37958 0.0467733	-1.61307 0.0634908	
76.5	4.17884	3	-1.41429 0.0541981	-1.4102 0.056688	-1.72119 0.0770605	
77.5	3.88614	3	-1.20722 0.0470596	-1.29879 0.0532421	-1.57935 0.0999756	
78.5	3.64795	3	-1.23281 0.0460366	-1.39046 0.0586133	-1.63097 0.0770495	
79.5	3.42578	3	-1.35855 0.052448	-1.49689 0.0956105	-1.64476 0.0685458	
80.5	3.20892	3	-1.43188 0.0544773	-1.54632 0.0671581	-1.81286 0.119561	
81.5	2.95925	3	-1.34386 0.0506795	-1.4584 0.0602998	-1.71497 0.0745	
82.5	2.75457	3	-1.46301 0.0541418	-1.54315 0.0688529	-1.91027 0.0892132	
83.5	2.53249	2.5	-1.42209 0.0571429	-1.53179 0.0656063	-1.72803 0.086661	
84.5	2.32288	2	-1.41348 0.0586056	-1.67328 0.0689845	-1.72158 0.0815676	
85.5	2.12947	2	-1.40534 0.0592124	-1.49188 0.0631428	-1.58769 0.0704758	
86.5	1.94321	2	-1.45303 0.0550888	-1.5202 0.0624315	-1.58723 0.0721014	
87.5	1.76561	2	-1.60495 0.0696887	-1.72935 0.0813033	-1.6992 0.0727752	
88.5	1.58234	2	-1.60611 0.0653988	-1.72447 0.0725932	-1.64833 0.0829406	
89.5	1.40473	2	-1.5512 0.066022	-1.69152 0.0945454	-1.58902 0.0691702	
90.5	1.24533	2	-1.67448 0.0727244	-1.8921 0.0904583	-1.67702 0.0703396	
91.5	1.09429	2	-1.86708 0.0934502	-1.89993 0.134564	-1.94287 0.108765	
92.5	0.939368	2	-1.85655 0.0904587	-1.68973 0.081159	-2.11636 0.113671	
93.5	0.79404	2	-1.95199 0.102715	-1.89265 0.0978778	-2.44868 0.155268	
94.5	0.654797	2	-1.94901 0.102156	-2.06361 0.118412	-2.40433 0.159901	
95.5	0.517277	2	-1.84249 0.104874	-1.93361 0.0994454	-2.33187 0.142769	
96.5	0.388877	2	-2.28935 0.160315	-2.35335 0.153116	-2.80836 0.330526	
97.5	0.2544	2	-2.68632 0.28163	-2.5225 0.21273	-2.48209 0.437722	
98.5	0.124251	2	-2.76693 0.289045	-2.03791 0.641064	-1.08936 0.0802094	
99.5	0.0288557	0	-1.24703 0.0854856	-1.17102 0.152619	-1.27586 0.0834805	
