Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
70.5	23.9855	13.5	0.654556 0.0539784	-0.727313 0.104978	-0.845886 0.052393	
71.5	22.2321	13	-0.379204 0.37171	-0.826526 0.0602469	-1.00891 0.0552419	
72.5	20.7965	12.5	-0.300534 0.791946	-0.864277 0.0674585	-0.940888 0.041839	
73.5	19.2497	11.5	-0.670937 0.0731181	-0.936478 0.0567896	-1.02785 0.0366305	
74.5	17.3617	10.5	-0.726747 0.0644716	-0.914299 0.079015	-1.03805 0.0376536	
75.5	15.9991	10	-0.800145 0.0535306	-0.980325 0.0764086	-1.03569 0.0401652	
76.5	14.6318	9.5	-0.800513 0.051763	-0.87501 0.0529719	-1.1738 0.0452299	
77.5	13.3865	8.5	-0.876708 0.0449775	-0.905735 0.0467529	-1.15203 0.0402547	
78.5	12.2447	8	-0.947582 0.0414837	-0.952155 0.059606	-1.1966 0.0398212	
79.5	11.1686	7.5	-0.992335 0.0405192	-1.00314 0.0481542	-1.11931 0.038822	
80.5	10.1474	7	-1.05596 0.0407038	-1.01064 0.0444128	-1.30282 0.0492305	
81.5	9.21518	6.5	-1.12886 0.0393681	-1.10995 0.0486216	-1.33231 0.0477732	
82.5	8.25962	6	-1.11564 0.0405676	-1.20802 0.0798148	-1.34509 0.0521426	
83.5	7.45596	5.5	-1.15514 0.0415372	-1.22108 0.0787893	-1.37744 0.0409969	
84.5	6.77315	5	-1.25773 0.041449	-1.27609 0.0447984	-1.34602 0.0717422	
85.5	5.97093	4.5	-1.30197 0.0426749	-1.39519 0.0454285	-1.5036 0.0780804	
86.5	5.31518	4	-1.28912 0.0419438	-1.25754 0.0488847	-1.4876 0.0650152	
87.5	4.7353	4	-1.38366 0.0449807	-1.47381 0.0586655	-1.65141 0.1286	
88.5	4.15899	4	-1.42818 0.0484552	-1.49223 0.0576442	-1.71576 0.068799	
89.5	3.6087	3.5	-1.3861 0.0484146	-1.51002 0.0638295	-1.67004 0.0794556	
90.5	3.40377	3	-1.30747 0.242442	-1.19398 0.396914	-1.41396 0.352408	
91.5	nan	3	nan nan	nan nan	nan nan	
92.5	nan	2.5	nan nan	nan nan	nan nan	
93.5	nan	2	nan nan	nan nan	nan nan	
94.5	nan	2	nan nan	nan nan	nan nan	
95.5	nan	2	nan nan	nan nan	nan nan	
96.5	nan	2	nan nan	nan nan	nan nan	
97.5	nan	2	nan nan	nan nan	nan nan	
98.5	nan	2	nan nan	nan nan	nan nan	
99.5	nan	0	nan nan	nan nan	nan nan	
