Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	614.012	226	3.07928e-12 1.69503e-12	-5.86056e-11 1.79631e-10	-6.00825e-12 1.22594e-11	-6.57588e-14 3.30903e-13	1.47119e-14 1.3825e-14	1.38288e-16 2.28673e-16	
15	418.264	167.5	2.98715e-12 1.15781e-12	7.78004e-09 1.0665e-09	-9.13035e-12 2.79241e-11	4.03669e-13 5.19402e-13	4.33371e-15 1.74408e-14	-1.01136e-16 2.4202e-16	
25	280.296	120.5	5.89777e-11 4.32349e-11	3.19526e-08 4.05854e-09	7.65294e-11 3.6463e-11	4.38969e-13 7.32193e-13	1.11103e-14 9.56516e-15	7.68987e-16 5.63574e-16	
35	182.724	84	4.32713e-11 1.62795e-11	7.62616e-08 7.9863e-09	3.26874e-11 5.38327e-11	-4.13253e-13 6.3633e-13	-1.9547e-14 9.62175e-15	6.35058e-16 4.58947e-16	
45	112.722	55.5	8.5153e-11 3.28555e-11	8.36418e-08 1.09602e-08	1.62661e-11 2.90838e-11	2.79166e-12 2.60441e-12	1.01439e-14 1.21324e-14	6.37697e-15 3.74413e-15	
55	65.2771	34.5	-1.08419e-11 1.15787e-11	1.03199e-07 1.26598e-08	-1.87795e-11 9.51896e-12	-1.31367e-12 1.35492e-12	-2.68442e-15 3.17094e-15	9.04487e-16 3.41932e-16	
65	35.9197	20	8.14522e-12 1.07969e-11	2.38399e-08 7.97351e-09	-9.66244e-12 2.90976e-12	-1.50078e-12 6.04206e-13	-1.30109e-15 1.2528e-15	2.35098e-16 1.68734e-16	
75	16.891	10.5	3.99298e-12 2.28313e-12	-3.02089e-08 2.18037e-09	-2.59787e-13 4.3011e-13	-3.02273e-13 2.63574e-13	5.04228e-18 1.68093e-16	6.5219e-17 4.94561e-17	
85	6.51227	5	1.59067e-12 5.09237e-13	-1.00179e-09 4.28706e-10	8.16989e-14 5.76942e-14	2.75208e-14 6.40002e-15	5.0883e-18 2.12849e-18	7.28261e-19 2.92381e-19	
95	3.40377	2.5	-3.92787e-14 2.02595e-13	-3.32807e-11 7.1202e-11	-1.07271e-15 1.61651e-15	-1.39605e-19 1.31698e-18	-2.24478e-22 8.65684e-22	-1.67896e-21 7.81244e-21	
