Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	292.795	360	1.70031 0.0301629
7.5	236.522	303	2.09072 0.0364361
12.5	194.764	257	2.50297 0.0403258
17.5	160.4	217.5	2.796 0.0439313
22.5	131.642	183	3.01503 0.0473115
27.5	107.453	153	3.18041 0.0541069
32.5	86.8103	126.5	3.17995 0.0538114
37.5	69.6422	103.5	3.37808 0.0557302
42.5	54.9558	83.5	3.47137 0.0592544
47.5	42.565	66.5	3.60928 0.0626031
52.5	32.1995	52	3.70764 0.0697874
57.5	23.8297	39.5	4.0029 0.0747758
62.5	17.1335	29.5	4.2483 0.0832402
67.5	11.8814	21.5	4.95771 0.098899
72.5	7.9162	15.5	5.57471 0.113957
77.5	5.06431	11	7.2079 0.154253
82.5	3.07667	7.5	9.17297 0.20336
87.5	1.74678	5	16.0214 0.456034
92.5	0.828441	3	34.4044 1.19075
97.5	0.233097	2	18.3485 1.39091
