Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	292.795	360	0.00413389 7.47063e-05	 0.025293 0.000330561	 0.0148755 0.000188899	 0.00719664 9.29697e-05	 0.00310832 3.99793e-05	 0.00132271 1.7949e-05	 
7.5	236.522	303	0.00481252 9.89687e-05	 0.0352149 0.000405444	 0.0168434 0.000221348	 0.00789778 0.000100155	 0.0033259 4.39871e-05	 0.0014298 2.14147e-05	 
12.5	194.764	257	0.00512634 0.000102236	 0.0455753 0.000453071	 0.0182085 0.000226943	 0.00855207 0.000111943	 0.00353548 4.60977e-05	 0.00159081 2.30026e-05	 
17.5	160.4	217.5	0.00565214 0.000127612	 0.0533573 0.000503696	 0.0190834 0.00023657	 0.00903657 0.000113122	 0.00381205 5.1659e-05	 0.00169776 2.2904e-05	 
22.5	131.642	183	0.00614043 0.000126226	 0.0594747 0.000526782	 0.0197261 0.000244368	 0.00930144 0.000118876	 0.00401655 4.92941e-05	 0.00179544 2.38671e-05	 
27.5	107.453	153	0.00718167 0.000199452	 0.0651537 0.00063001	 0.0204859 0.00026421	 0.00967035 0.000127223	 0.00415489 5.81967e-05	 0.00193937 2.98312e-05	 
32.5	86.8103	126.5	0.00747072 0.000199748	 0.0684251 0.000656353	 0.0215177 0.000271459	 0.0100575 0.000140611	 0.00424448 5.76934e-05	 0.00196448 2.91783e-05	 
37.5	69.6422	103.5	0.00819254 0.000241905	 0.072499 0.000706381	 0.0214616 0.000260775	 0.0102262 0.000143167	 0.00430514 6.53999e-05	 0.00201925 3.03801e-05	 
42.5	54.9558	83.5	0.00899992 0.000260839	 0.0734982 0.000736881	 0.0211727 0.000267746	 0.0101548 0.000152397	 0.00429567 6.72741e-05	 0.00200314 3.392e-05	 
47.5	42.565	66.5	0.0102819 0.000322768	 0.0760536 0.000789255	 0.0210717 0.000260003	 0.0102334 0.000162613	 0.00428544 6.71988e-05	 0.00192299 3.38202e-05	 
52.5	32.1995	52	0.0113109 0.000381894	 0.0738051 0.000800968	 0.0199062 0.000271122	 0.00943586 0.000168386	 0.00387782 6.23891e-05	 0.00178392 3.18002e-05	 
57.5	23.8297	39.5	0.0118915 0.000348073	 0.0725036 0.000811586	 0.0181128 0.000239428	 0.00930544 0.000166867	 0.00361457 5.82643e-05	 0.00166023 3.19136e-05	 
62.5	17.1335	29.5	0.0141548 0.000519085	 0.0674299 0.000769287	 0.0158722 0.000227003	 0.00830531 0.000151994	 0.00298121 5.32743e-05	 0.00148322 2.65168e-05	 
67.5	11.8814	21.5	0.0154852 0.000660391	 0.0630212 0.000766066	 0.0127118 0.000187236	 0.0072022 0.000141808	 0.00244919 4.45299e-05	 0.00129045 2.40533e-05	 
72.5	7.9162	15.5	0.0180927 0.000799441	 0.0538795 0.000725258	 0.00966499 0.000157417	 0.00562948 0.000120986	 0.0017865 3.41933e-05	 0.00112354 1.91301e-05	 
77.5	5.06431	11	0.0153726 0.000572537	 0.0458027 0.000697049	 0.00635452 0.000115779	 0.00407571 0.000101245	 0.00104412 2.33257e-05	 0.00097333 1.79962e-05	 
82.5	3.07667	7.5	0.0103287 0.000378886	 0.0327021 0.000597581	 0.00356506 7.90097e-05	 0.00185665 5.1229e-05	 0.000517804 1.37729e-05	 0.00070012 1.36486e-05	 
87.5	1.74678	5	0.0042436 0.000201601	 0.0203145 0.000431914	 0.00126796 3.79274e-05	 0.000549188 2.11686e-05	 0.000229084 5.21398e-06	 0.000276551 9.21617e-06	 
92.5	0.828441	3	0.000518127 1.27269e-05	 0.0108182 0.000332356	 0.000314444 1.24249e-05	 0.000173672 5.01216e-06	 7.47157e-05 2.78097e-06	 6.10708e-05 2.7978e-06	 
97.5	0.233097	2	0.00160871 5.84087e-05	 0.00215281 0.000138866	 0.000117329 7.51196e-06	 4.61518e-05 3.35878e-06	 2.06579e-05 1.60192e-06	 1.19921e-05 7.35429e-07	 
