Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	323.48	381.5	0.675896 0.0548445	0.457482 0.211011	0.599826 0.0994472	
1.5	304.447	365.5	0.578599 0.0963707	0.617527 0.076586	0.415259 0.307983	
2.5	290.396	354.5	0.499464 0.165508	-0.284987 0.968306	0.307062 0.742362	
3.5	278.585	343.5	0.490015 0.181457	-0.435781 0.313257	-0.633785 0.148686	
4.5	266.953	333	0.650773 0.0652294	0.6042 0.0798358	0.52367 0.127745	
5.5	256.063	322.5	0.593696 0.0991291	-0.441391 0.282746	0.579114 0.114559	
6.5	245.624	312	0.67812 0.0673629	0.498658 0.154596	0.696985 0.048233	
7.5	236.461	302	0.597438 0.107145	0.325389 0.627181	0.56762 0.123125	
8.5	227.468	292.5	0.759341 0.0332664	-0.640217 0.148718	0.308173 0.831725	
9.5	218.627	283	0.77165 0.0317476	0.502826 0.163308	-0.449027 0.283751	
10.5	209.987	273.5	0.784818 0.0278193	0.436694 0.265932	0.712219 0.0493487	
11.5	202.072	265	0.802207 0.0301917	0.640831 0.0794057	0.508637 0.186577	
12.5	194.26	256.5	0.816869 0.0244087	0.491692 0.206863	0.369664 0.381146	
13.5	186.825	248	0.787516 0.0266124	0.528467 0.131283	-0.743482 0.0968535	
14.5	179.503	240	0.81949 0.0213532	0.558991 0.137804	0.528415 0.135001	
15.5	172.767	232	0.741175 0.0367944	0.43763 0.25476	0.59444 0.0916479	
16.5	166.364	224	0.820628 0.0228988	0.38518 0.369198	0.579529 0.104184	
17.5	160.156	216.5	0.866354 0.0136227	-0.577458 0.187315	-0.4784 0.194585	
18.5	154.023	209.5	0.812003 0.0238055	0.612583 0.0813601	-0.505736 0.181097	
19.5	148.064	202.5	0.823665 0.0188834	0.529678 0.133967	0.39601 0.378513	
20.5	142.43	195.5	0.828576 0.0180572	0.469239 0.225644	-0.581831 0.157433	
21.5	136.56	188.5	0.855727 0.0149643	-0.36259 0.423553	0.496542 0.158207	
22.5	131.404	182	0.858155 0.0148158	0.573446 0.0990149	0.396722 0.344339	
23.5	126.202	176	0.82318 0.0190169	-0.594175 0.246935	-0.573543 0.150928	
24.5	121.475	170	0.835929 0.0206385	0.572543 0.10683	-0.52145 0.251773	
25.5	116.666	164	0.815291 0.030352	0.664846 0.0496231	-0.596435 0.112389	
26.5	111.902	158	0.790344 0.0266809	0.62163 0.094227	-0.45857 0.365008	
27.5	107.255	152	0.847338 0.0173168	0.609481 0.0835895	0.616727 0.0841101	
28.5	103.123	146.5	0.837317 0.0194567	-0.428487 0.325006	-0.559782 0.21554	
29.5	98.9382	141.5	0.820656 0.0218129	-0.710588 0.126225	0.555129 0.11776	
30.5	94.5964	136	0.843127 0.018858	0.518729 0.192261	-0.614004 0.120645	
31.5	90.6952	130.5	0.8358 0.0185275	0.498809 0.153963	-0.593778 0.149723	
32.5	86.9725	126	0.831064 0.0218116	0.608585 0.0981405	-0.596819 0.339819	
33.5	83.1223	121.5	0.789355 0.032754	-0.276801 1.15938	-0.709386 0.404632	
34.5	79.6369	116.5	0.830717 0.0192029	0.564152 0.0972532	-0.504801 0.32879	
35.5	76.0275	112	0.808926 0.022141	0.593902 0.097065	-0.63071 0.141879	
36.5	72.9307	107.5	0.801553 0.025687	0.674715 0.0545411	-0.43158 0.275242	
37.5	69.3972	103	0.803538 0.0214624	0.26509 1.28702	-0.76001 0.0707998	
38.5	66.2531	99	0.813388 0.0209466	0.626576 0.0845741	-0.593331 0.202998	
39.5	63.3317	95	0.788128 0.0264358	-0.420874 0.359403	-0.793603 0.097672	
40.5	60.3051	91	0.79605 0.0250502	0.551368 0.124255	0.447278 0.235499	
41.5	57.6947	87	0.798548 0.0279255	0.631395 0.0873132	-0.896862 0.0937464	
42.5	54.7753	83	0.807721 0.0264209	0.586018 0.0900345	-0.790143 0.129386	
43.5	52.0679	79.5	0.802865 0.0235676	0.507361 0.195549	-0.649755 0.104304	
44.5	49.5962	76	0.778861 0.0301974	-0.58592 0.149541	-0.830859 0.0733757	
45.5	47.1312	72.5	0.771631 0.0331317	0.513297 0.140629	-0.845903 0.0547823	
46.5	44.7348	69.5	0.778554 0.028709	0.543993 0.146552	-0.755352 0.087424	
47.5	42.4334	66.5	0.801992 0.0245389	0.619534 0.0868719	-0.961398 0.271577	
48.5	40.1969	63.5	0.741779 0.0349846	0.396313 0.361922	-0.860088 0.148429	
49.5	38.1346	60.5	0.747614 0.034263	0.544424 0.127748	-0.790802 0.0697835	
50.5	36.0442	57.5	0.717282 0.0437798	-0.790943 0.080098	-0.898132 0.0756749	
51.5	34.1748	54.5	0.721054 0.048351	-0.371445 0.461314	-0.952241 0.0877659	
52.5	32.0715	51.5	0.774385 0.0273542	-0.494985 0.196528	-0.932246 0.0808188	
53.5	30.203	49	0.714882 0.0453978	-0.495271 0.305477	-1.09566 0.0652884	
54.5	28.611	46.5	0.718338 0.0388896	-0.50063 0.320434	-0.988017 0.082506	
55.5	26.8468	44	0.738401 0.0399304	0.605499 0.0826537	-0.954119 0.0658033	
56.5	25.2786	42	0.660028 0.066635	0.487263 0.18616	-0.957384 0.0941982	
57.5	23.6746	39.5	0.678141 0.0551592	-0.429766 0.404729	-1.03568 0.107993	
58.5	22.3576	37	0.769221 0.0312185	-0.496719 0.196564	-0.898595 0.0716681	
59.5	20.9598	35	0.749174 0.0340337	-0.667833 0.104342	-0.903232 0.0553152	
60.5	19.5605	33	0.733782 0.0408703	-0.670865 0.12953	-0.976119 0.105799	
61.5	18.3077	31.5	0.758037 0.0369229	-0.544025 0.192988	-0.98001 0.0662996	
62.5	17.1105	30	0.62981 0.0683464	-0.444213 0.243499	-0.927925 0.0737432	
63.5	15.9749	28	0.710625 0.0475282	-0.787855 0.0704469	-0.96362 0.131612	
64.5	14.8253	26	0.665579 0.0595117	-0.597312 0.104204	-1.00355 0.049429	
65.5	13.7483	24.5	0.671288 0.0609561	-0.48042 0.225663	-0.924666 0.0622516	
66.5	12.8128	23	0.639227 0.0665942	-0.568525 0.158062	-0.998992 0.0524177	
67.5	11.8537	21.5	0.679429 0.0497528	-0.757425 0.202884	-1.07578 0.0546743	
68.5	10.9802	20	0.639475 0.0600445	-0.722363 0.0720976	-1.05381 0.102124	
69.5	10.0996	18.5	0.486095 0.181211	-0.770205 0.0829265	-1.13668 0.0620591	
70.5	9.33371	17.5	0.573862 0.0970039	-0.770442 0.0746015	-1.08838 0.0475523	
71.5	8.55556	16.5	-0.572469 0.130142	-0.782056 0.063171	-1.11795 0.0569653	
72.5	7.88631	15.5	-0.544372 0.150594	-0.843846 0.0659484	-1.0632 0.0452557	
73.5	7.25294	14.5	0.318168 0.761993	-0.803513 0.0604022	-1.17676 0.0519132	
74.5	6.59674	13.5	-0.460624 0.233849	-0.806585 0.121819	-1.17574 0.0479247	
75.5	6.04955	12.5	-0.647195 0.0958353	-0.901706 0.0575837	-1.17396 0.0549495	
76.5	5.50572	11.5	-0.561207 0.125988	-0.847493 0.0600643	-1.17668 0.05559	
77.5	4.99813	10.5	-0.773719 0.0716577	-0.830065 0.0630285	-1.17504 0.0496873	
78.5	4.54881	9.5	-0.748032 0.0759394	-0.860012 0.0598006	-1.13979 0.0708834	
79.5	4.14137	9	-0.89781 0.0535945	-1.04714 0.0448779	-1.15447 0.0527334	
80.5	3.74621	8.5	-0.881765 0.0522066	-1.00332 0.0442207	-1.21728 0.0591384	
81.5	3.36984	7.5	-0.915013 0.0477353	-1.09449 0.0446375	-1.24041 0.0497478	
82.5	3.06169	7	-0.962742 0.052457	-1.11164 0.0447241	-1.17159 0.0473913	
83.5	2.74429	6.5	-1.05683 0.0437637	-1.18675 0.0541008	-1.30325 0.0771408	
84.5	2.46243	6	-1.07335 0.0462386	-1.17144 0.0537795	-1.32171 0.0552498	
85.5	2.18802	5.5	-1.12997 0.043071	-1.27156 0.0489986	-1.48486 0.113281	
86.5	1.95471	5	-1.13007 0.0455267	-1.37045 0.0557413	-1.46797 0.0815057	
87.5	1.72454	4.5	-1.12393 0.0519801	-1.31166 0.047838	-0.968228 0.0608113	
88.5	1.52072	4	-1.12248 0.0440686	-1.30015 0.0615667	-0.895989 0.0767014	
89.5	1.33178	4	-1.13274 0.0453871	-1.40998 0.1293	-0.905005 0.0539577	
90.5	1.14705	3.5	-1.20613 0.0469656	-1.37096 0.0615931	-1.01064 0.0503376	
91.5	0.979013	3	-1.27631 0.0509678	-1.29242 0.0540536	-1.22305 0.0538008	
92.5	0.823228	2.5	-1.26514 0.0504653	-1.45172 0.0792944	-1.3312 0.0551979	
93.5	0.685371	2	-1.52654 0.0637081	-1.93925 0.306141	-1.77433 0.0808029	
94.5	0.533742	2	-1.50238 0.0622948	-1.57846 0.061808	-1.99309 0.0916027	
95.5	0.397467	2	-1.58125 0.0674445	-1.71321 0.0759879	-1.83135 0.0933309	
96.5	0.279649	2	-1.65729 0.072075	-1.6572 0.0727461	-1.88088 0.130541	
97.5	0.167943	2	-2.3357 0.150484	-1.9005 0.17377	-1.95793 0.207496	
98.5	0.0607819	2	-2.7726 0.319347	-0.867633 0.0626107	-0.755649 0.0923548	
99.5	0.00156271	0	0.871281 0.0584456	0.64894 0.173976	0.934016 0.0433049	
