Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
33.5	83.1223	121.5	0.00743695 0.000465205	 0.0713472 0.00160716	 0.0213648 0.00061758	 0.0102673 0.000331797	 0.00433057 0.000138819	 0.00193831 6.6753e-05	 
34.5	79.6369	116.5	0.00801974 0.000388032	 0.0689681 0.00142764	 0.0206676 0.000560611	 0.0101434 0.000299713	 0.00420249 0.000123884	 0.00202269 6.43602e-05	 
35.5	76.0275	112	0.00752839 0.000383854	 0.0716767 0.00155034	 0.0214195 0.000573636	 0.010104 0.000311437	 0.00446648 0.00014013	 0.00201764 6.33568e-05	 
36.5	72.9307	107.5	0.00949779 0.000776812	 0.0730148 0.0016059	 0.0222201 0.000567946	 0.0107213 0.000313322	 0.00464017 0.000164521	 0.00200849 6.89917e-05	 
37.5	69.3972	103	0.00721507 0.000364867	 0.0715946 0.0015013	 0.0214712 0.00058855	 0.0098961 0.000314205	 0.00411255 0.000129849	 0.00195703 6.7453e-05	 
38.5	66.2531	99	0.00843292 0.000440936	 0.074639 0.00161671	 0.0209194 0.000556186	 0.0102417 0.000314082	 0.00419552 0.000137939	 0.00204376 6.33559e-05	 
39.5	63.3317	95	0.00818736 0.000526123	 0.071608 0.00163772	 0.0212417 0.00063003	 0.0101791 0.000351703	 0.00409189 0.000155202	 0.00207521 7.67636e-05	 
40.5	60.3051	91	0.00854358 0.000549062	 0.0735355 0.00163792	 0.0209012 0.000573703	 0.00995028 0.000280919	 0.00439022 0.000142869	 0.00202717 6.39838e-05	 
41.5	57.6947	87	0.00941526 0.000631792	 0.0750262 0.00168385	 0.0204963 0.000548028	 0.0102918 0.000385858	 0.00413651 0.000129173	 0.00203713 8.58458e-05	 
42.5	54.7753	83	0.00824932 0.000499272	 0.0722016 0.00155269	 0.0207232 0.00055243	 0.00992383 0.000332618	 0.00423218 0.000165252	 0.00199107 7.19887e-05	 
43.5	52.0679	79.5	0.00867191 0.000462466	 0.0741352 0.00167408	 0.0217937 0.000622497	 0.0104905 0.000336708	 0.00450788 0.000167402	 0.00210009 8.61668e-05	 
44.5	49.5962	76	0.0100689 0.000709736	 0.0726193 0.0017056	 0.0219768 0.000686906	 0.0101323 0.000364406	 0.00420555 0.000142253	 0.00185038 6.84338e-05	 
45.5	47.1312	72.5	0.0104307 0.000708306	 0.0774254 0.00172141	 0.0209954 0.000560744	 0.0104599 0.000356388	 0.00437492 0.000138562	 0.00203614 6.62963e-05	 
46.5	44.7348	69.5	0.0109428 0.000795454	 0.074189 0.00172215	 0.0218745 0.000610217	 0.00979952 0.000329757	 0.00437841 0.000152747	 0.00185343 7.36534e-05	 
47.5	42.4334	66.5	0.00981036 0.000674036	 0.076737 0.00176016	 0.0206644 0.000571886	 0.0101262 0.000415426	 0.00422917 0.000159856	 0.00189 0.000101243	 
48.5	40.1969	63.5	0.00935325 0.000573231	 0.0761143 0.00185178	 0.0210739 0.000606905	 0.0102427 0.000372249	 0.00422716 0.000134041	 0.00191966 7.61196e-05	 
49.5	38.1346	60.5	0.0107193 0.000803434	 0.0756701 0.00176913	 0.0207397 0.000558745	 0.0104749 0.000348757	 0.00420689 0.000166972	 0.00189779 6.46208e-05	 
50.5	36.0442	57.5	0.00994736 0.000568392	 0.0745347 0.00187195	 0.0202794 0.000701634	 0.00944332 0.00035615	 0.00387963 0.000134143	 0.0017633 5.64465e-05	 
51.5	34.1748	54.5	0.0110445 0.000607177	 0.0714472 0.0016892	 0.0198436 0.000554708	 0.00907115 0.000339794	 0.003808 0.000124961	 0.00174265 6.3883e-05	 
52.5	32.0715	51.5	0.0104917 0.000838152	 0.0741618 0.00174675	 0.0210587 0.000638629	 0.00960666 0.000375664	 0.00393584 0.000137532	 0.00176991 6.92589e-05	 
53.5	30.203	49	0.0111389 0.000670675	 0.0747941 0.00187661	 0.0192648 0.000579638	 0.0096575 0.000442101	 0.00379297 0.000143121	 0.00184601 7.82388e-05	 
54.5	28.611	46.5	0.0134288 0.00117058	 0.0742686 0.00178245	 0.0191169 0.000552683	 0.00943271 0.000370384	 0.00397037 0.000156041	 0.00179885 8.33651e-05	 
55.5	26.8468	44	0.0127549 0.00088838	 0.0730092 0.00178635	 0.0187382 0.000508948	 0.00938737 0.000371405	 0.00387487 0.000132437	 0.00172012 7.50724e-05	 
56.5	25.2786	42	0.0113794 0.000727428	 0.0707431 0.00184329	 0.0175442 0.000493563	 0.00863315 0.000339964	 0.00356557 0.000132081	 0.00156071 5.65907e-05	 
57.5	23.6746	39.5	0.0121643 0.000854086	 0.0754132 0.00194503	 0.0188959 0.000558386	 0.00997036 0.000426236	 0.00371203 0.000139089	 0.00173531 8.64587e-05	 
58.5	22.3576	37	0.0113665 0.000780929	 0.0739636 0.00182619	 0.0173964 0.000549216	 0.00972142 0.000383541	 0.00351955 0.000117798	 0.00171777 7.56445e-05	 
59.5	20.9598	35	0.0117009 0.00062026	 0.0694944 0.00164256	 0.0178839 0.000559818	 0.00880813 0.000325191	 0.00338227 0.000124869	 0.00156811 5.6486e-05	 
60.5	19.5605	33	0.0135671 0.000808035	 0.0679878 0.00171357	 0.0166786 0.00054777	 0.00891767 0.000369769	 0.00311332 0.000125309	 0.0015162 6.19803e-05	 
61.5	18.3077	31.5	0.0132828 0.00106891	 0.0714225 0.00171789	 0.01685 0.000516848	 0.00885247 0.000361625	 0.00308409 0.00012654	 0.0016338 6.70893e-05	 
62.5	17.1105	30	0.0140476 0.00112132	 0.0656251 0.00174945	 0.016125 0.000477734	 0.00805938 0.00030949	 0.00299201 0.000109092	 0.00145799 5.28238e-05	 
63.5	15.9749	28	0.0155275 0.00154698	 0.0672157 0.00172018	 0.0152275 0.000532026	 0.00749267 0.000304274	 0.00291435 0.000128053	 0.00132974 4.71513e-05	 
64.5	14.8253	26	0.014248 0.00108897	 0.0648141 0.00169057	 0.0143852 0.000445166	 0.00813647 0.000336643	 0.00279807 0.000106384	 0.00146171 6.11362e-05	 
65.5	13.7483	24.5	0.0150795 0.00167103	 0.0634349 0.00171261	 0.0139172 0.000432281	 0.00709963 0.000283015	 0.00257855 9.83495e-05	 0.00120373 4.46725e-05	 
66.5	12.8128	23	0.0163345 0.00142262	 0.0647108 0.00179573	 0.0128168 0.000409789	 0.00768719 0.000330964	 0.00265754 9.49209e-05	 0.00132722 5.25478e-05	 
67.5	11.8537	21.5	0.0146286 0.00114243	 0.0620788 0.00160991	 0.0124576 0.000420798	 0.00720405 0.000323102	 0.00235292 8.64985e-05	 0.00136114 6.00024e-05	 
68.5	10.9802	20	0.0145943 0.00168959	 0.0637923 0.00165714	 0.0126909 0.000407805	 0.0069704 0.000297645	 0.00235562 0.000103574	 0.00125472 5.3383e-05	 
69.5	10.0996	18.5	0.0168586 0.00155787	 0.0609603 0.00181154	 0.0115614 0.000411542	 0.00705877 0.000354066	 0.0022981 0.00011611	 0.00129963 5.49173e-05	 
70.5	9.33371	17.5	0.0183548 0.0017082	 0.0580976 0.00164381	 0.0110389 0.000385074	 0.00637098 0.000296845	 0.00201857 7.72246e-05	 0.00123172 4.81721e-05	 
71.5	8.55556	16.5	0.01829 0.00206333	 0.0545958 0.00166619	 0.0103445 0.000351841	 0.00579683 0.000269892	 0.00197105 8.25943e-05	 0.00111231 3.93235e-05	 
72.5	7.88631	15.5	0.017 0.00183762	 0.054962 0.00170312	 0.00994463 0.000363123	 0.00574256 0.000257966	 0.00183246 7.95083e-05	 0.00110707 4.31451e-05	 
73.5	7.25294	14.5	0.0187743 0.00194813	 0.0502945 0.00151866	 0.00862595 0.000311874	 0.00503629 0.000262154	 0.00160112 7.21582e-05	 0.00107874 4.17656e-05	 
