Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
37.5	69.3972	103	0.153416 0.000187087	0.126866 0.00448587	0.0999141 0.0160784	0.0667468 3.01108e-05	0.0701868 9.8982e-05	-0.0263331 0.000527987	
38.5	66.2531	99	0.156998 2.0429e-05	0.127065 0.00324923	0.108109 0.0127431	0.0652325 0.000148053	0.0719445 0.00109707	-0.0556103 0.00730594	
39.5	63.3317	95	0.151059 0.00014577	0.118436 0.000892726	0.121387 0.00619665	0.063298 0.000241905	0.0676714 3.05249e-05	-0.0312716 0.00250961	
40.5	60.3051	91	0.150774 0.000135721	0.120111 0.00288387	0.107461 0.0107797	0.0581592 0.000333277	0.0709005 0.000862834	-0.0916969 0.00808998	
41.5	57.6947	87	0.148207 3.60426e-05	0.120227 0.000970928	0.0928727 0.0052118	0.0559491 2.1024e-06	0.0611911 0.000225027	-0.0342093 0.00219576	
42.5	54.7753	83	0.146527 4.85207e-05	0.121711 0.000784223	0.0873207 0.00455965	0.0566799 0.000231014	0.0565076 0.000280213	0.00120307 0.000594447	
43.5	52.0679	79.5	0.143717 2.25745e-05	0.116579 6.10167e-05	0.0876135 0.000380677	0.0575455 1.5653e-05	0.0647898 5.17285e-05	-0.0444976 0.000217467	
44.5	49.5962	76	0.140938 0.000259051	0.113504 0.0026365	0.090317 0.00941008	0.0556719 0.00013802	0.0600678 0.0029143	-0.0259582 0.0114471	
45.5	47.1312	72.5	0.145501 0.000130124	0.112616 0.00201685	0.0974228 0.00708247	0.0562058 0.000319351	0.0622798 0.00106231	-0.0393706 0.00533129	
46.5	44.7348	69.5	0.138414 0.0002128	0.108257 0.00328051	0.0918341 0.0106234	0.0537105 2.81735e-05	0.0628305 0.000146131	-0.0527467 0.000896672	
47.5	42.4334	66.5	0.141184 0.000228106	0.109486 0.00716178	0.0936187 0.0182665	0.0518167 0.000147481	0.0537419 0.00011088	-0.0127052 0.00116173	
48.5	40.1969	63.5	0.1416 0.000199348	0.10438 0.00138765	0.107854 0.00523278	0.0514027 0.000122497	0.0493445 0.00267919	0.0131715 0.0106275	
49.5	38.1346	60.5	0.131893 0.000125399	0.0974656 0.00369457	0.0945499 0.0104891	0.0437299 6.25283e-05	0.04745 8.42188e-05	-0.020428 0.000250421	
50.5	36.0442	57.5	0.13017 1.23035e-05	0.103733 6.74379e-06	0.0733969 0.00043197	0.040683 0.000133683	0.0432592 0.000727247	-0.0128211 0.00327484	
51.5	34.1748	54.5	0.128048 4.63189e-05	0.0850958 0.00167376	0.125456 0.00611012	0.0426181 2.2279e-05	0.0550637 0.000130063	-0.0620056 0.000693387	
52.5	32.0715	51.5	0.128384 2.71543e-05	0.104632 0.00720842	0.0650088 0.0158816	0.0425169 6.38723e-06	0.0523602 3.14454e-05	-0.0450108 0.000110815	
53.5	30.203	49	0.125496 2.28329e-05	0.085904 6.02444e-06	0.104927 0.000586903	0.0376792 3.4124e-06	0.0492217 1.10651e-05	-0.0519589 3.54805e-05	
54.5	28.611	46.5	0.122983 8.73337e-05	0.0852399 0.000452638	0.0969669 0.00128132	0.0322833 0.000244826	0.0473386 0.000779481	-0.0704481 0.00260584	
55.5	26.8468	44	0.119908 0.000148511	0.0899984 0.000247804	0.0791914 0.00123951	0.0361232 0.000139979	0.0479035 0.000322407	-0.0597536 0.000769994	
56.5	25.2786	42	0.111187 0.000349228	0.0656749 0.00441224	0.118507 0.00994304	0.0293265 1.87443e-05	0.0424237 0.000337372	-0.0571916 0.00178639	
57.5	23.6746	39.5	0.118052 0.000104454	0.0945479 0.00295847	0.0564325 0.00771549	0.0321667 3.09266e-05	0.0465877 0.000165159	-0.0616755 0.000581757	
58.5	22.3576	37	0.115451 0.000128058	0.0905795 0.0101705	0.060558 0.0186844	0.0278962 3.76244e-05	0.037572 0.000148282	-0.0406392 0.000460308	
59.5	20.9598	35	0.103835 9.10224e-05	0.0822839 0.0013733	0.051903 0.0046817	0.027536 3.48641e-05	0.0320913 0.000163829	-0.0187886 0.000533318	
60.5	19.5605	33	0.100457 0.000218433	0.103227 0.00910045	-0.00675442 0.0164188	0.0250845 3.90363e-06	0.0362831 3.80082e-05	-0.0442653 0.000204232	
61.5	18.3077	31.5	0.10352 1.55618e-05	0.0940084 0.00020601	0.0222986 0.00145834	0.0270725 1.86387e-05	0.034719 4.6062e-05	-0.0296669 9.56091e-05	
62.5	17.1105	30	0.0901413 0.000192626	0.0722547 0.00990788	0.0424836 0.01623	0.0203453 2.06743e-05	0.0305418 7.21085e-06	-0.0396671 0.000125844	
63.5	15.9749	28	0.0913361 1.15835e-05	0.0907669 0.00503811	0.00127321 0.00952578	0.0182419 1.12091e-05	0.025187 5.85447e-05	-0.0267633 0.000195521	
64.5	14.8253	26	0.0863722 0.000155428	0.0952174 0.00105415	-0.0199713 0.00206781	0.0168885 5.87243e-05	0.0269371 0.00118803	-0.036397 0.00277693	
65.5	13.7483	24.5	0.086403 0.000273066	0.0904574 0.00176363	-0.00879804 0.00483631	0.0173394 3.03952e-05	0.0288364 4.26876e-05	-0.048213 1.54785e-05	
66.5	12.8128	23	0.0789913 0.000186236	0.0787802 0.00120875	0.000441438 0.0026473	0.0126299 0.000100765	0.0251453 0.000853263	-0.0444481 0.00272314	
67.5	11.8537	21.5	0.0776063 2.03009e-05	0.0841878 0.00408522	-0.0146172 0.00769441	0.0149864 2.32286e-06	0.0207538 8.87299e-06	-0.0219307 4.8984e-05	
68.5	10.9802	20	0.078829 4.83751e-05	0.107508 0.000232727	-0.0584965 0.000304581	0.0155588 6.0345e-05	0.0232667 0.000188897	-0.0293923 0.000481469	
69.5	10.0996	18.5	0.0737041 0.000564208	0.0970334 0.00523743	-0.0499983 0.010584	0.0131298 8.09841e-06	0.0223986 1.11166e-05	-0.0335271 2.17583e-05	
70.5	9.33371	17.5	0.064212 0.000161714	0.100656 0.000761764	-0.0747648 0.00105886	0.0111471 9.41031e-06	0.0223 8.69522e-05	-0.0381215 0.000272518	
71.5	8.55556	16.5	0.0502613 8.9763e-05	0.083237 0.000211076	-0.0629727 3.64698e-05	0.0101329 0.000103161	0.0196556 0.000219868	-0.0302056 0.000356831	
