Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	292.795	360	0.196469 1.27839e-05	0.195544 3.60812e-05	0.0307692 0.00034935	0.119905 1.70445e-05	0.122151 7.62081e-05	-0.0842674 0.00531733	
7.5	236.522	303	0.184632 2.24049e-05	0.17828 0.000196293	0.111202 0.00467026	0.110598 1.09227e-05	0.111354 2.89921e-05	-0.0188868 0.000521896	
12.5	194.764	257	0.178333 4.89628e-06	0.169098 0.000157311	0.10208 0.00290883	0.105669 5.40746e-06	0.106729 1.80692e-06	-0.0222216 0.000662929	
17.5	160.4	217.5	0.175989 5.63584e-07	0.162389 0.000194887	0.110989 0.00242345	0.0956588 1.08272e-05	0.0972965 3.11204e-05	-0.0271059 0.000331392	
22.5	131.642	183	0.169962 2.59501e-05	0.156426 0.00020031	0.0859932 0.00174751	0.0890234 2.23283e-05	0.090734 6.68439e-05	-0.0231778 0.000635576	
27.5	107.453	153	0.165583 1.15663e-05	0.141777 6.36132e-05	0.122345 0.000619388	0.0803151 5.40263e-05	0.0850201 7.74604e-05	-0.0547509 0.00186281	
32.5	86.8103	126.5	0.158326 3.17308e-05	0.136316 0.000767557	0.0953678 0.0032157	0.0744425 6.95626e-06	0.0764017 2.3331e-05	-0.0182426 0.000158044	
37.5	69.6422	103.5	0.155533 2.54202e-05	0.128117 0.00018708	0.102857 0.00123641	0.0672782 4.52515e-05	0.0722813 2.65835e-05	-0.0396584 0.000750966	
42.5	54.9558	83.5	0.145996 9.50412e-06	0.119038 0.000133354	0.0907746 0.000778246	0.0567634 4.60967e-05	0.0626183 6.01518e-05	-0.0380097 5.63371e-05	
47.5	42.565	66.5	0.139557 2.33252e-05	0.107215 0.000409851	0.0941727 0.00145225	0.0511139 5.70465e-05	0.0555194 0.000182456	-0.0267867 0.000879497	
52.5	32.1995	52	0.126879 6.70596e-06	0.0934246 0.00133669	0.0910307 0.00294313	0.0389064 1.20182e-06	0.0496242 5.55541e-06	-0.0506494 1.96534e-05	
57.5	23.8297	39.5	0.113482 7.06059e-05	0.0858648 0.000830431	0.0688192 0.00186826	0.030448 2.69707e-06	0.0414756 6.70027e-05	-0.0481343 0.000350502	
62.5	17.1335	29.5	0.0942684 5.66383e-06	0.0922967 0.00107246	0.00458536 0.00201806	0.0214436 2.95779e-06	0.0307625 1.74183e-05	-0.0357168 5.95913e-05	
67.5	11.8814	21.5	0.0790621 1.11704e-05	0.0919683 6.45339e-05	-0.0274527 9.25226e-05	0.0147043 1.3418e-05	0.0241227 4.13613e-05	-0.0355748 0.00010534	
72.5	7.9162	15.5	0.0544306 2.49947e-05	0.0890233 0.000199863	-0.0682214 0.000416856	0.00901409 7.16061e-06	0.0176193 5.30943e-05	-0.0280596 0.000134953	
77.5	5.06431	11	0.0444586 4.79021e-12	0.102912 3.6013e-11	-0.112198 6.03556e-11	0.00477926 1.15715e-13	0.0132178 4.67908e-13	-0.0266645 1.11199e-12	
82.5	3.07667	7.5	0.0314853 4.57561e-05	0.0912426 0.000393737	-0.111655 0.000549754	0.00244906 4.40802e-06	0.00766051 1.62972e-05	-0.0147919 3.42624e-05	
87.5	1.74678	5	0.0216635 1.53233e-05	0.0752667 4.3443e-05	-0.101129 6.44384e-05	0.000778299 1.10105e-07	0.00273625 3.40727e-07	-0.00551742 6.95908e-07	
92.5	0.828441	3	0.0150209 5.71519e-05	0.0565986 0.000268004	-0.078754 0.000413784	-4.34934e-05 2.46281e-07	-4.04349e-05 6.17632e-08	-8.3359e-06 7.92681e-07	
97.5	0.233097	2	0.00286437 8.11857e-11	0.0143246 6.37112e-10	-0.0207766 9.56572e-10	-0.00020758 3.95475e-11	-0.000743417 1.67252e-10	0.00127146 3.03035e-10	
