Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	264.603	335	-5.71966e-10 8.77343e-11	-2.96381e-08 3.17683e-08	-2.73715e-09 2.58016e-09	5.42288e-12 1.48634e-10	-3.84325e-12 5.22048e-12	-9.31998e-13 5.68739e-13	
15	177.162	238.5	-1.62743e-09 3.7209e-10	2.38697e-06 1.34166e-07	5.49322e-09 3.84773e-09	-5.38381e-11 2.32741e-10	-2.01482e-11 8.04855e-12	-1.46168e-12 3.54462e-13	
25	120.115	169	-5.78838e-09 9.77011e-10	6.89817e-06 3.17869e-07	3.15629e-09 6.39714e-09	-2.57069e-10 3.11972e-10	-1.67368e-11 1.0922e-11	-3.44007e-12 8.02739e-13	
35	78.0326	116	-1.49068e-08 3.67232e-09	1.06137e-05 5.32901e-07	1.65191e-08 6.29312e-09	-1.90891e-09 5.249e-10	-8.76905e-11 1.99224e-11	-5.52916e-12 1.05162e-12	
45	48.7026	76	-4.10558e-08 6.77423e-09	1.16241e-05 7.03735e-07	1.27796e-08 6.10729e-09	-4.69579e-09 8.99376e-10	-1.59807e-10 3.3139e-11	-1.16352e-11 2.98086e-12	
55	28.0942	46.5	-8.86491e-08 1.64675e-08	7.8281e-06 6.88682e-07	-1.41234e-08 5.13629e-09	-7.05402e-09 8.70599e-10	-1.12306e-10 1.48006e-11	-9.25104e-12 1.77079e-12	
65	14.5376	26	-4.00054e-07 8.19659e-08	3.6497e-06 4.5886e-07	-1.30544e-08 2.50796e-09	-4.00529e-09 4.53872e-10	-5.37335e-11 7.50348e-12	-3.55752e-12 5.98768e-13	
75	6.49672	13.5	-7.39995e-07 1.46175e-07	-1.20019e-06 1.98301e-07	-4.4267e-09 4.27787e-10	-1.29166e-09 1.14618e-10	-8.9412e-12 1.08879e-12	-1.00461e-12 1.16123e-13	
85	2.40319	6.5	-4.55256e-08 7.95663e-09	-9.34572e-07 5.45086e-08	-2.22339e-10 2.02628e-11	-2.61611e-11 3.55384e-12	-1.40628e-13 3.74637e-14	-2.54237e-13 2.14295e-14	
95	0.562217	3	-1.79971e-11 4.22885e-12	-3.984e-08 4.24939e-09	-4.79264e-14 8.87568e-15	-2.33673e-15 1.98102e-16	-1.34759e-16 1.74823e-17	-9.0875e-17 2.01454e-17	
