Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	684.672	241	0.010475 0.000184442	 0.0399305 0.000449834	 0.0274141 0.000321053	 0.0153096 0.000175679	 0.0075781 8.7684e-05	 0.00401817 4.92958e-05	 
7.5	559.178	209	0.011754 0.000208661	 0.0491286 0.000543833	 0.0305163 0.000357254	 0.0172283 0.000187192	 0.00801147 8.99681e-05	 0.00421624 5.02964e-05	 
12.5	460.735	180	0.0131344 0.000221976	 0.0586326 0.000581812	 0.033076 0.000366038	 0.0175293 0.000193131	 0.008482 9.8025e-05	 0.00448494 5.61785e-05	 
17.5	380.162	153.5	0.0150424 0.000253946	 0.0675468 0.000646449	 0.0353979 0.000392587	 0.0180241 0.000192041	 0.0088191 0.000103339	 0.00475768 5.58431e-05	 
22.5	310.118	130	0.0158148 0.000283197	 0.0764141 0.000720354	 0.0360221 0.00038635	 0.0182154 0.000194919	 0.00872471 0.000100057	 0.00477329 5.61105e-05	 
27.5	252.096	109.5	0.0175409 0.000313943	 0.0806619 0.000770202	 0.0362157 0.000396045	 0.0184509 0.000207669	 0.00899112 0.000103458	 0.00490551 6.17211e-05	 
32.5	202.236	91.5	0.0189181 0.000329388	 0.0849011 0.000782476	 0.0366677 0.000406685	 0.0180699 0.000193275	 0.00891381 0.000103007	 0.00473901 5.64547e-05	 
37.5	160.55	75.5	0.0199279 0.000373401	 0.0888868 0.00082851	 0.0351877 0.000394354	 0.0179747 0.000211234	 0.00885451 0.000108629	 0.00467242 5.80343e-05	 
42.5	125.364	61.5	0.0204031 0.000392154	 0.0902484 0.000847391	 0.0348483 0.000373222	 0.0173044 0.000211779	 0.00851871 0.000108551	 0.00451842 6.42703e-05	 
47.5	97.4948	49	0.021063 0.000378656	 0.0907167 0.000893903	 0.0331236 0.000369004	 0.0171004 0.000218921	 0.00806123 9.59979e-05	 0.00428915 5.92259e-05	 
52.5	73.5414	38.5	0.0213078 0.000395234	 0.0925347 0.000889659	 0.029391 0.000338089	 0.0175394 0.000242989	 0.00747455 9.04972e-05	 0.00414611 6.29129e-05	 
57.5	54.9919	30	0.0210547 0.000362577	 0.0895614 0.000881855	 0.0262494 0.000324315	 0.01626 0.00023461	 0.00663422 8.19313e-05	 0.00375807 6.30988e-05	 
62.5	40.4877	23	0.01998 0.000363296	 0.0865597 0.000859433	 0.0223871 0.000282985	 0.0152997 0.000224429	 0.0057741 7.80236e-05	 0.00340768 5.47717e-05	 
67.5	29.0439	17	0.0180324 0.000355633	 0.0798085 0.000915978	 0.0181531 0.000262789	 0.0139445 0.000234892	 0.00475307 7.28014e-05	 0.00292104 5.28494e-05	 
72.5	20.2265	12	0.0155549 0.000309323	 0.0684964 0.000896217	 0.0145241 0.000238891	 0.0114922 0.000210844	 0.00367191 5.84989e-05	 0.00224906 4.56519e-05	 
77.5	13.1842	8.5	0.0132298 0.000279362	 0.0545468 0.000902008	 0.0107349 0.00018692	 0.00859063 0.000191002	 0.00256207 5.08995e-05	 0.00162396 3.49201e-05	 
82.5	8.2343	6	0.0111747 0.000280165	 0.0392624 0.000856307	 0.00749718 0.0001697	 0.00505616 0.000149032	 0.00149488 3.54725e-05	 0.00101959 2.35472e-05	 
87.5	4.72398	4	0.0081764 0.000242667	 0.0290904 0.000842874	 0.00407141 0.000130762	 0.00234499 9.40735e-05	 0.000649352 2.09892e-05	 0.000575123 1.63962e-05	 
92.5	3.40377	2.5	0.00662384 0.00357441	 0.0175474 0.00816342	 0.00290207 0.00107059	 0.000886633 0.000515582	 0.000273209 0.000136621	 0.000375987 0.000210182	 
97.5	nan	2	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
