Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	684.672	241	0.49141 0.0886484	-0.36444 0.222259	0.389451 0.193965	
7.5	559.178	209	0.537293 0.0559352	-0.398232 0.190608	0.584631 0.0407538	
12.5	460.735	180	0.685513 0.0262825	0.419596 0.130984	0.445937 0.106096	
17.5	380.162	153.5	0.731638 0.0163673	0.45273 0.104016	0.583327 0.0412563	
22.5	310.118	130	0.738052 0.0147821	0.547409 0.0560764	0.553608 0.0524882	
27.5	252.096	109.5	0.738721 0.0157193	0.530345 0.0630261	0.395816 0.163942	
32.5	202.236	91.5	0.765331 0.0136268	0.470086 0.0969384	0.582738 0.0394904	
37.5	160.55	75.5	0.782705 0.0111734	0.558199 0.0513707	0.292052 0.367983	
42.5	125.364	61.5	0.769287 0.0125727	0.62718 0.0300145	-0.567078 0.103574	
47.5	97.4948	49	0.756486 0.0139112	0.612315 0.0355196	-0.605818 0.0610993	
52.5	73.5414	38.5	0.776274 0.0152925	0.545385 0.0597572	-0.753049 0.0539395	
57.5	54.9919	30	0.778683 0.0113999	0.261004 0.514389	-0.773025 0.0346897	
62.5	40.4877	23	0.774699 0.0123034	-0.437735 0.156273	-0.79319 0.03116	
67.5	29.0439	17	0.716933 0.020546	-0.642282 0.0494039	-0.874157 0.030052	
72.5	20.2265	12	0.322917 0.290694	-0.865832 0.033776	-0.985529 0.0265165	
77.5	13.1842	8.5	-0.876985 0.0239142	-0.934852 0.0358582	-1.17009 0.0222094	
82.5	8.2343	6	-1.14033 0.0210783	-1.17353 0.0287845	-1.40577 0.0285315	
87.5	4.72398	4	-1.3345 0.0246731	-1.42456 0.0321612	-1.6246 0.0460557	
92.5	3.40377	2.5	-1.30747 0.242442	-1.19398 0.396914	-1.41396 0.352408	
97.5	nan	2	nan nan	nan nan	nan nan	
