Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	684.672	241	1.45657 0.0235959
7.5	559.178	209	1.60991 0.0264252
12.5	460.735	180	1.77266 0.0270454
17.5	380.162	153.5	1.90821 0.029063
22.5	310.118	130	2.12131 0.032144
27.5	252.096	109.5	2.22726 0.0344251
32.5	202.236	91.5	2.31542 0.0361556
37.5	160.55	75.5	2.52608 0.0403507
42.5	125.364	61.5	2.58975 0.041525
47.5	97.4948	49	2.73874 0.0460643
52.5	73.5414	38.5	3.1484 0.0535015
57.5	54.9919	30	3.41194 0.0617363
62.5	40.4877	23	3.8665 0.0687277
67.5	29.0439	17	4.39642 0.0860206
72.5	20.2265	12	4.71606 0.0991697
77.5	13.1842	8.5	5.08126 0.112176
82.5	8.2343	6	5.23696 0.135278
87.5	4.72398	4	7.14503 0.246803
92.5	3.40377	2.5	6.0465 2.91935
97.5	nan	2	nan nan
