Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	614.012	226	-2.28308e-08 3.50631e-09	3.07603e-08 1.29755e-07	-2.38908e-08 2.50303e-08	5.05127e-09 1.95856e-09	9.92322e-11 1.63761e-10	-3.02719e-11 1.30056e-11	
15	418.264	167.5	-5.27074e-08 4.68977e-09	3.85373e-06 3.70075e-07	5.72716e-08 4.04025e-08	8.34731e-09 2.67004e-09	-4.21098e-10 2.26868e-10	-5.5639e-11 1.79611e-11	
25	280.296	120.5	-1.19367e-07 2.48242e-08	1.09846e-05 8.22691e-07	1.56964e-07 4.68398e-08	7.85291e-09 3.38219e-09	-3.64364e-11 2.12809e-10	-1.09801e-10 2.82117e-11	
35	182.724	84	-2.20983e-07 2.35561e-08	1.91643e-05 1.25836e-06	9.19636e-08 5.50989e-08	5.62706e-09 3.0381e-09	-2.14298e-10 2.04136e-10	-5.40689e-11 2.43902e-11	
45	112.722	55.5	-3.10834e-07 3.66654e-08	2.17257e-05 1.58227e-06	1.81959e-07 3.511e-08	-1.87155e-08 6.07495e-09	-6.48882e-10 2.4306e-10	-2.21164e-10 6.27334e-11	
55	65.2771	34.5	-2.58181e-07 2.37374e-08	2.40104e-05 1.78633e-06	2.50672e-08 1.98467e-08	-2.80111e-08 5.11518e-09	-1.20751e-10 1.04132e-10	-1.7207e-10 2.44877e-11	
65	35.9197	20	-1.53324e-07 1.73517e-08	1.25675e-05 1.39401e-06	-2.68169e-08 8.86436e-09	-2.69386e-08 3.39412e-09	-2.96942e-10 5.65138e-11	-9.16245e-11 1.26213e-11	
75	16.891	10.5	-5.32076e-08 7.14487e-09	-4.66141e-06 6.48762e-07	-2.18326e-08 2.87608e-09	-1.61653e-08 1.56393e-09	-1.09234e-10 1.3528e-11	-2.4605e-11 3.92608e-12	
85	6.51227	5	-2.59437e-08 3.18803e-09	-3.44e-06 2.36264e-07	-3.56883e-09 4.85724e-10	-1.20117e-09 1.59231e-10	-3.41687e-12 6.22302e-13	-1.28335e-12 1.81269e-13	
95	3.40377	2.5	-6.87772e-09 6.55761e-09	-2.77062e-07 2.39203e-07	-1.44153e-10 7.14576e-11	-2.47015e-12 2.35499e-12	-1.74477e-14 1.67986e-14	-7.68894e-14 7.11643e-14	
