Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	765.224	252.5	0.246788 6.35969e-06	0.259383 0.000135724	-0.379715 0.00913989	0.185395 5.14771e-05	0.185477 0.00011668	-0.00220354 0.00206328	
1.5	710.628	244.5	0.248173 0.000312635	0.243355 0.00139587	0.130891 0.0403291	0.180514 3.86684e-05	0.178698 0.0393551	0.0488564 0.4257	
2.5	679.837	239	0.24509 5.76881e-05	0.253149 0.000224337	-0.192908 0.00592358	0.185492 8.44661e-05	0.186659 0.000305286	-0.0306915 0.00954029	
3.5	652.104	233	0.242923 6.90276e-05	0.241937 0.000276907	0.0200062 0.00856017	0.174115 7.18285e-05	0.177461 0.000181279	-0.0803374 0.0019656	
4.5	625.6	227	0.244143 4.04826e-05	0.243764 0.000114272	0.00716624 0.00020497	0.175178 8.70522e-05	0.173448 0.000273337	0.0346506 0.0038666	
5.5	604.367	221	0.229622 0.000217157	0.224168 0.000952226	0.0928709 0.0192984	0.174829 2.75751e-05	0.173156 9.10461e-05	0.0312472 0.00122981	
6.5	579.379	215	0.240428 0.00038683	0.240691 0.0564303	-0.00407888 0.32649	0.170114 1.68778e-05	0.168853 5.56428e-05	0.024178 0.000825023	
7.5	557.966	209	0.23084 5.31715e-05	0.229035 0.000185761	0.0262754 0.00198411	0.166197 4.08841e-05	0.162483 8.56886e-05	0.0629337 0.000554526	
8.5	538.001	203	0.233296 1.99117e-06	0.219048 1.45643e-05	0.180124 0.000107381	0.160174 0.000331654	0.159837 0.0264862	0.00614084 0.221014	
9.5	516.639	197	0.232826 0.000131481	0.230254 0.000318785	0.0313793 0.000721616	0.166374 0.000173679	0.166193 0.000767518	0.0028064 0.0142673	
10.5	499.655	191	0.227691 1.05707e-05	0.215121 0.00474662	0.131678 0.0417867	0.15667 3.37544e-05	0.159889 0.000124245	-0.0503337 0.00261777	
11.5	478.47	185	0.225771 0.000224209	0.217274 0.00977618	0.090247 0.0726321	0.161105 1.61697e-06	0.16049 2.56872e-06	0.00928119 0.000796711	
12.5	460.343	179.5	0.222748 0.000417986	0.214404 0.000209425	0.0855197 0.0112325	0.156717 0.000120218	0.162232 0.000350501	-0.072687 0.0031423	
13.5	443.072	174	0.220016 3.78603e-06	0.20487 0.00145041	0.140641 0.0165115	0.156181 7.11127e-05	0.160913 3.61169e-05	-0.0601276 0.00199753	
14.5	426.237	168.5	0.223117 7.19052e-05	0.2176 0.000303613	0.0491163 0.00347668	0.153985 0.000123999	0.15675 0.00013345	-0.0318127 0.00557837	
15.5	412.475	163.5	0.223723 4.93174e-05	0.213903 0.0058817	0.0803584 0.0380709	0.148323 6.67229e-05	0.152055 0.000245542	-0.0428378 0.00314446	
16.5	393.471	158.5	0.218216 8.9086e-06	0.209901 3.57561e-05	0.0671138 0.000237633	0.14746 2.08903e-05	0.152181 5.46154e-05	-0.050321 8.22844e-05	
17.5	380.615	153.5	0.218223 5.59495e-05	0.205142 5.52591e-05	0.0973766 0.00345707	0.145376 4.61359e-05	0.149789 0.000296139	-0.0494242 0.00508854	
18.5	366.356	148.5	0.215906 1.50919e-05	0.207627 0.0030624	0.0575616 0.0214595	0.145504 6.55111e-05	0.144573 0.00109918	0.00864954 0.012116	
19.5	350.899	143.5	0.217411 5.73705e-05	0.204873 0.000273262	0.0803028 0.0029168	0.140765 8.31488e-05	0.140313 2.8509e-05	0.00425979 0.00266382	
20.5	338.462	139	0.218152 6.48865e-05	0.198421 0.000351306	0.121601 0.00380183	0.135305 6.37265e-05	0.136377 0.000118895	-0.0099733 0.000682553	
21.5	322.186	134.5	0.21696 8.03924e-05	0.190223 0.00249268	0.154873 0.0155854	0.135937 0.000561148	0.138067 0.00622684	-0.0191724 0.0291373	
22.5	310.932	130	0.212022 4.88888e-05	0.195323 0.000193363	0.0968193 0.00129979	0.134128 0.000105995	0.132751 6.67019e-05	0.0128494 0.00214504	
