Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	684.672	241	0.344326 0.0198351	0.929358 0.0023049	0.936508 0.00226565	
7.5	559.178	209	0.266812 0.0208609	0.944308 0.00171343	0.934042 0.00241671	
12.5	460.735	180	0.324708 0.0185447	0.950988 0.00159315	0.923445 0.00290242	
17.5	380.162	153.5	0.336541 0.0181057	0.957425 0.0013284	0.914064 0.00345177	
22.5	310.118	130	0.329443 0.0182362	0.959242 0.00138404	0.896786 0.00435859	
27.5	252.096	109.5	0.273976 0.0190165	0.958267 0.00150713	0.893193 0.00421496	
32.5	202.236	91.5	0.302821 0.0183978	0.957715 0.00155473	0.878065 0.00520505	
37.5	160.55	75.5	0.293402 0.0184085	0.952427 0.00185686	0.85303 0.00683111	
42.5	125.364	61.5	0.259539 0.0180352	0.949155 0.00209597	0.85087 0.00671035	
47.5	97.4948	49	0.250692 0.019278	0.938662 0.00318022	0.830817 0.00736887	
52.5	73.5414	38.5	0.237667 0.0192138	0.932463 0.00324048	0.801515 0.0082081	
57.5	54.9919	30	0.240962 0.0203599	0.913499 0.00427363	0.761121 0.0101964	
62.5	40.4877	23	0.220585 0.0210347	0.878542 0.00601485	0.673898 0.0125891	
67.5	29.0439	17	0.107253 0.0248451	0.822047 0.00876189	0.582273 0.0174775	
72.5	20.2265	12	0.0999675 0.0233125	0.733345 0.0111948	0.498602 0.0187979	
77.5	13.1842	8.5	0.294457 0.0195827	0.664899 0.0119334	0.456222 0.0185005	
82.5	8.2343	6	0.367936 0.0186943	0.604767 0.0142277	0.366028 0.0215607	
87.5	4.72398	4	0.375681 0.0226117	0.612112 0.0160445	0.336663 0.0228396	
92.5	3.40377	2.5	0.00465416 1.02683	0.596898 0.363084	0.275956 0.652591	
97.5	nan	2	nan nan	nan nan	nan nan	
