Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	684.672	241	0.245089 1.15465e-05	0.246905 3.63684e-05	-0.0409013 0.000857062	0.179602 1.50115e-05	0.180535 4.49369e-05	-0.022466 0.0011937	
7.5	559.178	209	0.23347 3.5289e-05	0.228665 0.000147391	0.066926 0.00258292	0.167377 4.6488e-06	0.166116 1.48824e-05	0.0221307 0.000185902	
12.5	460.735	180	0.223717 1.8397e-06	0.21379 0.000380251	0.0970417 0.00427751	0.156671 1.46898e-05	0.160497 3.54288e-06	-0.0508265 0.000575337	
17.5	380.162	153.5	0.218539 1.66383e-06	0.208996 6.36167e-06	0.0694076 3.75096e-05	0.145182 4.42589e-06	0.147035 1.16213e-05	-0.0190233 2.87383e-05	
22.5	310.118	130	0.213224 9.84112e-06	0.192455 3.67272e-05	0.117099 0.000240774	0.131469 2.14231e-05	0.135682 1.54007e-05	-0.0382961 0.000371071	
27.5	252.096	109.5	0.205827 2.01727e-06	0.182605 1.2204e-06	0.110863 9.85745e-05	0.120134 8.27961e-06	0.129983 0.000600378	-0.0689992 0.00331813	
32.5	202.236	91.5	0.198432 3.56201e-05	0.175037 0.000157164	0.0957885 0.000783204	0.110658 1.54765e-05	0.115289 5.53167e-05	-0.0288149 0.000376819	
37.5	160.55	75.5	0.18763 1.6076e-05	0.163027 0.000144155	0.0851592 0.000946004	0.0971264 3.69586e-06	0.103147 1.40241e-05	-0.0350931 6.21282e-05	
42.5	125.364	61.5	0.180287 1.47604e-05	0.152894 8.26674e-05	0.0862937 0.000436824	0.0881382 1.49287e-05	0.0957822 8.50721e-05	-0.0379447 0.000662086	
47.5	97.4948	49	0.169254 8.04724e-06	0.141873 0.000161808	0.0765113 0.000821918	0.0752405 1.39996e-05	0.0864437 2.48801e-06	-0.0482178 0.00018093	
52.5	73.5414	38.5	0.159984 5.22152e-05	0.125433 0.00214504	0.0880474 0.00411205	0.0638442 2.69947e-06	0.0768209 1.55946e-05	-0.0556826 5.94449e-05	
57.5	54.9919	30	0.145175 2.16442e-06	0.122196 0.0022922	0.0538007 0.00370535	0.051806 1.24069e-05	0.062496 4.49221e-05	-0.0425057 0.000126419	
62.5	40.4877	23	0.128237 1.249e-05	0.128903 0.000306768	-0.00142721 0.000858378	0.0387302 4.08741e-06	0.0564031 7.79357e-06	-0.0669541 7.08202e-05	
67.5	29.0439	17	0.107482 4.07625e-06	0.11882 0.000177	-0.0228596 0.0005752	0.026879 5.34057e-07	0.0434347 9.65146e-07	-0.058597 3.07441e-06	
72.5	20.2265	12	0.0816091 1.12578e-05	0.129644 0.000165457	-0.0911428 0.000471076	0.0185689 4.10876e-05	0.0355501 6.44761e-05	-0.0538283 5.91575e-05	
77.5	13.1842	8.5	0.0612018 6.9745e-05	0.114284 4.61391e-05	-0.100424 0.000138192	0.0132869 4.66388e-06	0.0304498 8.64509e-06	-0.0525675 1.78362e-05	
82.5	8.2343	6	0.0464603 8.68823e-09	0.10451 8.9555e-05	-0.109751 0.00017554	0.00846595 7.14945e-06	0.0211033 1.7665e-05	-0.0352996 3.42027e-05	
87.5	4.72398	4	0.0416176 6.522e-06	0.101081 5.06626e-05	-0.112618 7.89308e-05	0.00506129 2.96999e-06	0.0155132 1.40256e-05	-0.0274843 2.66898e-05	
92.5	3.40377	2.5	0.0346172 5.52217e-08	0.125343 5.31019e-07	-0.230343 1.09895e-06	0.00313943 3.0431e-09	0.0378028 3.62003e-08	-0.0803623 7.70014e-08	
97.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
