Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	765.224	252.5	0.0106348 0.000433472	 0.0350096 0.000819083	 0.0259865 0.000701023	 0.0151078 0.000383864	 0.00768089 0.000173525	 0.00426669 0.00011595	 
1.5	710.628	244.5	0.0104764 0.000404502	 0.0377842 0.00095383	 0.0267568 0.000657714	 0.0144108 0.000338935	 0.00712059 0.000188241	 0.00380196 9.95646e-05	 
2.5	679.837	239	0.0100878 0.000388927	 0.0399877 0.000921599	 0.0282003 0.000689263	 0.014848 0.000427439	 0.00737622 0.00018678	 0.00402084 0.000108541	 
3.5	652.104	233	0.0107754 0.0004104	 0.0415804 0.00106489	 0.0264566 0.00069204	 0.0158016 0.000406087	 0.00781563 0.000193171	 0.00396222 0.000105747	 
4.5	625.6	227	0.0103991 0.000403873	 0.044307 0.00106758	 0.0293119 0.00077877	 0.0162501 0.0003844	 0.00786744 0.000221787	 0.00410895 0.000116977	 
5.5	604.367	221	0.0116807 0.000435785	 0.0434651 0.00110715	 0.0301573 0.000823459	 0.0170281 0.000438211	 0.00786086 0.000195974	 0.00413847 0.000120099	 
6.5	579.379	215	0.0114425 0.000478381	 0.0482241 0.00116889	 0.0302319 0.000744793	 0.0180099 0.000433625	 0.00811738 0.00022095	 0.00437542 0.000108253	 
7.5	557.966	209	0.0115805 0.000478767	 0.0479592 0.00111154	 0.0303024 0.00081919	 0.0168227 0.000406667	 0.00774277 0.000192467	 0.00404591 0.000117591	 
8.5	538.001	203	0.0122584 0.000428871	 0.0522753 0.00127865	 0.0293178 0.000739876	 0.0176486 0.000392691	 0.00800067 0.000179472	 0.00422661 0.000107746	 
9.5	516.639	197	0.011979 0.000523872	 0.0533645 0.00129913	 0.0327677 0.000852697	 0.0165377 0.000415906	 0.00841997 0.000213391	 0.0043374 0.00011072	 
10.5	499.655	191	0.013028 0.000441761	 0.0558362 0.0013321	 0.031316 0.000740226	 0.0177419 0.000439012	 0.00847395 0.000193312	 0.00445345 0.000121414	 
11.5	478.47	185	0.012656 0.000453121	 0.0567771 0.00128228	 0.0324423 0.000835118	 0.017337 0.000402741	 0.00840459 0.000221586	 0.00449615 0.000140829	 
12.5	460.343	179.5	0.0123458 0.000492078	 0.0581193 0.0012566	 0.0329343 0.000828578	 0.0175002 0.000449402	 0.00872369 0.000236299	 0.00427013 0.000114789	 
13.5	443.072	174	0.0135402 0.000573164	 0.0598741 0.00133009	 0.0334565 0.000806886	 0.0173386 0.000450872	 0.00849095 0.000214572	 0.00449351 0.000119648	 
