Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	86.7657	29.5	0.587661 0.0487763	0.580552 0.0471595	-0.769825 0.0654525	
7.5	66.6617	25.5	0.653832 0.0299476	0.599758 0.0376608	-0.716975 0.0480549	
12.5	56.3341	23	0.655833 0.029704	0.552183 0.0499178	-0.874094 0.0310772	
17.5	48.1437	20.5	0.617084 0.0434683	0.483998 0.0865044	-0.881807 0.0290997	
22.5	41.3162	18	0.662765 0.026628	-0.506412 0.0952525	-0.873556 0.0298612	
27.5	35.5032	16	0.684652 0.0257783	-0.634848 0.051277	-0.869515 0.0337442	
32.5	29.8265	14	0.67176 0.0238581	-0.700842 0.0452891	-0.893423 0.0232458	
37.5	25.2833	12	0.530503 0.0562341	-0.761143 0.0359798	-0.933317 0.022785	
42.5	20.9476	10.5	0.444031 0.104331	-0.788879 0.0294858	-0.952155 0.0241837	
47.5	17.4016	9	-0.678061 0.0362128	-0.945708 0.0263894	-1.03101 0.0194827	
52.5	14.1089	7.5	-0.813784 0.0255632	-0.926164 0.0349087	-1.08387 0.0198394	
57.5	11.4451	6.5	-0.95703 0.0213861	-1.0479 0.0226714	-1.24112 0.0204089	
62.5	9.03791	5.5	-1.02915 0.020612	-1.10652 0.0216414	-1.27899 0.0207997	
67.5	7.06988	4.5	-1.19185 0.0198299	-1.28545 0.0222848	-1.43804 0.0244543	
72.5	5.30007	4	-1.224 0.0210379	-1.36106 0.0253585	-1.49021 0.0269862	
77.5	3.91733	3.5	-1.30489 0.0220208	-1.4071 0.0253532	-1.69849 0.0381536	
82.5	2.78093	2.5	-1.4207 0.0245641	-1.57107 0.0365599	-1.86573 0.0543605	
87.5	1.76329	2	-1.53995 0.0286397	-1.69909 0.0355509	-1.70167 0.0423163	
92.5	0.949622	2	-1.91882 0.0481828	-2.34128 0.0870696	-2.04312 0.0488799	
97.5	0.41059	2	-2.20704 0.10034	-2.21902 0.0849136	-2.63161 0.120903	
